view	control_id	split	value	folios	events	gain	positive_folios
NATIVE	VOYNICH_FIXED_HOLDOUT	HAND	1	9	452	-3.766583600	6
NATIVE	VOYNICH_FIXED_HOLDOUT	HAND	2	5	373	37.657688779	5
NATIVE	VOYNICH_FIXED_HOLDOUT	HAND	3	3	406	31.589784738	2
NATIVE	VOYNICH_FIXED_HOLDOUT	REGISTER	HERBAL_A	9	452	-3.766583600	6
NATIVE	VOYNICH_FIXED_HOLDOUT	REGISTER	HERBAL_B	3	137	11.581941235	3
NATIVE	VOYNICH_FIXED_HOLDOUT	REGISTER	OTHER_A	1	166	-0.163926117	0
NATIVE	VOYNICH_FIXED_HOLDOUT	REGISTER	OTHER_B	2	236	26.075747543	2
NATIVE	VOYNICH_FIXED_HOLDOUT	REGISTER	STARS_RECIPE_B	2	240	31.753710856	2
NATIVE	VOYNICH_FIXED_HOLDOUT	SECTION	B	1	146	19.165182018	1
NATIVE	VOYNICH_FIXED_HOLDOUT	SECTION	C	1	47	5.729576025	1
NATIVE	VOYNICH_FIXED_HOLDOUT	SECTION	H	12	589	7.815357636	9
NATIVE	VOYNICH_FIXED_HOLDOUT	SECTION	S	3	406	31.589784738	2
NATIVE	VOYNICH_FIXED_HOLDOUT	SECTION	T	1	43	1.180989501	1
NATIVE	ABBREVIATION_HEAVY_MEDIEVAL	HAND	CONTROL	4	7699	1.117028549	1
NATIVE	ABBREVIATION_HEAVY_MEDIEVAL	REGISTER	Band2	1	1327	-0.461667065	0
NATIVE	ABBREVIATION_HEAVY_MEDIEVAL	REGISTER	Band3	1	2466	-0.570124151	0
NATIVE	ABBREVIATION_HEAVY_MEDIEVAL	REGISTER	Band4	1	1313	-0.245309648	0
NATIVE	ABBREVIATION_HEAVY_MEDIEVAL	REGISTER	Band5	1	2593	2.394129412	1
NATIVE	ABBREVIATION_HEAVY_MEDIEVAL	SECTION	PAIRED_DIPLOMATIC_EXPANSION_TRUTH	4	7699	1.117028549	1
NATIVE	ARBITRARY_LOCAL_CODEBOOK	HAND	CONTROL	176	8269	-3.170699972	82
NATIVE	ARBITRARY_LOCAL_CODEBOOK	REGISTER	R1	55	2435	-3.819045434	21
NATIVE	ARBITRARY_LOCAL_CODEBOOK	REGISTER	R2	57	2770	2.660435483	31
NATIVE	ARBITRARY_LOCAL_CODEBOOK	REGISTER	R3	35	1751	-2.020695952	12
NATIVE	ARBITRARY_LOCAL_CODEBOOK	REGISTER	R4	29	1313	0.008605931	18
