exact_card_id	surfaces	component_recipe	members	reading_de	events
PROC004	chety|chty	T+Y	T	ANWENDEN · DIES	2
PROC007	otytchol	OT+Y+T+CH+OL	T	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	1
PROC010	etyd	E+T+Y	T	KURZ · ANWENDEN · DIES	1
PROC026	tshol	T+SH+OL	T	ANWENDEN · HALTEN · WEITER	1
PROC032	tchody	T+CH+O+DY	T	ANWENDEN · ENTNEHMEN · VORGANG · SCHLUSS	1
PROC033	shoyty	SH+O+Y+T+Y	T	HALTEN · VORGANG · DIES · ANWENDEN · DIES	1
PROC049	oltchy	OL+T+Y	T	WEITER · ANWENDEN · DIES	1
PROC057	cheeckhody	CH+EE+CKH+O+DY	CKH	ENTNEHMEN · LANG · DURCHLASS · VORGANG · SCHLUSS	1
PROC071	rol	R+OL	R	KUEHLEN · WEITER	1
PROC073	sheckhal	SH+E+CKH+AL	CKH	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	1
PROC075	chckhy|shckhy	CKH+Y	CKH	DURCHLASS · DIES	4
PROC081	ral	R+AL	R	KUEHLEN · ZIELSTELLE	1
PROC090	ytey	T+E+Y	T	ANWENDEN · KURZ · DIES	1
PROC099	shckhedy	SH+CKH+E+DY	CKH	HALTEN · DURCHLASS · KURZ · SCHLUSS	3
PROC101	lcheckhy	L+CKH+Y	CKH	LEITEN · DURCHLASS · DIES	1
PROC103	lcheckhedy	L+CKH+E+DY	CKH	LEITEN · DURCHLASS · KURZ · SCHLUSS	1
PROC110	sheckhy	SH+E+CKH+Y	CKH	HALTEN · KURZ · DURCHLASS · DIES	1
PROC126	rsheal	R+SH+E+AL	R	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	1
PROC128	rshedy	R+SHED+DY	R	KUEHLEN · STEHENLASSEN · SCHLUSS	1
PROC148	chealror	AL+R+OR	R	ZIELSTELLE · KUEHLEN · ANSATZ	1
PROC149	cheeety	EEE+T+Y	T	VOLL · ANWENDEN · DIES	1
PROC161	qockhey	O+CKH+E+Y	CKH	VORGANG · DURCHLASS · KURZ · DIES	1
PROC163	chckhal	CH+CKH+AL	CKH	ENTNEHMEN · DURCHLASS · ZIELSTELLE	1
PROC172	raly	R+AL+Y	R	KUEHLEN · ZIELSTELLE · DIES	1
