source_reading_id	surface	expected_position_id	expected_page	expected_locus	expected_token_ordinal	expected_left_surface	expected_right_surface	expected_action_license	expected_old_core_de	v96_lexical_core_de	v96_context_realization_de	expected_old_score	family_ids	decomposition	lineage_class	portable_role	evidence_class	repair_mode	resolved_debt_atom	gdt652_scope_expected	gdt691_rule_id	gdt691_formal_route	gdt691_practical_head_de	evidence_de	counterevidence_de	open_semantic_slots	local_context_hypothesis
adeeody#1	adeeody	P217	f26r	f26r.2	3	aiin	ykecthey	NOT_ACTION_LICENSED	gleicher abgemessener Teil der fertigen Zubereitung	gleich großer, abgemessener Fertiganteil	gleich großer abgemessener Teil der fertigen Zubereitung	30	NONE	BOUND_WHOLE_NO_COMPONENT_EXPORT	LATER_BOUND_WHOLE_OR_UNEXPORTED	FERTIGE_ABGEMESSENE_TEILMENGE	BOUND_STATE_QUANTITY_CORE	CORE_CONTEXT_HEAD_SEPARATION	GENERIC_PREPARATION_HEAD_LOCAL_ONLY	UNKNOWN_SURFACE	P022	LEARNED_WHOLE_OR_UNEXPORTED	Zubereitung	Die exakte nominale Stelle traegt MATERIAL_ROLE, STATE_FINISHED und VALUE_QUANTITY; AIIN links liefert Menge III, waehrend GDT691 den Kopf nur als generische fertige Zubereitung lokal einsetzt.	Auszug und Charge bleiben ausdrueckliche Rivalen; Gleichheit, genaue Einheit und die Herkunft des Produktkopfs sind nicht unabhaengig identifiziert.	EXACT_UNIT|EQUALITY_OPERATOR|PRODUCT_HEAD_IDENTITY	Die Nachbarschaft erlaubt lokal einen gleich grossen Teil der fertigen Zubereitung, aber keinen freien Zubereitungsstamm.
chockhy#1	chockhy	P004	f104v	f104v.2	3	qoteed	otaiin	NOT_ACTION_LICENSED	trockene Arzneizubereitung, Gradanfang	trockene Mischung, Anfangsstufe	trockene Arzneizubereitung am Gradanfang	30	GDT652_EXACT_O_CKH_GRID	BOUND_O_CKH_GRID_NO_FREE_COMPONENT_EXPORT	EARLIER_KNOWN_EXACT_GRID	TROCKENE_MISCHUNG_ANFANGSSTUFE	EXACT_GRID_WITH_LOCAL_HEAD	PREPARATION_HEAD_SCOPE_REPAIR	ARZNEI_HEAD_LOCAL_ONLY	KNOWN_EXACT_WHOLE	P037	GDT652_EXACT_O_PREP_SURFACE	Arzneizubereitung	GDT652 liest genau diese Position als KNOWN_EXACT_WHOLE im starken Komponentenraster; GDT713 begrenzt die CKH/CPH-Kerne auf Mischung statt Arznei und bewahrt trocken plus Anfangsstufe.	Arznei oder Arzneikompositum ist kein frei exportierbarer Kopf; O und CKH erhalten keine einzelnen deutschen Werte, und die Stelle bleibt ein gebundenes Rasterfeld.	MIXTURE_VS_PREPARATION|MEDICINAL_IDENTITY|FREE_O_CKH_SEGMENTATION	Der aeltere Rasterwert erlaubt lokal weiterhin Arzneizubereitung, ohne ihn zum portablen Mischungsnamen zu machen.
ofchedy#1	ofchedy	P412	f86v6	f86v6.25	8	okeeeey	qokaiin	NOT_ACTION_LICENSED	fertig getrocknete Blütenmasse	Blütenmaterial; vollständig getrocknet	fertig getrocknete Blütenmasse	30	NONE	BOUND_RESULT_WHOLE_NO_COMPONENT_EXPORT	LATER_BOUND_WHOLE_OR_UNEXPORTED	VOLLSTAENDIG_GETROCKNETES_BLUETENMATERIAL	IDENTITY_STATE_CORE_WITH_LOCAL_PRODUCT_HEAD	PRODUCT_HEAD_SCOPE_REPAIR	MASSE_HEAD_LOCAL_ONLY	UNKNOWN_SURFACE	P039	LEARNED_WHOLE_OR_UNEXPORTED	Blütenmasse	Die aktive Stelle traegt IDENTITY_FLOWER_FRUIT, MATERIAL_ROLE, STATE_DRY und STATE_FINISHED; GDT691 bewahrt die Blütenidentitaet und den terminalen Trockenzustand.	Masse, Trockenextrakt und Rueckstand sind konkurrierende Produktkoepfe; die breite FLOWER_FRUIT-Klasse und das Singleton tragen keine freie Teilmorphologie.	FLOWER_VS_FRUIT|MASS_VS_EXTRACT_VS_RESIDUE|COMPONENT_SEGMENTATION	Der lokale Arbeitsrenderer waehlt Blütenmasse, waehrend der portable Kern nur Materialidentitaet und Fertigtrocknung traegt.
okeeeey#1	okeeeey	P411	f86v6	f86v6.25	7	or	ofchedy	NOT_ACTION_LICENSED	Zubereitung vollständig bis zur letzten Heizstufe geführt	vollständig erhitzt; Endstufe	vollständig erhitzte Zubereitung auf der letzten Heizstufe	26	NONE	BOUND_WHOLE_NO_COMPONENT_EXPORT	LATER_BOUND_WHOLE_OR_UNEXPORTED	VOLLSTAENDIG_ERHITZTER_ENDZUSTAND	BOUND_STATE_STAGE_CORE	HIDDEN_ACTION_REMOVAL	GEFUEHRT_ACTION_REMOVED	UNKNOWN_SURFACE	P023	LEARNED_WHOLE_OR_UNEXPORTED	Zubereitung	GDT691 beschreibt mehrstufiges Erhitzen ohne Kochsignal; die exakte nominale Stelle steht zwischen einer Portion und fertig getrocknetem Blütenmaterial und traegt den Endstufenwert.	Zubereitung, Heißansatz und Absud bleiben offen; geführt ist an dieser nicht aktionslizenzierten Stelle eine unzulässige versteckte Handlung.	PRODUCT_HEAD_IDENTITY|COOKING_VS_HEATING|EXACT_STAGE_NAME	Die lokale Ausgabe setzt den gebundenen Endzustand als vollständig erhitzte Zubereitung auf der letzten Heizstufe um.
okiin#1	okiin	P326	f80v	f80v.35	8	kain	ol	NOT_ACTION_LICENSED	erhitzte Zubereitung, Form III	erhitzt; Form III	erhitzte Zubereitung, Form III	30	NONE	BOUND_WHOLE_NO_COMPONENT_EXPORT	LATER_BOUND_WHOLE_OR_UNEXPORTED	ERHITZTER_FORMWERT_III	BOUND_STATE_FORM_CORE	CORE_CONTEXT_HEAD_SEPARATION	GENERIC_PREPARATION_HEAD_LOCAL_ONLY	UNKNOWN_SURFACE	P024	LEARNED_WHOLE_OR_UNEXPORTED	Zubereitung	KAIN links liefert heiß Grad II, GDT691 bewahrt für die exakte nominale Form Hitze und den opaken Formwert III ohne Kochsignal.	Zubereitung, Heißansatz und Absud rivalisieren; Form III ist ein gebundener Arbeitscode und kein historisch benannter Formbegriff.	PRODUCT_HEAD_IDENTITY|FORM_III_INTERPRETATION|COOKING_VS_HEATING	Die Fundstelle darf den neutralen Produktkopf Zubereitung einsetzen, der portable Kern nicht.
olord#1	olord	P051	f105v	f105v.14	5	olpchedy	aiiin	NOT_ACTION_LICENSED	abgezogene Portion Holzauszug	abgezogener Holzanteil	abgezogene Portion des Holzauszugs	30	NONE	BOUND_WORKFLOW_WHOLE_NO_COMPONENT_EXPORT	PROVISIONAL_LOCAL_SCOPE	ABGEZOGENER_HOLZANTEIL	IDENTITY_QUANTITY_RESULT_CORE	GRAMMAR_AND_HEAD_SCOPE_REPAIR	HOLZAUSZUG_HEAD_LOCAL_ONLY	UNKNOWN_SURFACE	P004	PROVISIONAL_LOCAL_SCOPE	Holzauszug	IDENTITY_WOOD und VALUE_QUANTITY sind aktiv; zwischen Holzextraktpulver und Menge IV ist ein abgezogener Holzanteil nominal und die lokale Genitivfassung behebt die alte ungrammatische Ausgabe.	Holzauszug, Holzzubereitung und Holzansatz bleiben rivalisierende Produktkoepfe; abziehen darf nicht als freie Aktion oder Morphembedeutung exportiert werden.	EXTRACT_VS_PREPARATION_VS_BASE|EXACT_QUANTITY_UNIT|WITHDRAWAL_MORPHOLOGY	Die lokale Workflowfolge erlaubt eine Portion des Holzauszugs, der portable Kern nur Holz, Anteil und Resultatzustand.
otsheody#1	otsheody	P111	f113v	f113v.12	2	solchedy	arl	NOT_ACTION_LICENSED	fertiges kalt angefeuchtetes Mazerat	kalt angefeuchtet; fertig	fertiges kalt angefeuchtetes Mazerat	30	NONE	BOUND_MOIST_WHOLE_NO_COMPONENT_EXPORT	LATER_BOUND_WHOLE_OR_UNEXPORTED	KALT_ANGEFEUCHTETER_FERTIGZUSTAND	BOUND_MOIST_FINISHED_CORE	PRODUCT_HEAD_SCOPE_REPAIR	MAZERAT_HEAD_LOCAL_ONLY	UNKNOWN_SURFACE	P007	LEARNED_WHOLE_OR_UNEXPORTED	Mazerat	Die exakte nominale Stelle traegt MATERIAL_ROLE, STATE_COLD, STATE_WET und STATE_FINISHED; der portable Kern bewahrt alle vier Zustandsinformationen.	Mazerat, Einweichung und feuchte Zubereitung sind austauschbare Produktkoepfe; keine sichtbare Teilfolge wird frei lexikalisiert.	MACERATE_VS_SOAKING_VS_WET_PREPARATION|PATIENT_IDENTITY|COMPONENT_SEGMENTATION	Im lokalen Samen-/Holzablauf bleibt Mazerat die praktisch konkrete Rendererwahl.
qocho#1	qocho	P238	f49r	f49r.16	1	<BOS>	cheey	GDT689_V62_ACTION_ORDINAL	getrocknete Droge nehmen	Trockengut	getrocknete Droge nehmen	30	NONE	BOUND_ACTION_PATIENT_WHOLE_NO_FREE_Q_CHO	LATER_BOUND_WHOLE_OR_UNEXPORTED	GETROCKNETES_HANDHABBARES_GUT	BOUND_DRY_PATIENT_CORE	LEXICAL_ACTION_SEPARATION	TAKE_ACTION_LOCAL_ONLY	UNKNOWN_SURFACE	P030	LEARNED_WHOLE_OR_UNEXPORTED	getrocknete Droge	Die einzige aktive Position ist als ACT_TAKE lizenziert und liegt vor cheey trocken am Ende des Grades; GDT691 benoetigt einen handhabbaren trockenen Patienten.	Nehmen ist nur die lokale Aktion; Droge, Trockenzubereitung und Trockenmasse bleiben rivalisierende Patienten- oder Produktkoepfe, und q/cho werden nicht frei exportiert.	DRUG_VS_DRY_GOODS|PREPARATION_VS_MASS|FREE_Q_OR_CHO_VALUE	Der Wortkern bezeichnet Trockengut; nur P238 realisiert daraus die Anweisung getrocknete Droge nehmen.
shotchey#1	shotchey	P226	f27r	f27r.9	3	keeod	chol	NOT_ACTION_LICENSED	Mazerat aus kalt bis Mittelstufe getrockneter Droge	kalt angefeuchtet; Trockenstufe II	kalt angefeuchtetes Mazerat, Trockenstufe II	30	NONE	BOUND_MOIST_WHOLE_NO_COMPONENT_EXPORT	LATER_BOUND_WHOLE_OR_UNEXPORTED	KALT_FEUCHT_GEBUNDENER_TROCKENZUSTAND_II	BOUND_MOIST_DRY_STAGE_CORE	PRODUCT_AND_SOURCE_HEAD_SCOPE_REPAIR	MAZERAT_LOCAL_DROGE_SOURCE_REMOVED	UNKNOWN_SURFACE	P010	LEARNED_WHOLE_OR_UNEXPORTED	Mazerat	Die nominale Stelle traegt MATERIAL_ROLE, STATE_COLD, STATE_DRY, STATE_WET und VALUE_GRADE; der Kern bewahrt den kombinierten Kalt-/Feucht-/Trockenstufenbefund.	Mazerat, Feuchtzubereitung und Einweichung bleiben rivalisierende lokale Produktkoepfe; die alte Drogenquelle verschob die Zustände auf einen unbelegten Patienten und wird entfernt; SH/OT/CHEY erhalten keine freien Werte.	MACERATE_VS_SOAKING|PATIENT_OR_SOURCE_IDENTITY|EXACT_GRADE_NAME|COMPONENT_SEGMENTATION	Die nominale Stelle erlaubt lokal den Mazeratkopf; Kalt-, Feucht- und Trockenstufe beziehen sich auf dieses Resultat, nicht auf eine erfundene Ausgangsdroge.
solchedy#1	solchedy	P110	f113v	f113v.12	1	<BOS>	otsheody	NOT_ACTION_LICENSED	bis zur Mittelstufe getrocknete Samenmasse	Samenmaterial; bis zur Mittelstufe getrocknet	bis zur Mittelstufe getrocknete Samenmasse	30	GDT691_PRODUCTIVE_SEED_HEAD	BOUND_SOL_DRY_RESULT_NO_FREE_CHEDY	EARLIER_READER_BOUNDARY_SEED_HEAD	GETROCKNETES_SAMENMATERIAL_STUFE_II	BOUND_IDENTITY_DRY_STAGE_CORE	PRODUCT_HEAD_SCOPE_REPAIR	MASSE_HEAD_LOCAL_ONLY	READER_BOUNDARY_UNSTABLE	P040	PRODUCTIVE_HEAD	Samenmasse	GDT652 hatte an genau dieser Position bereits getrockneten Samen/Saatgutstoff/-ansatz als boundary-unstable Lesung; GDT691 traegt IDENTITY_SEED plus trockene Mittelstufe produktiv weiter.	Masse, Samenrückstand und Samenzubereitung bleiben offene Produktkoepfe; weder CHEDY noch DY noch ein freies SOL-Kompositum wird neu exportiert.	MASS_VS_RESIDUE_VS_PREPARATION|SEED_VS_SOWING_MATERIAL|FREE_CHEDY_DY_EXPORT	Die lokale Ausgabe waehlt Samenmasse, ohne diese Produktform in den portablen Samenstoffkern einzuschreiben.
