statement_id	page	record	events	last_event	last_surface	last_recipe	decision	correction_action
H1-S001	f10r	H1	10	E010	etyd	E+T+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H1-S002	f10r	H1	4	E014	cthy	CTH+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H2-S001	f10r	H2	9	E023	shy	Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H2-S002	f10r	H2	8	E031	dar	AR	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H2-S003	f10r	H2	7	E038	chodaiin	CH+O+AIIN	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H3-S002	f11r	H3	1	E046	shoyty	SH+O+Y+T+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H3-S003	f11r	H3	5	E051	daiin	AIIN	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H3-S004	f11r	H3	4	E055	dy	Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H4-S002	f55v	H4	3	E063	talam	TALAM	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H4-S004	f55v	H4	6	E073	orain	OR+AIN	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H5-S001	f56r	H5	9	E082	dal	AL	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H5-S003	f56r	H5	4	E090	qokokchy	OK+OK+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H5-S004	f56r	H5	3	E093	kchal	K+AL	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H5-S005	f56r	H5	4	E097	sotodan	OT+O+AIN	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
H5-S006	f56r	H5	3	E100	daiin	AIIN	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B1-S006	f81v	B1	4	E130	ral	R+AL	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B1-S011	f81v	B1	2	E140	qoky	OK+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B1-S014	f81v	B1	5	E149	otar	OT+AR	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B1-S021	f81v	B1	1	E166	chal	AL	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B2-S006	f82r	B2	4	E188	qoky	OK+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B2-S010	f82r	B2	4	E197	cheey	SH+EE+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B2-S014	f82r	B2	1	E211	lar	L+AR	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B3-S004	f83r	B3	3	E238	dar	AR	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B3-S009	f83r	B3	1	E247	qoky	OK+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B3-S011	f83r	B3	4	E253	chary	AR+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B5-S003	f83r	B5	9	E372	chedy	CHD+Y	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
B6-S001	f83r	B6	9	E381	ldalor	L+AL+OR	INTENDED_OPEN_STATEMENT_RETAIN	DO_NOT_INSERT_CLOSE
