formula_id	component_recipe	old_spoken_value_de	revised_spoken_value_de	root_composed_value_de	semantic_relation	observed_events	observed_surfaces	observed_pages	teaching_role_de
F001	CHD+Y	UMSETZEN · POSTEN	UMSETZEN · POSTEN	UMSETZEN · POSTEN	EXAKT_WURZELKOMPOSITION	50	chdy|chedchy|chedy	f55v|f56r|f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F002	SHED+DY	ABSETZEN · SCHLUSS	ABSETZEN · SCHLUSS	ABSETZEN · SCHLUSS	EXAKT_WURZELKOMPOSITION	46	shedy	f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F003	OK+E+DY	SETZEN · KURZ · SCHLUSS	SETZEN · KURZ · SCHLUSS	SETZEN · KURZ · SCHLUSS	EXAKT_WURZELKOMPOSITION	44	okedy|qokedy	f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F004	OK+EE+DY	SETZEN · LÄNGER · SCHLUSS	SETZEN · LÄNGER · SCHLUSS	SETZEN · LÄNGER · SCHLUSS	EXAKT_WURZELKOMPOSITION	44	okeedy|qokeedy	f55v|f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F005	OK+Y	SETZEN · POSTEN	SETZEN · POSTEN	SETZEN · POSTEN	EXAKT_WURZELKOMPOSITION	37	choky|okchey|okchy|oky|qokchy|qoky	f10r|f13r|f55v|f56r|f75r|f81v|f82r|f83r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F006	OK+AIN	SETZEN · EINHEIT	SETZEN · PORTION	SETZEN · PORTION	EXAKT_WURZELKOMPOSITION	35	okain|qokain	f55v|f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F007	OK+EE+Y	SETZEN · LÄNGER · POSTEN	SETZEN · LÄNGER · POSTEN	SETZEN · LÄNGER · POSTEN	EXAKT_WURZELKOMPOSITION	27	chokeey|okeey|qokeey	f56r|f68r1|f75r|f81v|f82r|f83r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F008	OK+AIIN	SETZEN · SOLLWERT	SETZEN · MASS	SETZEN · MASS	EXAKT_WURZELKOMPOSITION	26	okaiin|qokaiin	f55v|f56r|f75r|f81v|f82r|f83r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F009	OK+AL	SETZEN · ZIEL	SETZEN · ZIEL	SETZEN · ZIEL	EXAKT_WURZELKOMPOSITION	24	chokal|okal|qokal	f55v|f68r1|f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F010	SH+E+Y	HALTEN · KURZ · POSTEN	HALTEN · KURZ · POSTEN	HALTEN · KURZ · POSTEN	EXAKT_WURZELKOMPOSITION	17	shey	f13r|f68r1|f75r|f81v	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F011	OT+Y	DANACH · POSTEN	DANACH · POSTEN	DANACH · POSTEN	EXAKT_WURZELKOMPOSITION	21	otchey|oty|qotchy|qoty	f10r|f11r|f13r|f56r|f67r2|f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F012	D_ADDR+AR	TEIL · QUELLE	TEIL · QUELLE	TEIL · QUELLE	EXAKT_WURZELKOMPOSITION	19	dar	f10r|f13r|f67r2|f75r|f81v|f82r|f83r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F013	OK+AR	SETZEN · QUELLE	SETZEN · QUELLE	SETZEN · QUELLE	EXAKT_WURZELKOMPOSITION	17	okar|qokar	f55v|f56r|f75r|f81v|f82r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F014	SH+EE+Y	HALTEN · LÄNGER · POSTEN	HALTEN · LÄNGER · POSTEN	HALTEN · LÄNGER · POSTEN	EXAKT_WURZELKOMPOSITION	8	cheey|sheey	f68r1|f75r|f81v|f82r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F015	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	LEITEN · UMSETZEN · SCHLUSS	LEITEN · UMSETZEN · SCHLUSS	EXAKT_WURZELKOMPOSITION	20	lchedy	f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F016	OT+AR	DANACH · QUELLE	DANACH · QUELLE	DANACH · QUELLE	EXAKT_WURZELKOMPOSITION	14	otar|qotar	f10r|f55v|f75r|f81v|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F017	OK+E+Y	SETZEN · KURZ · POSTEN	SETZEN · KURZ · POSTEN	SETZEN · KURZ · POSTEN	EXAKT_WURZELKOMPOSITION	12	okey|qokey	f67r2|f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F018	OL+DY	FORTSETZEN · SCHLUSS	FORTSETZEN · SCHLUSS	FORTSETZEN · SCHLUSS	EXAKT_WURZELKOMPOSITION	14	oldy|qoldy	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F019	CHEO+L	AUSZUG · LEITEN	AUSZUG · LEITEN	AUSZUG · LEITEN	EXAKT_WURZELKOMPOSITION	13	cheol	f81v|f82r|f83r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F020	CKH+Y	DURCHLASS · POSTEN	DURCHLASS · POSTEN	DURCHLASS · POSTEN	EXAKT_WURZELKOMPOSITION	13	chckhy|ckhy|qckhsy	f10r|f13r|f55v|f75r|f81v|f82r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F021	OT+E+DY	DANACH · KURZ · SCHLUSS	DANACH · KURZ · SCHLUSS	DANACH · KURZ · SCHLUSS	EXAKT_WURZELKOMPOSITION	13	otedy|qotedy	f75r|f81v|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F022	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	DANACH · LÄNGER · SCHLUSS	DANACH · LÄNGER · SCHLUSS	EXAKT_WURZELKOMPOSITION	9	oteedy|qoteedy	f75r|f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F023	OT+EE+Y	DANACH · LÄNGER · POSTEN	DANACH · LÄNGER · POSTEN	DANACH · LÄNGER · POSTEN	EXAKT_WURZELKOMPOSITION	6	oteey|qoteey	f75r|f82r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F024	S+AR	AUSWÄHLEN · QUELLE	AUSWÄHLEN · QUELLE	AUSWÄHLEN · QUELLE	EXAKT_WURZELKOMPOSITION	9	sar	f55v|f75r|f81v|f82r|f83r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F025	CTH+Y	BEREIT · POSTEN	BEREIT · POSTEN	BEREIT · POSTEN	EXAKT_WURZELKOMPOSITION	10	checthy|cthy	f10r|f11r|f56r|f75r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F026	OT+OR	DANACH · ARBEITSSATZ	DANACH · ANSATZ	DANACH · ANSATZ	EXAKT_WURZELKOMPOSITION	7	otor|qotor	f10r|f68r1|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F027	S+AIIN	AUSWÄHLEN · SOLLWERT	AUSWÄHLEN · MASS	AUSWÄHLEN · MASS	EXAKT_WURZELKOMPOSITION	9	saii|saiin	f67r2|f75r|f81v|f83r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F035	OK+OL	SETZEN · FORTSETZEN	SETZEN · FORTSETZEN	SETZEN · FORTSETZEN	EXAKT_WURZELKOMPOSITION	13	chokchol|chokol|okchol|okol|qokchol|qokol	f10r|f11r|f56r|f67r2|f83r|f88r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F036	OL+Y	FORTSETZEN · POSTEN	FORTSETZEN · POSTEN	FORTSETZEN · POSTEN	EXAKT_WURZELKOMPOSITION	11	choly|olchey|oly|qoly	f56r|f67r2|f75r|f81v|f82r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
F039	OT+AL	DANACH · ZIEL	DANACH · ZIEL	DANACH · ZIEL	EXAKT_WURZELKOMPOSITION	7	otal|qotal	f82r|f83r	gelernte Ligatur oder Ganzschreibform ohne neue Bedeutung
