dimension	value	count	component_ids	note	status
TOPOLOGY	ACTION_STATE_FORK_WITH_DOWNSTREAM_ACTION_CHAIN	1	M009	exact occurrence-component topology	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	ACTION_WRITTEN_FINISHED_PREPARATION_PAIR	1	M010	exact occurrence-component topology	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	INPUT_ACTION_WRITTEN_RESULT_CHAIN	1	M002	exact occurrence-component topology	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	ORDERED_REPEATED_COMMON_DESTINATION_FANOUT	1	M006	exact occurrence-component topology	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	SERIAL_ACTION_OUTPUT_CHAIN	1	M007	exact occurrence-component topology	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	SINGLE_EDGE	4	M001|M003|M004|M005	exact occurrence-component topology	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
TOPOLOGY	SINGLE_EDGE_WITH_UNBOUND_QUANTITY_HULL	1	M008	exact occurrence-component topology	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
SUPPORT_PROFILE	A_MINUS_PLUS_B	1	M007	tiers remain local and are not averaged	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
SUPPORT_PROFILE	A_ONLY	3	M003|M004|M005	tiers remain local and are not averaged	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
SUPPORT_PROFILE	A_PLUS_B	2	M002|M006	tiers remain local and are not averaged	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
SUPPORT_PROFILE	B_LOW_ONLY	1	M010	tiers remain local and are not averaged	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
SUPPORT_PROFILE	B_ONLY	3	M001|M008|M009	tiers remain local and are not averaged	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
POSITION_CLASS	EDGE_NODE	28	M001|M002|M003|M004|M005|M006|M007|M008|M009|M010	unique occurrence nodes	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
POSITION_CLASS	HULL_ONLY_NOT_NODE	2	M008|M009	f86v5.24#2 plus structural f26r.2#7	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
POSITION_CLASS	RENDER_ONLY_STRUCTURAL	0	NONE	f26r.2#7 moved into the C015 hull but remains structural	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
STRUCTURAL_ROLE	CLAUSE_CLOSURE_NONNODE	1	M009	f26r.2#7 remains a structural closure	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
GRAPH_COUNT	EDGE_INCIDENCE	33	M001|M002|M003|M004|M005|M006|M007|M008|M009|M010	sum of edge endpoint incidences	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
GRAPH_COUNT	MINIMAL_HULL_POSITION	30	M001|M002|M003|M004|M005|M006|M007|M008|M009|M010	sum of component hull sizes	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
GRAPH_COUNT	RENDER_POSITION	30	M001|M002|M003|M004|M005|M006|M007|M008|M009|M010	sum of render-window sizes	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
CONTINUATION_CONTROL	EXACT_REPEATED_MATERIAL_HEAD	4	M006|M009	one output continuation and three ingredient additions	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
CONTINUATION_CONTROL	ADMITTED_NEW_OUTPUT_CONTINUATION	1	M009	C015 only	PASS_V77_15_ACTION_CONTINUATIONS__4_EXACT_HEAD_REPEATS__1_NEW_C015__C016_HELD__15_EDGES_10_COMPONENTS__ZERO_WORD_DELTA
