hand	after_line	left_position	right_position	left_surface	right_surface	left_microcycle	right_microcycle	left_owner	right_owner	break_type	carry_status	reason_de
HAND_A_BARE	1	3	4	cheoar	cheeky	1	1	H4_LEAF_OWNER	H4_LEAF_OWNER	INTRA_MICROCYCLE_LINE_BREAK	ANTICIPATION_COPY_USED	Aussage und Mikrogang laufen weiter; rechte Karte wird am Rand vorweggenommen und am Folgezeilenanfang ausgeführt.
HAND_A_BARE	2	6	7	cthy	y	2	3	H4_LEAF_OWNER	B4_MAIN_ARCH_LINKED_PAIR	OWNER_HANDOFF	COPY_FORBIDDEN	Neuer sichtbarer Besitzer; eine Doppelung würde einen falschen Stoff- oder Leitungsanschluss erzeugen.
HAND_A_BARE	3	9	10	qokaly	okeey	3	4	B4_MAIN_ARCH_LINKED_PAIR	B4_MAIN_ARCH_LINKED_PAIR	MICROCYCLE_BOUNDARY	COPY_FORBIDDEN	Neuer Arbeitsgang; dieselbe Karte auf beiden Seiten wäre eine echte Wiederholung.
HAND_B_Q_OPERATIONAL	1	3	4	cheoar	cheeky	1	1	H4_LEAF_OWNER	H4_LEAF_OWNER	INTRA_MICROCYCLE_LINE_BREAK	ANTICIPATION_COPY_USED	Aussage und Mikrogang laufen weiter; rechte Karte wird am Rand vorweggenommen und am Folgezeilenanfang ausgeführt.
HAND_B_Q_OPERATIONAL	2	5	6	lcheey	cthy	2	2	H4_LEAF_OWNER	H4_LEAF_OWNER	INTRA_MICROCYCLE_LINE_BREAK	ANTICIPATION_COPY_USED	Aussage und Mikrogang laufen weiter; rechte Karte wird am Rand vorweggenommen und am Folgezeilenanfang ausgeführt.
HAND_B_Q_OPERATIONAL	3	6	7	cthy	y	2	3	H4_LEAF_OWNER	B4_MAIN_ARCH_LINKED_PAIR	OWNER_HANDOFF	COPY_FORBIDDEN	Neuer sichtbarer Besitzer; eine Doppelung würde einen falschen Stoff- oder Leitungsanschluss erzeugen.
HAND_B_Q_OPERATIONAL	4	9	10	qokaly	qokeey	3	4	B4_MAIN_ARCH_LINKED_PAIR	B4_MAIN_ARCH_LINKED_PAIR	MICROCYCLE_BOUNDARY	COPY_FORBIDDEN	Neuer Arbeitsgang; dieselbe Karte auf beiden Seiten wäre eine echte Wiederholung.
HAND_C_S_ENTRY	1	3	4	cheoar	cheeky	1	1	H4_LEAF_OWNER	H4_LEAF_OWNER	INTRA_MICROCYCLE_LINE_BREAK	ANTICIPATION_COPY_USED	Aussage und Mikrogang laufen weiter; rechte Karte wird am Rand vorweggenommen und am Folgezeilenanfang ausgeführt.
HAND_C_S_ENTRY	2	6	7	shcthy	sy	2	3	H4_LEAF_OWNER	B4_MAIN_ARCH_LINKED_PAIR	OWNER_HANDOFF	COPY_FORBIDDEN	Neuer sichtbarer Besitzer; eine Doppelung würde einen falschen Stoff- oder Leitungsanschluss erzeugen.
HAND_C_S_ENTRY	3	9	10	qokaly	okeey	3	4	B4_MAIN_ARCH_LINKED_PAIR	B4_MAIN_ARCH_LINKED_PAIR	MICROCYCLE_BOUNDARY	COPY_FORBIDDEN	Neuer Arbeitsgang; dieselbe Karte auf beiden Seiten wäre eine echte Wiederholung.
HAND_D_EXPANDED	1	4	5	cheeky	lcheey	1	2	H4_LEAF_OWNER	H4_LEAF_OWNER	MICROCYCLE_BOUNDARY	COPY_FORBIDDEN	Neuer Arbeitsgang; dieselbe Karte auf beiden Seiten wäre eine echte Wiederholung.
HAND_D_EXPANDED	2	6	7	checthy	chey	2	3	H4_LEAF_OWNER	B4_MAIN_ARCH_LINKED_PAIR	OWNER_HANDOFF	COPY_FORBIDDEN	Neuer sichtbarer Besitzer; eine Doppelung würde einen falschen Stoff- oder Leitungsanschluss erzeugen.
HAND_D_EXPANDED	3	9	10	qokaly	qokeey	3	4	B4_MAIN_ARCH_LINKED_PAIR	B4_MAIN_ARCH_LINKED_PAIR	MICROCYCLE_BOUNDARY	COPY_FORBIDDEN	Neuer Arbeitsgang; dieselbe Karte auf beiden Seiten wäre eine echte Wiederholung.
