hand	residual_width	line_no	owner	source_positions	microcycles_present	raw_line_surface	logical_line_surface	ink_units	right_margin_anticipation_surface	right_margin_source_position	next_line_continues_statement
HAND_A_BARE	18	1	H4_LEAF_OWNER	1|2|3	1	cho or cheoar	cho or cheoar	13	cheeky	4	YES
HAND_A_BARE	18	2	H4_LEAF_OWNER	4|5|6	1|2	cheeky lcheey cthy	cheeky | lcheey cthy	18	NONE	NONE	NO
HAND_A_BARE	18	3	B4_MAIN_ARCH_LINKED_PAIR	7|8|9	3	y aiin qokaly	y aiin qokaly	13	NONE	NONE	YES
HAND_A_BARE	18	4	B4_MAIN_ARCH_LINKED_PAIR	10|11	4	okeey qokylddy	okeey qokylddy	14	NONE	NONE	NO
HAND_B_Q_OPERATIONAL	16	1	H4_LEAF_OWNER	1|2|3	1	cho or cheoar	cho or cheoar	13	cheeky	4	YES
HAND_B_Q_OPERATIONAL	16	2	H4_LEAF_OWNER	4|5	1|2	cheeky lcheey	cheeky | lcheey	13	cthy	6	YES
HAND_B_Q_OPERATIONAL	16	3	H4_LEAF_OWNER	6	2	cthy	cthy	4	NONE	NONE	NO
HAND_B_Q_OPERATIONAL	16	4	B4_MAIN_ARCH_LINKED_PAIR	7|8|9	3	y aiin qokaly	y aiin qokaly	13	NONE	NONE	YES
HAND_B_Q_OPERATIONAL	16	5	B4_MAIN_ARCH_LINKED_PAIR	10|11	4	qokeey qokylddy	qokeey qokylddy	15	NONE	NONE	NO
HAND_C_S_ENTRY	20	1	H4_LEAF_OWNER	1|2|3	1	sho sor cheoar	sho sor cheoar	14	cheeky	4	YES
HAND_C_S_ENTRY	20	2	H4_LEAF_OWNER	4|5|6	1|2	cheeky lcheey shcthy	cheeky | lcheey shcthy	20	NONE	NONE	NO
HAND_C_S_ENTRY	20	3	B4_MAIN_ARCH_LINKED_PAIR	7|8|9	3	sy saiin qokaly	sy saiin qokaly	15	NONE	NONE	YES
HAND_C_S_ENTRY	20	4	B4_MAIN_ARCH_LINKED_PAIR	10|11	4	okeey qokylddy	okeey qokylddy	14	NONE	NONE	NO
HAND_D_EXPANDED	22	1	H4_LEAF_OWNER	1|2|3|4	1	cho chor cheoar cheeky	cho chor cheoar cheeky	22	NONE	NONE	YES
HAND_D_EXPANDED	22	2	H4_LEAF_OWNER	5|6	2	lcheey checthy	lcheey checthy	14	NONE	NONE	NO
HAND_D_EXPANDED	22	3	B4_MAIN_ARCH_LINKED_PAIR	7|8|9	3	chey chaiin qokaly	chey chaiin qokaly	18	NONE	NONE	YES
HAND_D_EXPANDED	22	4	B4_MAIN_ARCH_LINKED_PAIR	10|11	4	qokeey qokylddy	qokeey qokylddy	15	NONE	NONE	NO
