identity	surface	source_id	page	unit	slot	old_cardwise_default_de	compact_phrase_boundary_de	phrase_ids	revision_kind	new_stem_meaning
PROC007	otytchol	E007	f10r	H1-S001	OPERATION_OR_STATE	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN	PHR05	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC010	etyd	E010	f10r	H1-S001	OPERATION_OR_STATE	EIN KURZER ARBEITSGANG · BEARBEITEN · POSTEN	DEN POSTEN KURZ WEITERBEARBEITEN	PHR05	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC071	rol	E111	f81v	B1-S002	ORDER_OR_CONTINUATION	KUEHLEN · WEITER	ABKUEHLEN UND WEITERARBEITEN	PHR02	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC115	ls	E196	f82r	B2-S010	ORDER_OR_CONTINUATION	WEITER	WEITERARBEITEN	PHR04	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC118	lcheey	E206	f82r	B2-S012	OPERATION_OR_STATE	LEITEN · DREI KURZE ARBEITSGAENGE · POSTEN	DEN POSTEN LAENGER LEITEN	PHR01	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC119	qokeeedy	E209	f82r	B2-S012	RESULT_OR_CLOSE	ANSETZEN · BIS DER GANZE POSTEN ERFASST IST · SCHLUSS	DEN GANZEN POSTEN ANSETZEN UND SCHLIESSEN	PHR01	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC150	schedair	E300	f83r	B3-S030	MATERIAL_OR_MEDIUM	UMSETZEN · WASSER	DAS WASSER UMSETZEN	PHR05	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC065	otchey	E321	f83r	B4-S003	ORDER_OR_CONTINUATION	DANACH · POSTEN	DANACH DIESEN POSTEN	PHR04,PHR10	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC159	lkedy	E344	f83r	B4-S011	RESULT_OR_CLOSE	LEITEN · ZUGEBEN · EIN KURZER ARBEITSGANG · SCHLUSS	KURZ WEITERLEITEN UND SCHLIESSEN	PHR03	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC161	qockhey	E350	f83r	B4-S014	OPERATION_OR_STATE	ARBEITSGANG · DURCHLASS · EIN KURZER ARBEITSGANG · POSTEN	DEN POSTEN KURZ DURCH DEN DURCHLASS FUEHREN	PHR09	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC165	skar	E360	f83r	B4-S016	SOURCE	ZUGEBEN · QUELLE	AUS DER QUELLE ZUGEBEN	PHR08	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
PROC167	lol	E367	f83r	B5-S003	OPERATION_OR_STATE	LEITEN · WEITER	VON DORT WEITERLEITEN	PHR02	WORD_ORDER_AND_ELLIPSIS_ONLY	NO
