phrase_id	unit	page	left_source_id	left_surface	left_identity	left_slot	left_reading_de	phrase_surface	phrase_reading_de	right_source_id	right_surface	right_identity	right_slot	right_reading_de
PHR01	B2-S012	f82r	E206	lcheey	PROC118	OPERATION_OR_STATE	LEITEN · DREI KURZE ARBEITSGAENGE · POSTEN	daiin chey	DEN POSTEN NACH SOLLMASS FUEHREN	E209	qokeeedy	PROC119	RESULT_OR_CLOSE	ANSETZEN · BIS DER GANZE POSTEN ERFASST IST · SCHLUSS
PHR01	B3-S003	f83r	E232	chey	PROC019	ACTIVE_ITEM	POSTEN	daiin chey	DEN POSTEN NACH SOLLMASS FUEHREN	E235	lchedy	PROC120	RESULT_OR_CLOSE	LEITEN · UMSETZEN · SCHLUSS
PHR02	B1-S002	f81v	E108	olkain	PROC070	QUANTITY_OR_STAGE	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	dal ol	AN DER ZIELSTELLE WEITERARBEITEN	E111	rol	PROC071	ORDER_OR_CONTINUATION	KUEHLEN · WEITER
PHR02	B5-S003	f83r	E364	shedal	PROC142	TARGET	STEHENLASSEN · ZIELSTELLE	dal ol	AN DER ZIELSTELLE WEITERARBEITEN	E367	lol	PROC167	OPERATION_OR_STATE	LEITEN · WEITER
PHR03	B1-S004	f81v	NONE	NONE	NONE	STATEMENT_START	AUSSAGEANFANG	chedy ol	DEN POSTEN UMSETZEN UND WEITERFUEHREN	E125	shedy	PROC078	RESULT_OR_CLOSE	STEHENLASSEN · SCHLUSS
PHR03	B4-S011	f83r	E341	qokain	PROC080	QUANTITY_OR_STAGE	ANSETZEN · EIN ABGEGRENZTER TEIL	chedy ol	DEN POSTEN UMSETZEN UND WEITERFUEHREN	E344	lkedy	PROC159	RESULT_OR_CLOSE	LEITEN · ZUGEBEN · EIN KURZER ARBEITSGANG · SCHLUSS
PHR04	B2-S010	f82r	NONE	NONE	NONE	STATEMENT_START	AUSSAGEANFANG	qokeey qoky	DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN	E196	ls	PROC115	ORDER_OR_CONTINUATION	WEITER
PHR04	B4-S003	f83r	E321	otchey	PROC065	ORDER_OR_CONTINUATION	DANACH · POSTEN	qokeey qoky	DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN	E324	ol	PROC013	ORDER_OR_CONTINUATION	WEITER
PHR05	H1-S001	f10r	E007	otytchol	PROC007	OPERATION_OR_STATE	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	qoky daiin	DEN POSTEN NACH SOLLMASS ANSETZEN	E010	etyd	PROC010	OPERATION_OR_STATE	EIN KURZER ARBEITSGANG · BEARBEITEN · POSTEN
PHR05	B3-S030	f83r	NONE	NONE	NONE	STATEMENT_START	AUSSAGEANFANG	qoky daiin	DEN POSTEN NACH SOLLMASS ANSETZEN	E300	schedair	PROC150	MATERIAL_OR_MEDIUM	UMSETZEN · WASSER
PHR06	B2-S010	f82r	E194	qokeey	PROC092	OPERATION_OR_STATE	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	qoky ls	DEN POSTEN ANSETZEN UND WEITERARBEITEN	E197	cheey	PROC031	OPERATION_OR_STATE	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN
PHR06	B4-S003	f83r	E322	qokeey	PROC092	OPERATION_OR_STATE	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	qoky ol	DEN POSTEN ANSETZEN UND WEITERARBEITEN	E325	shedy	PROC078	RESULT_OR_CLOSE	STEHENLASSEN · SCHLUSS
