source_id	page	unit	surface	identity	card_class	component_recipe	global_default_de	slot	boundary_sides	phrase_ids	phrase_ready_reading_de	semantic_atoms_changed
E007	f10r	H1-S001	otytchol	PROC007	LOCAL_MODEL	OT+Y+T+CH+OL	DANACH · POSTEN · BEARBEITEN · ENTNEHMEN · WEITER	OPERATION_OR_STATE	LEFT	PHR05	DANACH DIESEN POSTEN BEARBEITEN, ENTNEHMEN UND WEITERFUEHREN	NO
E010	f10r	H1-S001	etyd	PROC010	LOCAL_MODEL	E+T+Y	EIN KURZER ARBEITSGANG · BEARBEITEN · POSTEN	OPERATION_OR_STATE	RIGHT	PHR05	DEN POSTEN KURZ WEITERBEARBEITEN	NO
E070	f55v	H4-S004	oltchy	PROC049	PORTABLE_CORE	OL+T+Y	WEITER · BEARBEITEN · POSTEN	OPERATION_OR_STATE	LEFT	PHR09	WEITER · BEARBEITEN · POSTEN	NO
E073	f55v	H4-S004	orain	PROC050	PORTABLE_CORE	OR+AIN	ANSATZ · EIN ABGEGRENZTER TEIL	QUANTITY_OR_STAGE	RIGHT	PHR09	ANSATZ · EIN ABGEGRENZTER TEIL	NO
E107	f81v	B1-S002	kain	PROC069	PORTABLE_CORE	K+AIN	ZUGEBEN · EIN ABGEGRENZTER TEIL	QUANTITY_OR_STAGE	LEFT	PHR08	ZUGEBEN · EIN ABGEGRENZTER TEIL	NO
E108	f81v	B1-S002	olkain	PROC070	PORTABLE_CORE	OL+K+AIN	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	QUANTITY_OR_STAGE	LEFT	PHR02	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	NO
E110	f81v	B1-S002	ol	PROC013	PORTABLE_CORE	OL	WEITER	ORDER_OR_CONTINUATION	RIGHT	PHR08	WEITER	NO
E111	f81v	B1-S002	rol	PROC071	LOCAL_MODEL	R+OL	KUEHLEN · WEITER	ORDER_OR_CONTINUATION	RIGHT	PHR02	ABKUEHLEN UND WEITERARBEITEN	NO
E123	f81v	B1-S004	chedy	PROC042	PORTABLE_CORE	CHD+Y	UMSETZEN · POSTEN	OPERATION_OR_STATE	LEFT	PHR07	UMSETZEN · POSTEN	NO
E125	f81v	B1-S004	shedy	PROC078	PORTABLE_CORE	SHED+DY	STEHENLASSEN · SCHLUSS	RESULT_OR_CLOSE	RIGHT	PHR03	STEHENLASSEN · SCHLUSS	NO
