phrase_id	working_phrase_de	left_slots	right_slots	occurrences	pages	teaching_frame_de
PHR01	DEN POSTEN NACH SOLLMASS FUEHREN	ACTIVE_ITEM,OPERATION_OR_STATE	RESULT_OR_CLOSE	2	f82r,f83r	[ACTIVE_ITEM,OPERATION_OR_STATE] → DEN POSTEN NACH SOLLMASS FUEHREN → [RESULT_OR_CLOSE]
PHR02	AN DER ZIELSTELLE WEITERARBEITEN	QUANTITY_OR_STAGE,TARGET	OPERATION_OR_STATE,ORDER_OR_CONTINUATION	2	f81v,f83r	[QUANTITY_OR_STAGE,TARGET] → AN DER ZIELSTELLE WEITERARBEITEN → [OPERATION_OR_STATE,ORDER_OR_CONTINUATION]
PHR03	DEN POSTEN UMSETZEN UND WEITERFUEHREN	QUANTITY_OR_STAGE,STATEMENT_START	RESULT_OR_CLOSE	2	f81v,f83r	[QUANTITY_OR_STAGE,STATEMENT_START] → DEN POSTEN UMSETZEN UND WEITERFUEHREN → [RESULT_OR_CLOSE]
PHR04	DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN	ORDER_OR_CONTINUATION,STATEMENT_START	ORDER_OR_CONTINUATION	2	f82r,f83r	[ORDER_OR_CONTINUATION,STATEMENT_START] → DEN POSTEN LAENGER ANSETZEN UND ERNEUT ANSETZEN → [ORDER_OR_CONTINUATION]
PHR05	DEN POSTEN NACH SOLLMASS ANSETZEN	OPERATION_OR_STATE,STATEMENT_START	MATERIAL_OR_MEDIUM,OPERATION_OR_STATE	2	f10r,f83r	[OPERATION_OR_STATE,STATEMENT_START] → DEN POSTEN NACH SOLLMASS ANSETZEN → [MATERIAL_OR_MEDIUM,OPERATION_OR_STATE]
PHR06	DEN POSTEN ANSETZEN UND WEITERARBEITEN	OPERATION_OR_STATE	OPERATION_OR_STATE,RESULT_OR_CLOSE	2	f82r,f83r	[OPERATION_OR_STATE] → DEN POSTEN ANSETZEN UND WEITERARBEITEN → [OPERATION_OR_STATE,RESULT_OR_CLOSE]
PHR07	WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN	OPERATION_OR_STATE	STATEMENT_END	4	f81v,f83r	[OPERATION_OR_STATE] → WEITERARBEITEN, STEHENLASSEN UND SCHLIESSEN → [STATEMENT_END]
PHR08	EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN	QUANTITY_OR_STAGE,STATEMENT_START	ORDER_OR_CONTINUATION,SOURCE	2	f81v,f83r	[QUANTITY_OR_STAGE,STATEMENT_START] → EINE PORTION WEITER AN DIE ZIELSTELLE GEBEN → [ORDER_OR_CONTINUATION,SOURCE]
PHR09	DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN	OPERATION_OR_STATE,STATEMENT_START	OPERATION_OR_STATE,QUANTITY_OR_STAGE	2	f55v,f83r	[OPERATION_OR_STATE,STATEMENT_START] → DEN ANSATZ ALS LAUFENDEN POSTEN FUEHREN → [OPERATION_OR_STATE,QUANTITY_OR_STAGE]
PHR10	DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN	ORDER_OR_CONTINUATION,STATEMENT_START	OPERATION_OR_STATE,RESULT_OR_CLOSE	2	f82r,f83r	[ORDER_OR_CONTINUATION,STATEMENT_START] → DEN POSTEN LAENGER ANSETZEN, ERNEUT ANSETZEN UND WEITERARBEITEN → [OPERATION_OR_STATE,RESULT_OR_CLOSE]
