symbol	atomic_value_de	slot_role	symbol_class	marks	scribe_rule
AIIN	MASS	ARGUMENT	CROSS_REGISTER_ABBREVIATION	37	SETZE AIIN IN DEN SLOT ARGUMENT; LIES MASS
AIN	PORTION	ARGUMENT	LEARNED_WORKSHOP_ROOT	17	SETZE AIN IN DEN SLOT ARGUMENT; LIES PORTION
AIR	LAUF	PATH	CROSS_REGISTER_ABBREVIATION	12	SETZE AIR IN DEN SLOT PATH; LIES LAUF
AL	ZIELSTELLE	ADDRESS	CROSS_REGISTER_ABBREVIATION	48	SETZE AL IN DEN SLOT ADDRESS; LIES ZIELSTELLE
AN	NACHGABE	ARGUMENT	LEARNED_WORKSHOP_ROOT	1	SETZE AN IN DEN SLOT ARGUMENT; LIES NACHGABE
AR	QUELLE	ADDRESS	CROSS_REGISTER_ABBREVIATION	23	SETZE AR IN DEN SLOT ADDRESS; LIES QUELLE
CH	ENTNEHMEN	OPERATION	CROSS_REGISTER_ABBREVIATION	22	SETZE CH IN DEN SLOT OPERATION; LIES ENTNEHMEN
CHD	UMSETZEN	OPERATION	CROSS_REGISTER_ABBREVIATION	50	SETZE CHD IN DEN SLOT OPERATION; LIES UMSETZEN
CHK	WAERMEN	OPERATION	LEARNED_WORKSHOP_ROOT	7	SETZE CHK IN DEN SLOT OPERATION; LIES WAERMEN
CKH	DURCHLASS	PATH	CROSS_REGISTER_ABBREVIATION	15	SETZE CKH IN DEN SLOT PATH; LIES DURCHLASS
CTH	BEREIT	STATE	CROSS_REGISTER_ABBREVIATION	15	SETZE CTH IN DEN SLOT STATE; LIES BEREIT
DA	ZWEITE	GRADE	LEARNED_WORKSHOP_ROOT	1	SETZE DA IN DEN SLOT GRADE; LIES ZWEITE
DY	SCHLIESSEN	ENDPOINT	CROSS_REGISTER_ABBREVIATION	93	SETZE DY IN DEN SLOT ENDPOINT; LIES SCHLIESSEN
E	KURZ	GRADE	CROSS_REGISTER_ABBREVIATION	59	SETZE E IN DEN SLOT GRADE; LIES KURZ
EE	LANG	GRADE	CROSS_REGISTER_ABBREVIATION	48	SETZE EE IN DEN SLOT GRADE; LIES LANG
EEE	VOLLSTAENDIG	GRADE	LEARNED_WORKSHOP_ROOT	2	SETZE EEE IN DEN SLOT GRADE; LIES VOLLSTAENDIG
HO	TEIL	MATERIAL	CROSS_REGISTER_ABBREVIATION	6	SETZE HO IN DEN SLOT MATERIAL; LIES TEIL
IIN	STUFE	STATE	LEARNED_WORKSHOP_ROOT	3	SETZE IIN IN DEN SLOT STATE; LIES STUFE
K	ZUGEBEN	OPERATION	CROSS_REGISTER_ABBREVIATION	23	SETZE K IN DEN SLOT OPERATION; LIES ZUGEBEN
L	LEITEN	PATH	LEARNED_WORKSHOP_ROOT	27	SETZE L IN DEN SLOT PATH; LIES LEITEN
LD	FESTBINDEN	OPERATION	LEARNED_WORKSHOP_ROOT	1	SETZE LD IN DEN SLOT OPERATION; LIES FESTBINDEN
LSH	SPUELEN	OPERATION	LEARNED_WORKSHOP_ROOT	3	SETZE LSH IN DEN SLOT OPERATION; LIES SPUELEN
O	ARBEITSGANG	PROCESS	CROSS_REGISTER_ABBREVIATION	30	SETZE O IN DEN SLOT PROCESS; LIES ARBEITSGANG
OK	ANSETZEN	OPERATION	CROSS_REGISTER_ABBREVIATION	80	SETZE OK IN DEN SLOT OPERATION; LIES ANSETZEN
OL	FORTSETZEN	ORDER	CROSS_REGISTER_ABBREVIATION	52	SETZE OL IN DEN SLOT ORDER; LIES FORTSETZEN
OR	ANSATZ	MATERIAL	CROSS_REGISTER_ABBREVIATION	12	SETZE OR IN DEN SLOT MATERIAL; LIES ANSATZ
OT	DANACH	ORDER	CROSS_REGISTER_ABBREVIATION	35	SETZE OT IN DEN SLOT ORDER; LIES DANACH
P	EINBRINGEN	OPERATION	LEARNED_WORKSHOP_ROOT	4	SETZE P IN DEN SLOT OPERATION; LIES EINBRINGEN
R	KUEHL	STATE	CROSS_REGISTER_ABBREVIATION	8	SETZE R IN DEN SLOT STATE; LIES KUEHL
S	PROBE	OPERATION	LEARNED_WORKSHOP_ROOT	1	SETZE S IN DEN SLOT OPERATION; LIES PROBE
SH	HALTEN	STATE	CROSS_REGISTER_ABBREVIATION	29	SETZE SH IN DEN SLOT STATE; LIES HALTEN
SHED	RUHEN	STATE	LEARNED_WORKSHOP_ROOT	15	SETZE SHED IN DEN SLOT STATE; LIES RUHEN
SOLK	SAMMELN	OPERATION	LEARNED_WORKSHOP_ROOT	7	SETZE SOLK IN DEN SLOT OPERATION; LIES SAMMELN
T	BEARBEITEN	OPERATION	CROSS_REGISTER_ABBREVIATION	18	SETZE T IN DEN SLOT OPERATION; LIES BEARBEITEN
TALAM	BEISEITESTELLEN	WHOLE_ROOT	LEARNED_WORKSHOP_ROOT	1	SETZE TALAM IN DEN SLOT WHOLE_ROOT; LIES BEISEITESTELLEN
Y	POSTEN	REFERENT	CROSS_REGISTER_ABBREVIATION	164	SETZE Y IN DEN SLOT REFERENT; LIES POSTEN
A_ADDR	STELLE	ADDRESS	LOCAL_ADDRESS_SIGN	4	SETZE A_ADDR IN DEN SLOT ADDRESS; LIES STELLE
AM_ADDR	GEGENFELD	ADDRESS	LOCAL_ADDRESS_SIGN	2	SETZE AM_ADDR IN DEN SLOT ADDRESS; LIES GEGENFELD
D_ADDR	TEILSTELLE	ADDRESS	LOCAL_ADDRESS_SIGN	6	SETZE D_ADDR IN DEN SLOT ADDRESS; LIES TEILSTELLE
D_LABEL	PHASE	LABEL	LOCAL_LABEL_SIGN	1	SETZE D_LABEL IN DEN SLOT LABEL; LIES PHASE
S_ADDR	STERNBEZUG	ADDRESS	LOCAL_ADDRESS_SIGN	2	SETZE S_ADDR IN DEN SLOT ADDRESS; LIES STERNBEZUG
S_LABEL	PHASENZEICHEN	LABEL	LOCAL_LABEL_SIGN	1	SETZE S_LABEL IN DEN SLOT LABEL; LIES PHASENZEICHEN
CHEO	AUSZUG	MATERIAL	LOCAL_MATERIAL_SIGN	3	SETZE CHEO IN DEN SLOT MATERIAL; LIES AUSZUG
WHOLE[cheey|shey]	LANG HALTEN	WHOLE	FUSED_WHOLE_SIGN	1	SETZE WHOLE[cheey|shey] IN DEN SLOT WHOLE; LIES LANG HALTEN
NONE	LOKALES GANZWORT	WHOLE	LOCAL_WHOLE_SIGN	2	SETZE NONE IN DEN SLOT WHOLE; LIES LOKALES GANZWORT
CFH	AUSPRESSEN	OPERATION	WORKSHOP_UTILITY_ROOT	2	SETZE CFH IN DEN SLOT OPERATION; LIES AUSPRESSEN
OS	DAZU	ORDER	WORKSHOP_UTILITY_ROOT	2	SETZE OS IN DEN SLOT ORDER; LIES DAZU
RESUME_CARD	DAVON	REFERENT	WORKSHOP_UTILITY_ROOT	2	SETZE RESUME_CARD IN DEN SLOT REFERENT; LIES DAVON
