example	intended_instruction_de	root_recipe	slot_signature	attested_surface	backward_root_reading_de	local_fluent_reading_de	roundtrip_rule
1	Den Posten nach Maß zugeben	Y+K+AIIN	REFERENT>OPERATION>ARGUMENT	ykaiin	POSTEN · ZUGEBEN · MASS	SOLLMASS ZUGEBEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
2	Lange an der Zielstelle ansetzen	OK+EE+AL	OPERATION>GRADE>ADDRESS	qokeedal	ANSETZEN · LANG · ZIELSTELLE	LAENGER AN DER ZIELSTELLE ANSETZEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
3	Danach umsetzen und schließen	OT+CHD+DY	ORDER>OPERATION>ENDPOINT	qotchedy	DANACH · UMSETZEN · SCHLIESSEN	DANACH UMSETZEN UND SCHLIESSEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
4	Kühl ruhen lassen und schließen	R+SHED+DY	STATE>STATE>ENDPOINT	rshedy	KUEHL · RUHEN · SCHLIESSEN	KUEHL RUHEN LASSEN UND SCHLIESSEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
5	Einen Teil für den Ansatz entnehmen	HO+CH+OR	MATERIAL>OPERATION>MATERIAL	chochor	TEIL · ENTNEHMEN · ANSATZ	PFLANZENZUTAT FUER DEN ANSATZ ENTNEHMEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
6	Kurz durch den Durchlass leiten und schließen	L+CKH+E+DY	PATH>PATH>GRADE>ENDPOINT	lcheckhedy	LEITEN · DURCHLASS · KURZ · SCHLIESSEN	KURZ DURCHLEITEN UND SCHLIESSEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
7	Den Posten lange sammeln	SOLK+EE+Y	OPERATION>GRADE>REFERENT	solkeey	SAMMELN · LANG · POSTEN	LANG SAMMELN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
8	Den Laufposten schließen	AIR+Y+DY	PATH>REFERENT>ENDPOINT	dairydy	LAUF · POSTEN · SCHLIESSEN	WASSERPOSTEN SCHLIESSEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
9	Danach den Posten lange halten	OT+EE+Y	ORDER>GRADE>REFERENT	oteey	DANACH · LANG · POSTEN	DANACH LANG HALTEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
10	Beiseitestellen	TALAM	WHOLE_ROOT	talam	BEISEITESTELLEN	BEISEITESTELLEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING
