identity	surface	component_recipe	slot_signature	root_reading_de	dictionary_value_de	local_fluent_expansions_de	primary_pattern	marks	orders	renderer_rule
A1:G001	ykshy	Y+K+Y	REFERENT>OPERATION>REFERENT	POSTEN · ZUGEBEN · POSTEN	POSTEN · ZUGEBEN · POSTEN	POSTEN · ZUGEBEN · POSTEN	OPERATION_INSTRUCTION	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A1:G002	s	S_LABEL	LABEL	PHASENZEICHEN	PHASENZEICHEN	PHASENZEICHEN	REFERENT_OR_LABEL	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A1:G003	aram	AR+AM_ADDR	ADDRESS>ADDRESS	QUELLE · GEGENFELD	QUELLE · GEGENFELD	QUELLE · GEGENFELD	ARGUMENT_OR_ADDRESS	1	WH06	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	ADDRESS>ORDER>OPERATION>ADDRESS>PROCESS>ENDPOINT	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	CLOSING_INSTRUCTION	1	WH03	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	PROCESS>ADDRESS>OPERATION>GRADE>STATE>REFERENT	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	OPERATION_INSTRUCTION	1	WH05	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G041	yka	Y+K+A_ADDR	REFERENT>OPERATION>ADDRESS	POSTEN · ZUGEBEN · STELLE	POSTEN · ZUGEBEN · STELLE	POSTEN · ZUGEBEN · STELLE	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G042	chol	OL	ORDER	FORTSETZEN	FORTSETZEN	FORTSETZEN	ORDERED_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G043	ykar	Y+K+AR	REFERENT>OPERATION>ADDRESS	POSTEN · ZUGEBEN · QUELLE	POSTEN · ZUGEBEN · QUELLE	POSTEN · ZUGEBEN · QUELLE	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G044	dal	AL	ADDRESS	ZIELSTELLE	ZIELSTELLE	ZIELSTELLE	ARGUMENT_OR_ADDRESS	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G045	ykady	Y+K+A_ADDR+Y	REFERENT>OPERATION>ADDRESS>REFERENT	POSTEN · ZUGEBEN · STELLE · POSTEN	POSTEN · ZUGEBEN · STELLE · POSTEN	POSTEN · ZUGEBEN · STELLE · POSTEN	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G046	iokeeor	NONE	WHOLE	LOKALES GANZWORT	WETTERZEICHEN	WETTERZEICHEN	WHOLE_LEXICON	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G047	cheey	WHOLE[cheey|shey]	WHOLE	LANG HALTEN	LANG HALTEN	LANG HALTEN	WHOLE_LEXICON	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G048	choly	OL+Y	ORDER>REFERENT	FORTSETZEN · POSTEN	FORTSETZEN · POSTEN	FORTSETZEN · POSTEN	ORDERED_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G049	ykeeal	Y+K+EE+AL	REFERENT>OPERATION>GRADE>ADDRESS	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	OPERATION_INSTRUCTION	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G050	cheo	CHEO	MATERIAL	AUSZUG	AUSZUG	AUSZUG	ARGUMENT_OR_ADDRESS	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G051	oaram	O+AR+AM_ADDR	PROCESS>ADDRESS>ADDRESS	ARBEITSGANG · QUELLE · GEGENFELD	ARBEITSGANG · QUELLE · GEGENFELD	ARBEITSGANG · QUELLE · GEGENFELD	ARGUMENT_OR_ADDRESS	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G052	ockhy	O+CKH+Y	PROCESS>PATH>REFERENT	ARBEITSGANG · DURCHLASS · POSTEN	ARBEITSGANG · DURCHLASS · POSTEN	ARBEITSGANG · DURCHLASS · POSTEN	TRANSFER_OR_PATH	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G053	sheey	SH+EE+Y	STATE>GRADE>REFERENT	HALTEN · LANG · POSTEN	LANG HALTEN	LANG HALTEN	STATE_OR_GRADE	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G054	aiin	AIIN	ARGUMENT	MASS	MASS	MASS	ARGUMENT_OR_ADDRESS	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
A3:G055	y	Y	REFERENT	POSTEN	POSTEN	POSTEN	REFERENT_OR_LABEL	1	WH01	LEARN EXACT SURFACE ALLOGRAPH AFTER ROOT RECIPE
