position	event_id	statement_id	surface	exact_card_id	component_recipe	literal_card_meaning_de	semantic_atom_count	latin_like_source_phrase	mixed_workshop_shorthand	picture_owner_inherited	branch_preparation_active	same_card_meaning
1	E015	H2-S001	ycheor	PROC015	Y+CH+E+OR	POSTEN · ENTNEHMEN · KURZ · ANSATZ	4	de praeparatione currente cito sume	de prep. curr. / cito sume	YES	YES	YES
2	E016	H2-S001	cthy	PROC014	CTH+Y	BEREITEN · POSTEN	2	rem para	rem / para	YES	YES	YES
3	E017	H2-S001	chor	PROC016	OR	ANSATZ	1	preparatio	prep.	YES	YES	YES
4	E018	H2-S001	cthaiin	PROC017	CTH+AIIN	BEREITEN · SOLLMASS	2	ad mensuram para	ad mens. / para	YES	YES	YES
5	E019	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · POSTEN	4	in opere rem para et continua	in op. / rem para-cont.	YES	YES	YES
6	E020	H2-S001	dy	PROC019	Y	POSTEN	1	res currens	rem	YES	YES	YES
7	E021	H2-S001	chy	PROC019	Y	POSTEN	1	res currens	rem	YES	YES	YES
8	E022	H2-S001	taiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	YES	YES	YES
9	E023	H2-S001	shy	PROC019	Y	POSTEN	1	res currens	rem	YES	YES	YES
10	E024	H2-S002	qotchor	PROC020	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	3	deinde de praeparatione sume	deinde / de prep. sume	YES	YES	YES
11	E025	H2-S002	chor	PROC016	OR	ANSATZ	1	preparatio	prep.	YES	YES	YES
12	E026	H2-S002	otol	PROC021	OT+OL	DANACH · WEITER	2	deinde continua	deinde / cont.	YES	YES	YES
13	E027	H2-S002	chol	PROC013	OL	WEITER	1	continua	cont.	YES	YES	YES
14	E028	H2-S002	cholor	PROC022	OL+OR	WEITER · ANSATZ	2	praeparationem continua	prep. / cont.	YES	YES	YES
15	E029	H2-S002	chol	PROC013	OL	WEITER	1	continua	cont.	YES	YES	YES
16	E030	H2-S002	daiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	YES	YES	YES
17	E031	H2-S002	dar	PROC003	AR	QUELLE	1	ex fonte	ex fonte	YES	YES	YES
18	E032	H2-S003	oykchor	PROC023	O+Y+K+OR	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ	4	in opere rem praeparationi adde	in op. / rem prep. adde	YES	YES	YES
19	E033	H2-S003	shor	PROC016	OR	ANSATZ	1	preparatio	prep.	YES	YES	YES
20	E034	H2-S003	chor	PROC016	OR	ANSATZ	1	preparatio	prep.	YES	YES	YES
21	E035	H2-S003	chy	PROC019	Y	POSTEN	1	res currens	rem	YES	YES	YES
22	E036	H2-S003	kaiiin	PROC024	K+IIN	ZUGEBEN · STUFE	2	adde usque ad gradum	adde / ad grad.	YES	YES	YES
23	E037	H2-S003	dy	PROC019	Y	POSTEN	1	res currens	rem	YES	YES	YES
24	E038	H2-S003	chodaiin	PROC025	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	3	in opere ad mensuram sume	in op. / ad mens. / sume	YES	YES	YES
