card_no	component_parse	invariant_card_reading_de	occurrences	surfaces	event_ids	shared_with_herbal	owner_scope
PROC067	OK+E+DY	ansetzen · kurz · Schluss	3	qokedy	E101|E137|E138	NO	B1_SHARED_TWO_ROW_POOL
PROC038	OK+AIIN	ansetzen · Maß	1	okaiin	E102	YES	B1_SHARED_TWO_ROW_POOL
PROC068	K+AIR	zuführen · Lauf	1	kair	E103	NO	B1_SHARED_TWO_ROW_POOL
PROC048	OK+AL	ansetzen · Zielstelle	2	okal|qokal	E104|E152	YES	B1_SHARED_TWO_ROW_POOL
PROC003	AR	von dort	1	sar	E105	YES	B1_SHARED_TWO_ROW_POOL
PROC013	OL	fortsetzen	9	ol|qol	E106|E110|E114|E121|E124|E133|E135|E148|E154	YES	B1_SHARED_TWO_ROW_POOL
PROC069	K+AIN	zuführen · Portion	1	kain	E107	NO	B1_SHARED_TWO_ROW_POOL
PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	1	olkain	E108	NO	B1_SHARED_TWO_ROW_POOL
PROC055	AL	Zielstelle	3	al|sal|chal	E109|E156|E166	YES	B1_SHARED_TWO_ROW_POOL
PROC071	R+OL	abkühlen · fortsetzen	1	rol	E111	NO	B1_SHARED_TWO_ROW_POOL
PROC072	L	führen	2	dl	E112|E129	NO	B1_SHARED_TWO_ROW_POOL
PROC022	OL+OR	fortsetzen · Ansatz	1	olor	E113	YES	B1_SHARED_TWO_ROW_POOL
PROC073	SH+E+CKH+AL	halten · kurz · Durchlass · Zielstelle	1	sheckhal	E115	NO	B1_SHARED_TWO_ROW_POOL
PROC009	AIIN	Maß	2	daiin	E116|E118	YES	B1_SHARED_TWO_ROW_POOL
PROC074	OK+EE+AL	ansetzen · länger · Zielstelle	1	qokeedal	E117	NO	B1_SHARED_TWO_ROW_POOL
PROC075	CKH+Y	Durchlass · dies	3	chckhy|shckhy	E119|E128|E139	NO	B1_SHARED_TWO_ROW_POOL
PROC076	CHD+DY	umsetzen · Schluss	1	schedy	E120	NO	B1_SHARED_TWO_ROW_POOL
PROC077	SH+K+CHD+DY	halten · zuführen · umsetzen · Schluss	1	sshkchdy	E122	NO	B1_SHARED_TWO_ROW_POOL
PROC042	CHD+Y	umsetzen · dies	2	chedy	E123|E145	YES	B1_SHARED_TWO_ROW_POOL
PROC078	SHED+DY	absetzen · Schluss	4	shedy|cheedy|tedy	E125|E136|E155|E163	NO	B1_SHARED_TWO_ROW_POOL
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	1	qolchedy	E126	NO	B1_SHARED_TWO_ROW_POOL
PROC080	OK+AIN	ansetzen · Portion	1	qokain	E127	NO	B1_SHARED_TWO_ROW_POOL
PROC081	R+AL	abkühlen · Zielstelle	1	ral	E130	NO	B1_SHARED_TWO_ROW_POOL
PROC082	OK+CHD+DY	ansetzen · umsetzen · Schluss	1	qokchdy	E131	NO	B1_SHARED_TWO_ROW_POOL
PROC019	Y	dies	1	chey	E132	YES	B1_SHARED_TWO_ROW_POOL
PROC083	CHK+E+Y	wärmen · kurz · dies	2	cheky	E134|E164	NO	B1_SHARED_TWO_ROW_POOL
PROC008	OK+Y	ansetzen · dies	1	qoky	E140	YES	B1_SHARED_TWO_ROW_POOL
PROC084	LSH+O	Waschgang · Arbeitsgang	1	lsho	E141	NO	B1_SHARED_TWO_ROW_POOL
PROC085	OK+E+Y	ansetzen · kurz · dies	1	qokey	E142	NO	B1_SHARED_TWO_ROW_POOL
PROC086	LSH+E+DY	Waschgang · kurz · Schluss	2	lshedy	E143|E144	NO	B1_SHARED_TWO_ROW_POOL
PROC087	SOLK+Y	auffangen · dies	1	qolky	E146	NO	B1_SHARED_TWO_ROW_POOL
PROC088	L+CHD+AL	führen · umsetzen · Zielstelle	1	lchedal	E147	NO	B1_SHARED_TWO_ROW_POOL
PROC089	OT+AR	danach · von dort	1	otar	E149	NO	B1_SHARED_TWO_ROW_POOL
PROC090	T+E+Y	eintragen · kurz · dies	1	ytey	E150	NO	B1_SHARED_TWO_ROW_POOL
PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	1	okchedy	E151	NO	B1_SHARED_TWO_ROW_POOL
PROC092	OK+EE+Y	ansetzen · länger · dies	1	okeey	E153	NO	B1_SHARED_TWO_ROW_POOL
PROC093	E+OL	kurz · fortsetzen	1	teol	E157	NO	B1_SHARED_TWO_ROW_POOL
PROC094	CHD+DY	umsetzen · Schluss	1	dchdy	E158	NO	B1_SHARED_TWO_ROW_POOL
PROC095	L+Y	führen · dies	1	ly	E159	NO	B1_SHARED_TWO_ROW_POOL
PROC096	SH+E+OL	halten · kurz · fortsetzen	1	dsheol	E160	NO	B1_SHARED_TWO_ROW_POOL
PROC097	O+IIN	Arbeitsgang · Sollstufe	1	oiiin	E161	NO	B1_SHARED_TWO_ROW_POOL
PROC098	SOLK+EE+DY	auffangen · länger · Schluss	1	olkeedy	E162	NO	B1_SHARED_TWO_ROW_POOL
PROC099	SH+CKHE+DY	halten · Durchlass · kurz · Schluss	1	shckhedy	E165	NO	B1_SHARED_TWO_ROW_POOL
