card_no	component_parse	invariant_card_reading_de	occurrences	surfaces	event_ids	shared_with_herbal	owner_scope
PROC038	OK+AIIN	ansetzen · Maß	1	okaiin	E102	YES	B1_SHARED_TWO_ROW_POOL
PROC048	OK+AL	ansetzen · Zielstelle	2	okal|qokal	E104|E152	YES	B1_SHARED_TWO_ROW_POOL
PROC003	AR	von dort	1	sar	E105	YES	B1_SHARED_TWO_ROW_POOL
PROC013	OL	fortsetzen	9	ol|qol	E106|E110|E114|E121|E124|E133|E135|E148|E154	YES	B1_SHARED_TWO_ROW_POOL
PROC055	AL	Zielstelle	3	al|sal|chal	E109|E156|E166	YES	B1_SHARED_TWO_ROW_POOL
PROC022	OL+OR	fortsetzen · Ansatz	1	olor	E113	YES	B1_SHARED_TWO_ROW_POOL
PROC009	AIIN	Maß	2	daiin	E116|E118	YES	B1_SHARED_TWO_ROW_POOL
PROC042	CHD+Y	umsetzen · dies	2	chedy	E123|E145	YES	B1_SHARED_TWO_ROW_POOL
PROC019	Y	dies	1	chey	E132	YES	B1_SHARED_TWO_ROW_POOL
PROC008	OK+Y	ansetzen · dies	1	qoky	E140	YES	B1_SHARED_TWO_ROW_POOL
