event_id	statement_id	locus	surface	card_no	component_parse	invariant_card_reading_de	primitive	minimum_source_clause_de	visible_owner_de	owner_id	terminal	global_flow_direction
E101	B1-S001	f81v.2	qokedy	PROC067	OK+E+DY	ansetzen · kurz · Schluss	HOLD_STATE>CLOSE	ansetzen kurz Schluss	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	YES	NONE
E102	B1-S002	f81v.2	okaiin	PROC038	OK+AIIN	ansetzen · Maß	METER_CHECK	ansetzen Maß	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E103	B1-S002	f81v.2	kair	PROC068	K+AIR	zuführen · Lauf	MOVE_PASS	zuführen Lauf	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E104	B1-S002	f81v.2	okal	PROC048	OK+AL	ansetzen · Zielstelle	TARGET_HANDOFF	ansetzen Zielstelle	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E105	B1-S002	f81v.2	sar	PROC003	AR	von dort	SOURCE_DRAW	von dort	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E106	B1-S002	f81v.2	ol	PROC013	OL	fortsetzen	CONTINUE_USE	fortsetzen	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E107	B1-S002	f81v.2	kain	PROC069	K+AIN	zuführen · Portion	ACTIVATE_CHARGE	zuführen Portion	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E108	B1-S002	f81v.2	olkain	PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	ACTIVATE_CHARGE	fortsetzen zuführen Portion	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E109	B1-S002	f81v.2	al	PROC055	AL	Zielstelle	TARGET_HANDOFF	Zielstelle	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E110	B1-S002	f81v.2	ol	PROC013	OL	fortsetzen	CONTINUE_USE	fortsetzen	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E111	B1-S002	f81v.2	rol	PROC071	R+OL	abkühlen · fortsetzen	HOLD_STATE	abkühlen fortsetzen	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E112	B1-S002	f81v.2	dl	PROC072	L	führen	MOVE_PASS	führen	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E113	B1-S002	f81v.7	olor	PROC022	OL+OR	fortsetzen · Ansatz	ACTIVATE_CHARGE	fortsetzen Ansatz	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E114	B1-S002	f81v.7	ol	PROC013	OL	fortsetzen	CONTINUE_USE	fortsetzen	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
E115	B1-S002	f81v.7	sheckhal	PROC073	SH+E+CKH+AL	halten · kurz · Durchlass · Zielstelle	HOLD_STATE	halten kurz Durchlass Zielstelle	gemeinsame zweireihige Figuren-/Beckenstation	B1_SHARED_TWO_ROW_POOL	NO	NONE
