edition	paragraph	at	word	left	right	full_line
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.34|G005	okain	shek	y	qokain ar raiin shek okain y r shey qolchey okaiin shckhy qokam
ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.41|G007	okain	sheain	shey	dlar shar shar r ain sheain okain shey qokchy chckhy orain
ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.49|G003	okain	shey	chedy	por shey okain chedy qolsheol olchedy
ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.32|G001	solchey	LINE_START	qoky	solchey qoky r cheykain sheckhy qokain okain ol
ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.32|G007	okain	qokain	ol	solchey qoky r cheykain sheckhy qokain okain ol
ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.33|G001	solchey	LINE_START	qokeey	solchey qokeey lkar otal olkeey okain shecthy ol
ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.33|G006	okain	olkeey	shecthy	solchey qokeey lkar otal olkeey okain shecthy ol
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.34|G005	okain	shek	yrshey	qokain ar raiin shek okain yrshey qolchey okain shckhy qokam
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.34|G008	okain	qolchey	shckhy	qokain ar raiin shek okain yrshey qolchey okain shckhy qokam
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.38|G007	okain	shey	chedy	daiin qokeey lshey qokain chkar shey okain chedy qokeedy raiin shy
IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.41|G006	okain	sheain	shey	dlar shar shar rain sheain okain shey qokchy chckhy orain
IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.49|G003	okain	shey	chedy	por shey okain chedy qol sheol olchedy
IT2a	f80r|f80r.28-f80r.33	IT2a|f80r.32|G001	solchey	LINE_START	qoky	solchey qoky r cheykain sheckhy qokain okain ol
IT2a	f80r|f80r.28-f80r.33	IT2a|f80r.32|G007	okain	qokain	ol	solchey qoky r cheykain sheckhy qokain okain ol
IT2a	f80r|f80r.28-f80r.33	IT2a|f80r.33|G001	solchey	LINE_START	qokeey	solchey qokeey lkar otal olkeey okain shecthy ol
IT2a	f80r|f80r.28-f80r.33	IT2a|f80r.33|G006	okain	olkeey	shecthy	solchey qokeey lkar otal olkeey okain shecthy ol
