target_occurrence_id	page	physical_folio	locus	section	language	hand	ordinal	right_surface	right_ordinal	right_reader_exact	written_line_eva	gdt776_branch	gdt776_default_de	gdt776_renderer_contextual	gdt776_span_consumes_right_token	gdt776_span_id	gdt776_right_whole	gdt776_candidate_whole_de	gdt776_semantic_family	gdt776_confidence	gdt776_positive_evidence	gdt776_counterevidence	gdt776_scope_status	gdt776_dispatch_rule	gdt776_structural_bridge	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit	gdt777_branch	gdt777_default_de	gdt777_renderer_contextual	gdt777_span_id	gdt777_registered_form	gdt777_field_head_surface	gdt777_body_surface	gdt777_semantic_family	gdt777_confidence	gdt777_consumed_token_count	gdt777_consumed_token_ids	gdt777_fallback_replacement	gdt777_contextual_sharpening	gdt777_positive_evidence	gdt777_counterevidence	gdt777_dispatch_rule	gdt777_default_is_translation	gdt777_confirmed_lexeme	gdt777_confirmed_plaintext	gdt777_component_export_credit	gdt778_branch	gdt778_default_de	gdt778_renderer_contextual	gdt778_span_id	gdt778_exact_whole	gdt778_confidence	gdt778_consumed_token_count	gdt778_consumed_token_ids	gdt778_fallback_replacement	gdt778_contextual_sharpening	gdt778_contextual_confirmation	gdt778_display_changed	gdt778_same_row_consumption_takeover	gdt778_new_unique_consumption	gdt778_positive_evidence	gdt778_counterevidence	gdt778_dispatch_rule	gdt778_scope_status	gdt778_default_is_translation	gdt778_confirmed_lexeme	gdt778_confirmed_plaintext	gdt778_component_export_credit
G769-T0001	f100v	f100	f100v.20	P	A	1	7	chockhar	8	1	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	INHERITED_GDT775	Ansatz-/Zubereitungsposten	0	0	NONE	chockhar	NONE	NONE	C0_CONTEXT_UNRESOLVED	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	NONE	0	0	0	0	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	NONE	NONE	NONE	NONE	C0_CONTEXT_UNRESOLVED	0	NONE	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT776	0	0	0	0	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	NONE	NONE	C0_CONTEXT_UNRESOLVED	0	NONE	0	0	0	0	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT777	INHERITED_GDT777	0	0	0	0
G769-T0002	f100v	f100	f100v.21	P	A	1	3	choy	4	1	soral okor ol choy ly araroy okar cheeeal cheokeol orey	INHERITED_GDT775	Ansatz-/Zubereitungsposten	0	0	NONE	choy	NONE	NONE	C0_CONTEXT_UNRESOLVED	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	NONE	0	0	0	0	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	NONE	NONE	NONE	NONE	C0_CONTEXT_UNRESOLVED	0	NONE	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT776	0	0	0	0	GDT778_EXACT_OL_PLUS_COMPLETE_WHOLE	getrocknete Zubereitungsform	1	G778-S001	choy	C0	1	f100v.21@4	1	0	0	1	0	1	14 bare und 2 headed Kandidatenvorkommen tragen eine trockene Formfamilie	GDT738 bleibt unentschieden; reine Schlussform ist medial zu eng	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G769-T0003	f102v1	f102	f102v1.8	P	A	1	2	chey	3	1	dairn ol chey ctheol qokeor os aiin cheor qokey choky	GDT776_MEDIAL_RIGHT_WHOLE_REFINED	Zustand: trockene Form I	1	1	G776-SPAN-001	chey	trockene Form I	DRY_STATE	C2	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	EXACT_MEDIAL_OL_SPAN	NOVEL_305_AND_EXACT_RIGHT_AND_MEDIAL_AND_RECURRENT_WHOLE	H4_LEANING_HEURISTIC__INTERNAL_LATE_RECORD_FIELD_BRIDGE	0	0	0	0	INHERITED_GDT776	Zustand: trockene Form I	1	G776-SPAN-001	NONE	NONE	NONE	DRY_STATE	C2	1	f102v1.8@3	0	0	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	INHERITED_GDT776	0	0	0	0	INHERITED_GDT777	Zustand: trockene Form I	1	G776-SPAN-001	NONE	C2	1	f102v1.8@3	0	0	0	0	0	0	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	INHERITED_GDT777	INHERITED_GDT777	0	0	0	0
G769-T0004	f102v1	f102	f102v1.10	P	A	1	2	ydaiin	3	1	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	GDT776_MEDIAL_RIGHT_WHOLE_EXTENSION	Bezugswert: Stufe III	1	1	G776-SPAN-002	ydaiin	Bezugswert III	REFERENCE_VALUE	C0	GDT734 weak exact whole and two medial targets	reference versus dose/value dimension remain open	EXACT_MEDIAL_OL_SPAN_EXPLORATORY	NOVEL_305_AND_EXACT_RIGHT_AND_MEDIAL_AND_RECURRENT_WHOLE	H4_LEANING_HEURISTIC__INTERNAL_LATE_RECORD_FIELD_BRIDGE	0	0	0	0	INHERITED_GDT776	Bezugswert: Stufe III	1	G776-SPAN-002	NONE	NONE	NONE	REFERENCE_VALUE	C0	1	f102v1.10@3	0	0	GDT734 weak exact whole and two medial targets	reference versus dose/value dimension remain open	INHERITED_GDT776	0	0	0	0	INHERITED_GDT777	Bezugswert: Stufe III	1	G776-SPAN-002	NONE	C0	1	f102v1.10@3	0	0	0	0	0	0	GDT734 weak exact whole and two medial targets	reference versus dose/value dimension remain open	INHERITED_GDT777	INHERITED_GDT777	0	0	0	0
G769-T0005	f102v1	f102	f102v1.13	P	A	1	2	daiin	3	1	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	INHERITED_GDT775	und	1	0	NONE	daiin	NONE	NONE	C1_CACHED_STATE_BRIDGE__C0_LEXEME	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	NONE	0	0	0	0	INHERITED_GDT776	und	1	NONE	NONE	NONE	NONE	NONE	C1_CACHED_STATE_BRIDGE__C0_LEXEME	0	NONE	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT776	0	0	0	0	INHERITED_GDT777	und	1	NONE	NONE	C1_CACHED_STATE_BRIDGE__C0_LEXEME	0	NONE	0	0	0	0	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT777	INHERITED_GDT777	0	0	0	0
G769-T0006	f102v2	f102	f102v2.20	P	A	1	9	sheeoy	10	1	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	INHERITED_GDT775	Ansatz-/Zubereitungsposten	0	0	NONE	sheeoy	NONE	NONE	C0_CONTEXT_UNRESOLVED	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	NONE	0	0	0	0	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	NONE	NONE	NONE	NONE	C0_CONTEXT_UNRESOLVED	0	NONE	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT776	0	0	0	0	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	NONE	NONE	C0_CONTEXT_UNRESOLVED	0	NONE	0	0	0	0	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT777	INHERITED_GDT777	0	0	0	0
G769-T0007	f102v2	f102	f102v2.22	P	A	1	10	keo	11	0	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	INHERITED_GDT775	und	1	0	NONE	keo	NONE	NONE	C1_CACHED_STATE_BRIDGE__C0_LEXEME	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	NONE	0	0	0	0	INHERITED_GDT776	und	1	NONE	NONE	NONE	NONE	NONE	C1_CACHED_STATE_BRIDGE__C0_LEXEME	0	NONE	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT776	0	0	0	0	INHERITED_GDT777	und	1	NONE	NONE	C1_CACHED_STATE_BRIDGE__C0_LEXEME	0	NONE	0	0	0	0	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT777	INHERITED_GDT777	0	0	0	0
G769-T0009	f102v2	f102	f102v2.32	P	A	1	10	daiin	11	1	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	GDT776_MEDIAL_RIGHT_WHOLE_REFINED	Wert: Stufe III	1	1	G776-SPAN-003	daiin	Wertslot III	VALUE_AMOUNT	C1	GDT734 exact whole plus GDT737 dose/value ladder and four medial targets	new context exceeds the old named-field scope; dose versus value open	EXACT_MEDIAL_OL_SPAN_EXTRAPOLATION	NOVEL_305_AND_EXACT_RIGHT_AND_MEDIAL_AND_RECURRENT_WHOLE	H4_LEANING_HEURISTIC__INTERNAL_LATE_RECORD_FIELD_BRIDGE	0	0	0	0	INHERITED_GDT776	Wert: Stufe III	1	G776-SPAN-003	NONE	NONE	NONE	VALUE_AMOUNT	C1	1	f102v2.32@11	0	0	GDT734 exact whole plus GDT737 dose/value ladder and four medial targets	new context exceeds the old named-field scope; dose versus value open	INHERITED_GDT776	0	0	0	0	INHERITED_GDT777	Wert: Stufe III	1	G776-SPAN-003	NONE	C1	1	f102v2.32@11	0	0	0	0	0	0	GDT734 exact whole plus GDT737 dose/value ladder and four medial targets	new context exceeds the old named-field scope; dose versus value open	INHERITED_GDT777	INHERITED_GDT777	0	0	0	0
G769-T0011	f103r	f103	f103r.25	S	B	3	12	NONE	0	0	dar shey qokain chckhey chey kain chedal okeeey qoodain okain oteey ol	INHERITED_GDT775	Ansatz-/Zubereitungsposten	0	0	NONE	NONE	NONE	NONE	C0_CONTEXT_UNRESOLVED	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT775	NONE	0	0	0	0	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	NONE	NONE	NONE	NONE	C0_CONTEXT_UNRESOLVED	0	NONE	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT776	0	0	0	0	INHERITED_GDT777	Ansatz-/Zubereitungsposten	0	NONE	NONE	C0_CONTEXT_UNRESOLVED	0	NONE	0	0	0	0	0	0	INHERITED_GDT775	INHERITED_GDT775	INHERITED_GDT777	INHERITED_GDT777	0	0	0	0
G769-T0012	f103r	f103	f103r.28	S	B	3	9	cheey	10	1	deshedy qokeeey dalkain okaiin chedy qokeey otain ain ol cheey lkeedy	GDT776_MEDIAL_RIGHT_WHOLE_REFINED	Zustand: trockene Form II	1	1	G776-SPAN-004	cheey	trockene Form II	DRY_STATE	C2	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	EXACT_MEDIAL_OL_SPAN	NOVEL_305_AND_EXACT_RIGHT_AND_MEDIAL_AND_RECURRENT_WHOLE	H4_LEANING_HEURISTIC__INTERNAL_LATE_RECORD_FIELD_BRIDGE	0	0	0	0	INHERITED_GDT776	Zustand: trockene Form II	1	G776-SPAN-004	NONE	NONE	NONE	DRY_STATE	C2	1	f103r.28@10	0	0	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	INHERITED_GDT776	0	0	0	0	INHERITED_GDT777	Zustand: trockene Form II	1	G776-SPAN-004	NONE	C2	1	f103r.28@10	0	0	0	0	0	0	GDT734 exact whole plus GDT736 dry-form body and five medial targets	grade index versus form index remains open	INHERITED_GDT777	INHERITED_GDT777	0	0	0	0
