span_id	target_occurrence_id	page	physical_folio	locus	section	language	hand	register_id	ol_ordinal	right_ordinal	line_token_count	right_surface	written_span_eva	written_line_eva	right_reader_exact	old_gdt777_branch	old_gdt777_default_de	old_gdt777_contextual	inherited_structural_frame	selected_whole_default_de	new_gdt778_default_de	semantic_change_class	fallback_replacement	contextual_sharpening	contextual_confirmation	display_changed	confidence	alternate_1_de	alternate_2_de	positive_evidence	counterevidence	provenance_path	promotion_status	inherited_consumed_token_ids	gdt778_consumed_token_id	same_row_inherited_consumption_takeover	new_unique_consumption	cross_row_consumption_collision	selection_rule	composition_rule	scope_status	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
G778-S001	G769-T0002	f100v	f100	f100v.21	P	A	1	P|A|1	3	4	10	choy	ol choy	soral okor ol choy ly araroy okar cheeeal cheokeol orey	1	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	getrocknete Zubereitungsform	getrocknete Zubereitungsform	FALLBACK_REPLACEMENT	1	0	0	1	C0	trockene Grundform	Abschlussform	14 bare und 2 headed Kandidatenvorkommen tragen eine trockene Formfamilie	GDT738 bleibt unentschieden; reine Schlussform ist medial zu eng	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	NONE	f100v.21@4	0	1	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	REPLACE_GENERIC_FALLBACK_WITH_EXACT_WHOLE	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G778-S002	G769-T0019	f103v	f103	f103v.17	S	B	3	S|B|3	8	9	11	char	ol char	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	1	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	Fraktionsstufe I	Fraktionsstufe I	FALLBACK_REPLACEMENT	1	0	0	1	C0	Trockenanteil I	Anteilsposten	Teil-/Fraktionsstufe I bleibt als gebundener Kandidat erhalten	GDT738 setzt HOLD_CONTRADICTED_FAMILY_TRANSFER; Trockenachse unentschieden	GDT737_BODY_PLUS_GDT738_HOLD	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	NONE	f103v.17@9	0	1	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	REPLACE_GENERIC_FALLBACK_WITH_EXACT_WHOLE	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G778-S003	G769-T0024	f103v	f103	f103v.40	S	B	3	S|B|3	5	6	10	keey	ol keey	yteey sheal shey qoain ol keey qokaiin shckhy lchedy rain	1	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	erhitzte Form II	erhitzte Form II	FALLBACK_REPLACEMENT	1	0	0	1	C1	Wärmestufe II	Erhitzungsvorgang	43 bare und 39 headed Kandidatenvorkommen; Discovery trägt die Wärmefamilie	W23 bleibt unentschieden und Prozess gegen Zustand offen	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	NONE	f103v.40@6	0	1	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	REPLACE_GENERIC_FALLBACK_WITH_EXACT_WHOLE	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G778-S004	G769-T0040	f104v	f104	f104v.33	S	B	3	S|B|3	8	9	15	ar	ol ar	yteeey cheeod ykeey kaiin qokaiin cheey or ol ar odar chedain etar ar air ary	1	INHERITED_GDT776	und	1	UND_LINK	Anteil	und; Anteil	CONTEXTUAL_SHARPENING	0	1	0	1	C2	Portion	Verhältnisfeld	242 exakte Ganzwortvorkommen und wiederkehrende ar-plus-Wert-Konstruktion	Anteil gegen Portion oder Verhältnisfeld offen	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	NONE	f104v.33@9	0	1	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	PRESERVE_STRUCTURAL_FRAME_AND_APPEND_EXACT_WHOLE	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G778-S005	G769-T0049	f105v	f105	f105v.7	S	B	3	S|B|3	4	5	7	olkaiin	ol olkaiin	ycheeo lkaiin otair ol olkaiin okairody lchedr	1	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	erhitztes Material, Wert III	erhitztes Material, Wert III	FALLBACK_REPLACEMENT	1	0	0	1	C0	Grad III	Mengenstufe III	28 bare und 5 headed Kandidatenvorkommen tragen Wärme/Material plus Wertleiter	Beide Transferprüfungen unentschieden	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	NONE	f105v.7@5	0	1	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	REPLACE_GENERIC_FALLBACK_WITH_EXACT_WHOLE	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G778-S006	G769-T0124	f114r	f114	f114r.12	S	B	3	S|B|3	2	3	12	air	ol air	ykcheshd ol air okaiin otedy ykeeey teos lair sheod chody otchedair okam	1	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	Anteil II	Anteil II	FALLBACK_REPLACEMENT	1	0	0	1	C1	Fraktionsstufe II	Formcode II	GDT736s formale Leiter und 31 headed Ziele tragen eine zweite Anteil-/Wertstufe	Konkrete Dimension und botanische Altassoziation nicht bestätigt	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	NONE	f114r.12@3	0	1	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	REPLACE_GENERIC_FALLBACK_WITH_EXACT_WHOLE	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G778-S007	G769-T0133	f114v	f114	f114v.34	S	B	3	S|B|3	2	3	10	oaiin	ol oaiin	olkeechy ol oaiin aiin chocthey qotedal octhy sotey cheos air	1	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	Zubereitungswert III	Zubereitungswert III	FALLBACK_REPLACEMENT	1	0	0	1	C1	Zubereitungsmenge III	Charge III	GDT736 High-Kandidat plus 22 alte Ganzwortvorkommen tragen Zubereitung und Wert III	Wert gegen Menge oder Charge offen	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	NONE	f114v.34@3	0	1	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	REPLACE_GENERIC_FALLBACK_WITH_EXACT_WHOLE	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G778-S008	G769-T0158	f17v	f17	f17v.12	H	A	1	H|A|1	5	6	6	chor	ol chor	oy choy keaiin chckhey ol chor	1	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	Blütenstand	Blütenstand	FALLBACK_REPLACEMENT	1	0	0	1	C0	Fruchtstand	unspezifischer Pflanzenteil	GDT768 zählt 176 exakte Ganzwortvorkommen; die nominale Pflanzenteilrolle ist deutlich stärker als die konkrete Organwahl	Blüte gegen Frucht oder anderen Pflanzenteil nicht entschieden	GDT768_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	NONE	f17v.12@6	0	1	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	REPLACE_GENERIC_FALLBACK_WITH_EXACT_WHOLE	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G778-S009	G769-T0159	f17v	f17	f17v.18	H	A	1	H|A|1	3	4	8	chol	ol chol	otor cheeor ol chol dor chr or eees	1	INHERITED_GDT776	Zustand: trocken	1	STATE_FRAME	getrocknet	Zustand: trocken	CONTEXTUAL_CONFIRMATION	0	0	1	0	C2	Trockenstoff	Trocknungsanweisung	303 exakte Ganzwortvorkommen und wiederholte chor/cthy-plus-chol Zustandskonstruktionen	Zustand gegen Stoff oder Anweisung nicht vollständig getrennt	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	f17v.18@4	f17v.18@4	1	0	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	PRESERVE_STATE_FRAME_CONFIRMATION	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
G778-S010	G769-T0166	f23r	f23	f23r.5	H	A	1	H|A|1	9	10	11	dol	ol dol	ychor qokchol ytym chol dair chol ar ol ol dol dain	1	INHERITED_GDT776	Ansatz-/Zubereitungsposten	0	NONE	Materialmaß	Materialmaß	FALLBACK_REPLACEMENT	1	0	0	1	C0	Materialwert	Maßfeld	76 bare und 3 headed Kandidatenvorkommen tragen Material-/Maßfeld	GDT738 unentschieden; Einheit offen	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	NONE	f23r.5@10	0	1	0	RIGHT_SURFACE_IN_FIXED_29_DECK_AND_RIGHT_READER_EXACT__ALL_MATCHES__NO_OCCURRENCE_ID	REPLACE_GENERIC_FALLBACK_WITH_EXACT_WHOLE	EXPLORATORY_EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	0	0	0	0
