right_surface	provenance_path	promotion_status	selected_default_de	confidence	source_kind	source_axis_de	source_status	source_confidence	source_headed_or_target_occurrences	source_bare_occurrences	gdt738_discovery_decision	gdt738_w23_decision	source_renderer_license_before_gdt778	gdt734_legacy_source	gdt734_legacy_reading_id	gdt734_legacy_working_meaning_de	gdt734_legacy_status	ol_local_raw_occurrences	ol_local_reader_exact_occurrences	source_conflict	source_conflict_detail	gdt778_conflict_decision	legacy_literal_patient_quarantined	exact_complete_whole_only	free_component_export	default_is_translation	confirmed_lexeme	confirmed_plaintext
ain	GDT737_BODY_PLUS_GDT738_CROSS_HEAD	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Wertstufe II	C2	GDT737_BODY_CANDIDATE	Ordinal-/Wertstufe II	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	86	106	SUPPORTED_CROSS_HEAD	SUPPORTED_CROSS_HEAD	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	ain#GLOBAL	Wertstufe II	GDT730_OPEN_VALUE_WHOLE_SINGLE_DEFAULT_DISPATCH	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
air	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Anteil II	C1	GDT736_BODY_CANDIDATE	Teil- oder Fraktionsstufe II	SEPARATE_FORMAL_DEFAULT_FROM_HERBAL_VISUAL_OVERRIDE	MEDIUM	31	NA	NOT_APPLICABLE_GDT736_TRAINING	NOT_APPLICABLE_GDT736_TRAINING	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	air#GLOBAL	zweite Drogenfraktion	OUTSIDE_ACTIVE_V98_TRANCHE	2	2	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
ar	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	Anteil	C2	GDT758_GDT759_LATER_COMPLETE_WHOLE	Anteil	GDT758_GLOBAL	C2_MULTIWHOLE_EXPLORATORY	242	NA	SUPERSEDED_BY_LATER_COMPLETE_WHOLE	SUPERSEDED_BY_LATER_COMPLETE_WHOLE	1	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	ar#1	Drogenanteil I	INHERITED_V97	2	2	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
chaiin	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Trockenstufe III	C0	GDT737_BODY_CANDIDATE	Trockenindex oder -grad III	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	2	48	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	chaiin#GLOBAL	trocken, Grad III	OUTSIDE_ACTIVE_V98_TRANCHE	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
char	GDT737_BODY_PLUS_GDT738_HOLD	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Fraktionsstufe I	C0	GDT737_BODY_CANDIDATE	trockene Teil-/Fraktionsstufe I	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM_HIGH	8	75	CONTRADICTED_FAMILY_TRANSFER	CONTRADICTED_FAMILY_TRANSFER	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	char#1	trockener Anteil I	INHERITED_V97	2	2	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
chedar	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	abgemessener Trockenanteil I	C0	GDT737_BODY_CANDIDATE	abgemessene Trockenfraktion I, Form I	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM_HIGH	13	31	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	chedar#GLOBAL	abgemessene Trockenfraktion I, Mittelstufe	OUTSIDE_ACTIVE_V98_TRANCHE	2	2	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
cheos	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Trockenzubereitungsposten	C0	GDT737_BODY_CANDIDATE	Trockenansatz-Posten	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM_HIGH	4	28	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	cheos#GLOBAL	Charge eines mitteltrockenen Ansatzes	OUTSIDE_ACTIVE_V98_TRANCHE	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
chol	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	getrocknet	C2	GDT758_GDT759_LATER_COMPLETE_WHOLE	trocken/getrocknet	GDT758_GLOBAL__GDT759_15_BIDIRECTIONAL_STATE_PAIRS	C2_MULTIWHOLE_EXPLORATORY	303	NA	SUPERSEDED_BY_LATER_COMPLETE_WHOLE	SUPERSEDED_BY_LATER_COMPLETE_WHOLE	1	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	chol#1	trocken	INHERITED_V97	2	2	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
chor	GDT768_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	Blütenstand	C0	GDT768_LATER_COMPLETE_WHOLE	Blütenstand	PARALLEL_NOMINAL_PART_WHOLES__BOTANICAL_DIRECTION_UNRESOLVED	C2_NOMINAL_PART_ROLE__C0_FLOWER_DIRECTION	176	NA	SUPERSEDED_BY_LATER_COMPLETE_WHOLE	SUPERSEDED_BY_LATER_COMPLETE_WHOLE	1	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	chor#1	Pflanzenteil	INHERITED_V97	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
choy	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	getrocknete Zubereitungsform	C0	GDT737_BODY_CANDIDATE	trockene Zubereitung, Grund-/Schlussform	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	HIGH	2	14	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	choy#GLOBAL	Trockenansatz leicht abschließen	OUTSIDE_ACTIVE_V98_TRANCHE	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
chs	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	trockene Grundform	C0	GDT737_BODY_CANDIDATE	trockene Grundform oder Trockenposten	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	MEDIUM	3	13	UNDECIDABLE	UNDECIDABLE	0	GDT734_V99R7_COMPLETE_WORD_CONFIDENCE	chs#1	trockene Grundform	INHERITED_V97	1	1	0	NONE	NO_SOURCE_CONFLICT	1	1	0	0	0	0
