entry	preferred_gdt778_default_de	confidence	alternate_1_de	alternate_2_de	reader_exact_ol_contexts	rendered_displays_de	fallback_replacements	contextual_sharpenings	contextual_confirmations	positive_evidence	counterevidence	provenance_path	promotion_status	scope	replaceable	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
ain	Wertstufe II	C2	Ordinalstufe II	Mengenstufe II	1	Wertstufe II	1	0	0	106 bare und 86 headed; GDT738 einzig klar SUPPORTED_CROSS_HEAD	Wert gegen Ordinal- oder Mengenstufe offen	GDT737_BODY_PLUS_GDT738_CROSS_HEAD	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
air	Anteil II	C1	Fraktionsstufe II	Formcode II	2	Anteil II	2	0	0	GDT736s formale Leiter und 31 headed Ziele tragen eine zweite Anteil-/Wertstufe	Konkrete Dimension und botanische Altassoziation nicht bestätigt	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
ar	Anteil	C2	Portion	Verhältnisfeld	2	Anteil || und; Anteil	1	1	0	242 exakte Ganzwortvorkommen und wiederkehrende ar-plus-Wert-Konstruktion	Anteil gegen Portion oder Verhältnisfeld offen	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chaiin	Trockenstufe III	C0	Trockenklasse III	Trockenwert III	1	Trockenstufe III	1	0	0	48 bare und 2 headed Kandidatenvorkommen plus Wertleiter III	GDT738 bleibt unentschieden	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
char	Fraktionsstufe I	C0	Trockenanteil I	Anteilsposten	2	Fraktionsstufe I	2	0	0	Teil-/Fraktionsstufe I bleibt als gebundener Kandidat erhalten	GDT738 setzt HOLD_CONTRADICTED_FAMILY_TRANSFER; Trockenachse unentschieden	GDT737_BODY_PLUS_GDT738_HOLD	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chedar	abgemessener Trockenanteil I	C0	Trockenform I	Messzustand I	2	abgemessener Trockenanteil I	2	0	0	31 bare und 13 headed Kandidatenvorkommen tragen Trocken-/Messachse I	GDT738 trennt Maß und Zustand nicht	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
cheos	Trockenzubereitungsposten	C0	trockene Charge	Trockenansatz	1	Trockenzubereitungsposten	1	0	0	28 bare und 4 headed Kandidatenvorkommen tragen Trocken-/Zubereitungsfamilie	GDT738 trennt Charge und Posten nicht	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chol	getrocknet	C2	Trockenstoff	Trocknungsanweisung	2	Zustand: trocken	0	0	2	303 exakte Ganzwortvorkommen und wiederholte chor/cthy-plus-chol Zustandskonstruktionen	Zustand gegen Stoff oder Anweisung nicht vollständig getrennt	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chor	Blütenstand	C0	Fruchtstand	unspezifischer Pflanzenteil	1	Blütenstand	1	0	0	GDT768 zählt 176 exakte Ganzwortvorkommen; die nominale Pflanzenteilrolle ist deutlich stärker als die konkrete Organwahl	Blüte gegen Frucht oder anderen Pflanzenteil nicht entschieden	GDT768_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
choy	getrocknete Zubereitungsform	C0	trockene Grundform	Abschlussform	1	getrocknete Zubereitungsform	1	0	0	14 bare und 2 headed Kandidatenvorkommen tragen eine trockene Formfamilie	GDT738 bleibt unentschieden; reine Schlussform ist medial zu eng	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chs	trockene Grundform	C0	Trockenposten	Kurzform	1	trockene Grundform	1	0	0	13 bare und 3 headed Kandidatenvorkommen tragen Trockenfamilie	GDT738 unentschieden; Segmentierung offen	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
chy	trockene Grundform	C1	ungradierter Trockenzustand	Trockenposten	3	Ansatz: trockene Grundform || trockene Grundform	1	2	0	GDT736 High-Kandidat und 15 headed Ziele tragen trockene Grundform	Zustand gegen Posten offen	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
dair	abgemessener Anteil II	C2	Fraktionsfeld II	Dosisstufe II	1	abgemessener Anteil II	1	0	0	Spätere dar-dair-daiir-Leiter und 63 exakte dair-Vorkommen tragen Mess-/Anteilachse II	Anteil gegen Dosisdimension offen	GDT768_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
dal	abgemessenes Material I	C0	Materialwert I	Messfeld I	1	abgemessenes Material I	1	0	0	191 bare und 2 headed Kandidatenvorkommen tragen Material/Messachse I	GDT738 unentschieden; nur reader-exakte GDT778-Stelle lizenzierbar	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
dar	abgemessener Anteil I	C1	Dosisfeld I	Resultatstufe I	2	abgemessener Anteil I	2	0	0	245 bare und 7 headed; spätere dreistufige Leiter stärkt Anteil-/Messrolle	Anteil gegen Dosis oder Resultat offen	GDT737_BODY_PLUS_GDT768_LADDER	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
dol	Materialmaß	C0	Materialwert	Maßfeld	1	Materialmaß	1	0	0	76 bare und 3 headed Kandidatenvorkommen tragen Material-/Maßfeld	GDT738 unentschieden; Einheit offen	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
kain	erhitzte Form II	C1	Wärmestufe II	Verarbeitungsstufe II	3	erhitzte Form II || und; erhitzte Form II	1	2	0	43 bare und 34 headed; GDT738 trägt die Wärmefamilie in beiden Läufen	Form gegen Prozessstufe offen	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
kar	erhitzter Anteil I	C1	heiße Fraktion I	Wärmestufe I	1	erhitzter Anteil I	1	0	0	57 bare und 33 headed; GDT738 trägt die Wärmefamilie in beiden Läufen	Anteil gegen Fraktion und Stufe offen	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
keey	erhitzte Form II	C1	Wärmestufe II	Erhitzungsvorgang	1	erhitzte Form II	1	0	0	43 bare und 39 headed Kandidatenvorkommen; Discovery trägt die Wärmefamilie	W23 bleibt unentschieden und Prozess gegen Zustand offen	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
oaiin	Zubereitungswert III	C1	Zubereitungsmenge III	Charge III	1	Zubereitungswert III	1	0	0	GDT736 High-Kandidat plus 22 alte Ganzwortvorkommen tragen Zubereitung und Wert III	Wert gegen Menge oder Charge offen	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
oldaiin	Materialergebnis III	C0	Materialwert III	Dosis III	1	Materialergebnis III	1	0	0	7 bare und 2 headed Kandidatenvorkommen tragen Material/Ergebnis plus Wert III	GDT738 unentschieden; alte Karte hatte NO_EXACT_BODY_WHOLE	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
olkaiin	erhitztes Material, Wert III	C0	Grad III	Mengenstufe III	1	erhitztes Material, Wert III	1	0	0	28 bare und 5 headed Kandidatenvorkommen tragen Wärme/Material plus Wertleiter	Beide Transferprüfungen unentschieden	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY__NO_SUBSTRING_EXPORT	1	0	0	0	0
