right_surface	selected_default_de	alternate_1_de	alternate_2_de	confidence	provenance_path	promotion_status	positive_evidence	counterevidence	local_raw_occurrences	local_reader_exact_occurrences	local_nonexact_exclusions	fallback_replacements	contextual_sharpenings	contextual_confirmations	actual_display_changes	source_kind	source_status	scope_status	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
ain	Wertstufe II	Ordinalstufe II	Mengenstufe II	C2	GDT737_BODY_PLUS_GDT738_CROSS_HEAD	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	106 bare und 86 headed; GDT738 einzig klar SUPPORTED_CROSS_HEAD	Wert gegen Ordinal- oder Mengenstufe offen	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
air	Anteil II	Fraktionsstufe II	Formcode II	C1	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	GDT736s formale Leiter und 31 headed Ziele tragen eine zweite Anteil-/Wertstufe	Konkrete Dimension und botanische Altassoziation nicht bestätigt	2	2	0	2	0	0	2	GDT736_BODY_CANDIDATE	SEPARATE_FORMAL_DEFAULT_FROM_HERBAL_VISUAL_OVERRIDE	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
ar	Anteil	Portion	Verhältnisfeld	C2	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	242 exakte Ganzwortvorkommen und wiederkehrende ar-plus-Wert-Konstruktion	Anteil gegen Portion oder Verhältnisfeld offen	2	2	0	1	1	0	2	GDT758_GDT759_LATER_COMPLETE_WHOLE	GDT758_GLOBAL	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
chaiin	Trockenstufe III	Trockenklasse III	Trockenwert III	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	48 bare und 2 headed Kandidatenvorkommen plus Wertleiter III	GDT738 bleibt unentschieden	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
char	Fraktionsstufe I	Trockenanteil I	Anteilsposten	C0	GDT737_BODY_PLUS_GDT738_HOLD	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	Teil-/Fraktionsstufe I bleibt als gebundener Kandidat erhalten	GDT738 setzt HOLD_CONTRADICTED_FAMILY_TRANSFER; Trockenachse unentschieden	2	2	0	2	0	0	2	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
chedar	abgemessener Trockenanteil I	Trockenform I	Messzustand I	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	31 bare und 13 headed Kandidatenvorkommen tragen Trocken-/Messachse I	GDT738 trennt Maß und Zustand nicht	2	2	0	2	0	0	2	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
cheos	Trockenzubereitungsposten	trockene Charge	Trockenansatz	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	28 bare und 4 headed Kandidatenvorkommen tragen Trocken-/Zubereitungsfamilie	GDT738 trennt Charge und Posten nicht	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
chol	getrocknet	Trockenstoff	Trocknungsanweisung	C2	GDT758_759_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	303 exakte Ganzwortvorkommen und wiederholte chor/cthy-plus-chol Zustandskonstruktionen	Zustand gegen Stoff oder Anweisung nicht vollständig getrennt	2	2	0	0	0	2	0	GDT758_GDT759_LATER_COMPLETE_WHOLE	GDT758_GLOBAL__GDT759_15_BIDIRECTIONAL_STATE_PAIRS	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
chor	Blütenstand	Fruchtstand	unspezifischer Pflanzenteil	C0	GDT768_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	GDT768 zählt 176 exakte Ganzwortvorkommen; die nominale Pflanzenteilrolle ist deutlich stärker als die konkrete Organwahl	Blüte gegen Frucht oder anderen Pflanzenteil nicht entschieden	1	1	0	1	0	0	1	GDT768_LATER_COMPLETE_WHOLE	PARALLEL_NOMINAL_PART_WHOLES__BOTANICAL_DIRECTION_UNRESOLVED	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
choy	getrocknete Zubereitungsform	trockene Grundform	Abschlussform	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	14 bare und 2 headed Kandidatenvorkommen tragen eine trockene Formfamilie	GDT738 bleibt unentschieden; reine Schlussform ist medial zu eng	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
chs	trockene Grundform	Trockenposten	Kurzform	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	13 bare und 3 headed Kandidatenvorkommen tragen Trockenfamilie	GDT738 unentschieden; Segmentierung offen	1	1	0	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
chy	trockene Grundform	ungradierter Trockenzustand	Trockenposten	C1	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	GDT736 High-Kandidat und 15 headed Ziele tragen trockene Grundform	Zustand gegen Posten offen	3	3	0	1	2	0	3	GDT736_BODY_CANDIDATE	SIMPLIFY	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
dair	abgemessener Anteil II	Fraktionsfeld II	Dosisstufe II	C2	GDT768_LATER_WHOLE	EXACT_OL_PLUS_WHOLE_ONLY	Spätere dar-dair-daiir-Leiter und 63 exakte dair-Vorkommen tragen Mess-/Anteilachse II	Anteil gegen Dosisdimension offen	1	1	0	1	0	0	1	GDT768_LATER_COMPLETE_WHOLE	CONTROL_DEFAULT_RETAINED	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
dal	abgemessenes Material I	Materialwert I	Messfeld I	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	191 bare und 2 headed Kandidatenvorkommen tragen Material/Messachse I	GDT738 unentschieden; nur reader-exakte GDT778-Stelle lizenzierbar	2	1	1	1	0	0	1	GDT737_BODY_CANDIDATE	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_OCCURRENCES_ONLY	0	0	0	0
