page	physical_folio	star_ordinal	locus	vpos	core	paint	color	rays	tail	observation	zl_marker	reading_coverage
f104r	f104	1	f104r.1	01.9	--	frub	RED	7	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	2	f104r.5	05.0	no	splot	yel	7	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	3	f104r.10	09.5	--	frub	RED	8	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	4	f104r.12	11.7	--	frub	RED	7	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	5	f104r.16	15.7	no	splot	yel	7	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	6	f104r.19	19.0	--	frub	RED	8	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	7	f104r.22	22.0	no	splot	yel	8	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	8	f104r.27	26.2	--	frub	RED	7	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	9	f104r.30	30.3	dot	splot	yel	9	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	10	f104r.34	33.5	--	splot	RED	9	2	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	11	f104r.36	36.0	no	splot	yel	7	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	12	f104r.39	38.8	--	splot	RED	7	1	--	<%>	ZL3b|IT2a|RF1b
f104r	f104	13	f104r.43	42.5	no	splot	yel	8	1	--	<%>	ZL3b|IT2a|RF1b
f104v	f104	1	f104v.1	01.0	--	splot	RED	8	1	--	<%>	ZL3b|IT2a|RF1b
f104v	f104	2	f104v.6	05.5	no	splot	yel	8	1	--	<%>	ZL3b|IT2a|RF1b
f104v	f104	3	f104v.8	08.0	--	splot	RED	7	1	--	<%>	ZL3b|IT2a|RF1b
f104v	f104	4	f104v.12	11.0	no	splot	yel	7	1	--	<%>	ZL3b|IT2a|RF1b
f104v	f104	5	f104v.15	14.5	--	splot	RED	8	1	--	<%>	ZL3b|IT2a|RF1b
f104v	f104	6	f104v.19	19.0	no	splot	yel	8	1	--	<%>	ZL3b|IT2a|RF1b
f104v	f104	7	f104v.22	22.0	--	splot	RED	8	1	--	<%>	ZL3b|IT2a|RF1b
f104v	f104	8	f104v.27	26.8	dot	splot	yel	8	1	--	<%>	ZL3b|IT2a|RF1b
