page	physical_folio	star_ordinal	locus
f104r	f104	1	f104r.1
f104r	f104	2	f104r.5
f104r	f104	3	f104r.10
f104r	f104	4	f104r.12
f104r	f104	5	f104r.16
f104r	f104	6	f104r.19
f104r	f104	7	f104r.22
f104r	f104	8	f104r.27
f104r	f104	9	f104r.30
f104r	f104	10	f104r.34
f104r	f104	11	f104r.36
f104r	f104	12	f104r.39
f104r	f104	13	f104r.43
f104v	f104	1	f104v.1
f104v	f104	2	f104v.6
f104v	f104	3	f104v.8
f104v	f104	4	f104v.12
f104v	f104	5	f104v.15
f104v	f104	6	f104v.19
f104v	f104	7	f104v.22
f104v	f104	8	f104v.27
f104v	f104	9	f104v.29
f104v	f104	10	f104v.32
f104v	f104	11	f104v.35
f104v	f104	12	f104v.37
f104v	f104	13	f104v.41
f105r	f105	1	f105r.1
f105r	f105	2	f105r.6
f105r	f105	3	f105r.11
f105r	f105	4	f105r.14
f105r	f105	5	f105r.17
f105r	f105	6	f105r.24
f105r	f105	7	f105r.26
f105r	f105	8	f105r.28
f105r	f105	9	f105r.31
f105r	f105	10	f105r.35
f105v	f105	1	f105v.1
f105v	f105	2	f105v.5
f105v	f105	3	f105v.8
f105v	f105	4	f105v.14
f105v	f105	5	f105v.18
f105v	f105	6	f105v.20
f105v	f105	7	f105v.23
f105v	f105	8	f105v.25
f105v	f105	9	f105v.29
f105v	f105	10	f105v.32
f106r	f106	1	f106r.1
f106r	f106	2	f106r.4
f106r	f106	3	f106r.8
f106r	f106	4	f106r.10
f106r	f106	5	f106r.13
f106r	f106	6	f106r.15
f106r	f106	7	f106r.18
f106r	f106	8	f106r.22
f106r	f106	9	f106r.24
f106r	f106	10	f106r.27
f106r	f106	11	f106r.32
f106r	f106	12	f106r.34
f106r	f106	13	f106r.36
f106r	f106	14	f106r.38
f106r	f106	15	f106r.42
f107v	f107	1	f107v.1
f107v	f107	2	f107v.5
f107v	f107	3	f107v.8
f107v	f107	4	f107v.11
f107v	f107	5	f107v.16
f107v	f107	6	f107v.20
f107v	f107	7	f107v.23
f107v	f107	8	f107v.25
f107v	f107	9	f107v.29
f107v	f107	10	f107v.32
f107v	f107	11	f107v.35
f107v	f107	12	f107v.37
f107v	f107	13	f107v.41
f107v	f107	14	f107v.43
f107v	f107	15	f107v.45
f112v	f112	1	f112v.1
f112v	f112	2	f112v.7
f112v	f112	3	f112v.11
f112v	f112	4	f112v.15
f112v	f112	5	f112v.20
f112v	f112	6	f112v.23
f112v	f112	7	f112v.27
f112v	f112	8	f112v.30
f112v	f112	9	f112v.32
f112v	f112	10	f112v.36
f112v	f112	11	f112v.39
f112v	f112	12	f112v.42
f112v	f112	13	f112v.45
f113r	f113	1	f113r.1
f113r	f113	2	f113r.4
f113r	f113	3	f113r.8
f113r	f113	4	f113r.10
f113r	f113	5	f113r.13
f113r	f113	6	f113r.16
f113r	f113	7	f113r.20
f113r	f113	8	f113r.22
f113r	f113	9	f113r.25
f113r	f113	10	f113r.27
f113r	f113	11	f113r.30
f113r	f113	12	f113r.34
f113r	f113	13	f113r.37
f113r	f113	14	f113r.39
f113r	f113	15	f113r.42
f113r	f113	16	f113r.45
f113v	f113	1	f113v.1
f113v	f113	2	f113v.4
f113v	f113	3	f113v.7
f113v	f113	4	f113v.10
f113v	f113	5	f113v.13
f113v	f113	6	f113v.18
f113v	f113	7	f113v.21
f113v	f113	8	f113v.25
f113v	f113	9	f113v.28
f113v	f113	10	f113v.33
f113v	f113	11	f113v.36
f113v	f113	12	f113v.38
f113v	f113	13	f113v.42
f113v	f113	14	f113v.45
f113v	f113	15	f113v.47
f114r	f114	1	f114r.1
f114r	f114	2	f114r.4
f114r	f114	3	f114r.8
f114r	f114	4	f114r.11
f114r	f114	5	f114r.14
f114r	f114	6	f114r.19
f114r	f114	7	f114r.22
f114r	f114	8	f114r.24
f114r	f114	9	f114r.28
f114r	f114	10	f114r.32
f114r	f114	11	f114r.35
f114r	f114	12	f114r.39
f114r	f114	13	f114r.42
f114v	f114	1	f114v.1
f114v	f114	2	f114v.6
f114v	f114	3	f114v.8
f114v	f114	4	f114v.11
f114v	f114	5	f114v.14
f114v	f114	6	f114v.18
f114v	f114	7	f114v.20
f114v	f114	8	f114v.23
f114v	f114	9	f114v.26
f114v	f114	10	f114v.29
f114v	f114	11	f114v.33
f114v	f114	12	f114v.36
f115r	f115	1	f115r.1
f115r	f115	2	f115r.4
f115r	f115	3	f115r.8
f115r	f115	4	f115r.10
f115r	f115	5	f115r.13
f115r	f115	6	f115r.19
f115r	f115	7	f115r.22
f115r	f115	8	f115r.26
f115r	f115	9	f115r.29
f115r	f115	10	f115r.35
f115r	f115	11	f115r.37
f115r	f115	12	f115r.40
f115r	f115	13	f115r.42
f115v	f115	1	f115v.1
f115v	f115	2	f115v.6
f115v	f115	3	f115v.8
f115v	f115	4	f115v.11
f115v	f115	5	f115v.13
f115v	f115	6	f115v.18
f115v	f115	7	f115v.21
f115v	f115	8	f115v.24
f115v	f115	9	f115v.29
f115v	f115	10	f115v.31
f115v	f115	11	f115v.34
f115v	f115	12	f115v.37
f115v	f115	13	f115v.41
