future_card_id	priority_rank	source_realization_cell_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_slot_trace_de	working_phrase_de	evidence_status_retained	state_requirement	state_warning	local_nontr_head_count	local_nontr_roots	local_nontr_support_cell_count	local_nontr_event_count	local_nontr_pages	local_nontr_support_details_de	opposite_tr_observed	opposite_tr_root	opposite_tr_support_cell_count	opposite_tr_event_count	opposite_tr_pages	opposite_tr_support_details_de	same_action_cross_register_cell_count	same_action_cross_registers	same_action_cross_register_event_count	same_action_cross_register_pages	same_action_cross_register_details_de	all_support_cell_count	all_support_event_count	all_old_page_count	all_old_pages	all_slot_values_old	composed_working_label_retained	surface_prediction_made	occurrence_prediction_made	comparison_guard
G495-F001	1	G493-C003	@ACTION	T	T	BIOLOGICAL	EINSTELLEN	T=STATIONSWERT EINSTELLEN	Stelle den Stationsposten [wie zuvor] ein.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	5	OK|CH|SH|S|CHD	5	17	f75r|f76r|f77r|f81v|f82r|f83r	G494-NS004: OK/OK — 1 Event, Seiten f75r; Setze den Stationsposten [wie zuvor] im Stationsgang an. || G494-NS005: CH/CH — 1 Event, Seiten f75r; Entnimm den Stationswert [wie zuvor]. || G494-NS006: SH/SH — 1 Event, Seiten f77r; Halte den Stationswert [wie zuvor]. || G494-NS007: S/S — 12 Events, Seiten f75r|f76r|f77r|f81v|f82r|f83r; Wähle den Stationsanteil [wie zuvor]. || Wähle den Stationsposten [wie zuvor]. || Wähle den Stationswert [wie zuvor]. || Wähle die Stationseinheit [wie zuvor]. || G494-NS008: CHD/CHD — 2 Events, Seiten f77r|f83r; Bearbeite den Stationsanteil [wie zuvor]. || Bearbeite den Stationswert [wie zuvor].	YES	R	1	12	f75r|f76r|f77r|f81v|f82r|f83r	G494-TRS002: R/R — 12 Events, Seiten f75r|f76r|f77r|f81v|f82r|f83r; Markiere den Stationsposten [wie zuvor]. || Markiere.	1	HERBAL	1	f56r	G494-CR002: HERBAL — 1 Event, Seiten f56r; Stelle den Pflanzenposten [wie zuvor] ein.	7	30	7	f56r|f75r|f76r|f77r|f81v|f82r|f83r	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
G495-F002	2	G493-C039	@ACTION+AL	R	R+AL	CELESTIAL	MARKIEREN · ZIELORT	R=POSITION MARKIEREN · AL=ZIELPOSITION	Markiere den Positionsposten [wie zuvor]; zur Zielposition.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	5	OK|CH|K|S|CHD	5	11	f67r2|f68r1|f71v|f72r	G494-NS052: OK/OK+AL — 5 Events, Seiten f68r1|f71v|f72r; Setze den Positionsposten [wie zuvor]; zur Zielposition. || Setze den Positionswert [wie zuvor]; zur Zielposition. || G494-NS053: CH/CH+AL — 2 Events, Seiten f71v|f72r; Nimm auf; zur Zielposition. || Nimm den Positionswert [wie zuvor] auf; zur Zielposition. || G494-NS054: K/K+AL — 1 Event, Seiten f71v; Ordne den Positionsposten [wie zuvor] zu; zur Zielposition. || G494-NS055: S/S+AL — 2 Events, Seiten f67r2|f72r; Wähle den Positionswert [wie zuvor]; zur Zielposition. || G494-NS056: CHD/CHD+AL — 1 Event, Seiten f72r; Bearbeite den Positionsposten [wie zuvor]; zur Zielposition.	YES	T	1	1	f71v	G494-TRS008: T/T+AL — 1 Event, Seiten f71v; Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	2	BIOLOGICAL|PHARMA	2	f81v|f88r	G494-CR037: BIOLOGICAL — 1 Event, Seiten f81v; Markiere den Stationsposten [wie zuvor]; zur Zielstation. || G494-CR038: PHARMA — 1 Event, Seiten f88r; Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	8	14	6	f67r2|f68r1|f71v|f72r|f81v|f88r	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
G495-F003	3	G493-C014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	EINSTELLEN · WERT	T=WERT EINSTELLEN · AIIN=POSITIONSWERT	Stelle den Positionswert ein.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	4	OK|K|S|CHD	4	12	f67r2|f71v|f72r	G494-NS014: OK/OK+AIIN — 7 Events, Seiten f71v|f72r; Setze den Positionswert. || G494-NS015: K/K+AIIN — 1 Event, Seiten f71v; Ordne den Positionswert zu. || G494-NS016: S/S+AIIN — 2 Events, Seiten f67r2|f72r; Wähle den Positionswert. || G494-NS017: CHD/CHD+AIIN — 2 Events, Seiten f67r2|f72r; Bearbeite den Positionswert.	NO	NONE	0	0	NONE	NONE	3	HERBAL|BIOLOGICAL|PHARMA	5	f10r|f81r|f82r|f89r|f95v	G494-CR008: HERBAL — 2 Events, Seiten f10r|f95v; Stelle den Arbeitswert ein. || G494-CR009: BIOLOGICAL — 2 Events, Seiten f81r|f82r; Stelle den Stationswert ein. || G494-CR010: PHARMA — 1 Event, Seiten f89r; Stelle den Mengenwert ein.	7	17	8	f10r|f67r2|f71v|f72r|f81r|f82r|f89r|f95v	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
G495-F004	4	G493-C019	@ACTION+AIIN	R	R+AIIN	CELESTIAL	MARKIEREN · WERT	R=POSITION MARKIEREN · AIIN=POSITIONSWERT	Markiere den Positionswert.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	4	OK|K|S|CHD	4	12	f67r2|f71v|f72r	G494-NS021: OK/OK+AIIN — 7 Events, Seiten f71v|f72r; Setze den Positionswert. || G494-NS022: K/K+AIIN — 1 Event, Seiten f71v; Ordne den Positionswert zu. || G494-NS023: S/S+AIIN — 2 Events, Seiten f67r2|f72r; Wähle den Positionswert. || G494-NS024: CHD/CHD+AIIN — 2 Events, Seiten f67r2|f72r; Bearbeite den Positionswert.	NO	NONE	0	0	NONE	NONE	2	HERBAL|BIOLOGICAL	8	f76r|f77r|f82r|f95v	G494-CR013: HERBAL — 1 Event, Seiten f95v; Markiere den Arbeitswert. || G494-CR014: BIOLOGICAL — 7 Events, Seiten f76r|f77r|f82r; Markiere den Stationswert.	6	20	7	f67r2|f71v|f72r|f76r|f77r|f82r|f95v	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
G495-F005	5	G493-C022	@ACTION+AIN	T	T+AIN	HERBAL	EINSTELLEN · ANTEIL	T=ARBEITSSTUFE EINSTELLEN · AIN=MATERIALANTEIL	Stelle den Materialanteil ein.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	4	OK|K|S|CHD	4	12	f17r|f18r|f24v|f55v|f95v	G494-NS029: OK/OK+AIN — 7 Events, Seiten f18r|f55v|f95v; Setze den Materialanteil im Arbeitsgang an. || G494-NS030: K/K+AIN — 1 Event, Seiten f95v; Gib den Materialanteil zu. || G494-NS031: S/S+AIN — 3 Events, Seiten f17r|f24v|f95v; Wähle den Materialanteil. || G494-NS032: CHD/CHD+AIN — 1 Event, Seiten f95v; Bearbeite den Materialanteil.	NO	NONE	0	0	NONE	NONE	2	BIOLOGICAL|PHARMA	2	f77r|f89r	G494-CR019: BIOLOGICAL — 1 Event, Seiten f77r; Stelle den Stationsanteil ein. || G494-CR020: PHARMA — 1 Event, Seiten f89r; Stelle den Drogenanteil ein.	6	14	7	f17r|f18r|f24v|f55v|f77r|f89r|f95v	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
G495-F006	6	G493-C027	@ACTION+AIN	R	R+AIN	HERBAL	MARKIEREN · ANTEIL	R=TEIL MARKIEREN · AIN=MATERIALANTEIL	Markiere den Materialanteil.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	4	OK|K|S|CHD	4	12	f17r|f18r|f24v|f55v|f95v	G494-NS035: OK/OK+AIN — 7 Events, Seiten f18r|f55v|f95v; Setze den Materialanteil im Arbeitsgang an. || G494-NS036: K/K+AIN — 1 Event, Seiten f95v; Gib den Materialanteil zu. || G494-NS037: S/S+AIN — 3 Events, Seiten f17r|f24v|f95v; Wähle den Materialanteil. || G494-NS038: CHD/CHD+AIN — 1 Event, Seiten f95v; Bearbeite den Materialanteil.	NO	NONE	0	0	NONE	NONE	1	BIOLOGICAL	3	f76r|f81r|f82r	G494-CR024: BIOLOGICAL — 3 Events, Seiten f76r|f81r|f82r; Markiere den Stationsanteil.	5	15	8	f17r|f18r|f24v|f55v|f76r|f81r|f82r|f95v	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
G495-F007	7	G493-C097	@ACTION+Y	R	R+Y	HERBAL	MARKIEREN · POSTEN	R=TEIL MARKIEREN · Y=PFLANZENPOSTEN	Markiere den Pflanzenposten.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|K|CHD	3	27	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f95v	G494-NS096: OK/OK+Y — 17 Events, Seiten f10r|f13r|f17r|f18r|f55v|f56r|f95v; Setze den Pflanzenposten im Arbeitsgang an. || G494-NS097: K/K+Y — 3 Events, Seiten f11r|f13r; Gib den Pflanzenposten zu. || G494-NS098: CHD/CHD+Y — 7 Events, Seiten f55v|f56r|f95v; Bearbeite den Pflanzenposten.	YES	T	1	2	f10r|f13r	G494-TRS019: T/T+Y — 2 Events, Seiten f10r|f13r; Stelle den Pflanzenposten ein.	1	BIOLOGICAL	2	f75r|f82r	G494-CR088: BIOLOGICAL — 2 Events, Seiten f75r|f82r; Markiere den Stationsposten.	5	31	10	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f75r|f82r|f95v	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
G495-F008	8	G493-C077	@ACTION+OL	R	R+OL	HERBAL	MARKIEREN · FORTSETZEN	R=TEIL MARKIEREN · OL=PFLANZENBEHANDLUNG FORTSETZEN	Weiter markiere den Pflanzenposten [wie zuvor].	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	3	OK|SH|K	3	18	f10r|f11r|f13r|f17r|f18r|f24v|f56r|f95v	G494-NS075: OK/OK+OL — 8 Events, Seiten f10r|f11r|f17r|f18r|f24v|f56r; Weiter setze den Pflanzenposten [wie zuvor] im Arbeitsgang an. || Weiter setze die Arbeitseinheit [wie zuvor] im Arbeitsgang an. || G494-NS076: SH/SH+OL — 6 Events, Seiten f13r|f17r|f24v|f56r|f95v; Weiter halte den Arbeitswert [wie zuvor]. || Weiter halte den Pflanzenposten [wie zuvor]. || Weiter halte die Arbeitseinheit [wie zuvor]. || G494-NS077: K/K+OL — 4 Events, Seiten f11r|f13r|f56r; Weiter gib den Pflanzenposten [wie zuvor] zu.	YES	T	1	3	f11r|f56r	G494-TRS015: T/T+OL — 3 Events, Seiten f11r|f56r; Weiter stelle den Arbeitswert [wie zuvor] ein. || Weiter stelle den Pflanzenposten [wie zuvor] ein.	1	BIOLOGICAL	4	f75r|f76r|f81v	G494-CR070: BIOLOGICAL — 4 Events, Seiten f75r|f76r|f81v; Weiter markiere den Stationsanteil [wie zuvor]. || Weiter markiere den Stationsposten [wie zuvor].	5	25	11	f10r|f11r|f13r|f17r|f18r|f24v|f56r|f75r|f76r|f81v|f95v	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
G495-F009	9	G493-C032	@ACTION+AL	T	T+AL	HERBAL	EINSTELLEN · ZIELORT	T=ARBEITSSTUFE EINSTELLEN · AL=ZIELSTELLE	Stelle den Pflanzenposten [wie zuvor] ein; zur Zielstelle.	COMPOSED_WORKING	ACTIVE_ARGUMENT_REQUIRED	ACTIVE_ARGUMENT_MAY_OVERRIDE_Y_DEFAULT	3	OK|CH|K	3	9	f18r|f55v|f56r|f95v	G494-NS044: OK/OK+AL — 7 Events, Seiten f18r|f55v|f95v; Setze den Arbeitswert [wie zuvor] im Arbeitsgang an; zur Zielstelle. || Setze den Pflanzenposten [wie zuvor] im Arbeitsgang an; zur Zielstelle. || Setze die Arbeitseinheit [wie zuvor] im Arbeitsgang an; zur Zielstelle. || G494-NS045: CH/CH+AL — 1 Event, Seiten f56r; Nimm; zur Zielstelle. || G494-NS046: K/K+AL — 1 Event, Seiten f55v; Gib den Pflanzenposten [wie zuvor] zu; zur Zielstelle.	NO	NONE	0	0	NONE	NONE	2	BIOLOGICAL|CELESTIAL	3	f71v|f77r|f83r	G494-CR029: BIOLOGICAL — 2 Events, Seiten f77r|f83r; Stelle den Stationsposten [wie zuvor] ein; zur Zielstation. || G494-CR030: CELESTIAL — 1 Event, Seiten f71v; Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	5	12	7	f18r|f55v|f56r|f71v|f77r|f83r|f95v	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
G495-F010	10	G493-C095	@ACTION+Y	T	T+Y	PHARMA	EINSTELLEN · POSTEN	T=ANSATZWERT EINSTELLEN · Y=DROGENPOSTEN	Stelle den Drogenposten ein.	COMPOSED_WORKING	SELF_CONTAINED_ARGUMENT	NONE	3	OK|K|CHD	3	9	f88r|f88v|f89r	G494-NS090: OK/OK+Y — 7 Events, Seiten f88r|f88v|f89r; Setze den Drogenposten als Ansatz an. || G494-NS091: K/K+Y — 1 Event, Seiten f89r; Gib den Drogenposten zu. || G494-NS092: CHD/CHD+Y — 1 Event, Seiten f89r; Bearbeite den Drogenposten.	NO	NONE	0	0	NONE	NONE	2	HERBAL|BIOLOGICAL	3	f10r|f13r|f83r	G494-CR085: HERBAL — 2 Events, Seiten f10r|f13r; Stelle den Pflanzenposten ein. || G494-CR086: BIOLOGICAL — 1 Event, Seiten f83r; Stelle den Stationsposten ein.	5	12	6	f10r|f13r|f83r|f88r|f88v|f89r	YES	YES	NO	NO	KEINE OBERFLÄCHENVORHERSAGE
