future_card_id	priority_rank	cross_register_cell_id	target_realization_cell_id	frozen_frame	action_root	action_recipe	target_register	observed_other_register	event_count	page_count	pages	observed_clause_form_count	observed_clauses_de	same_action_and_formal_frame	exact_observed_other_register_cell
G495-F017	17	G494-CR001	G493-C001	@ACTION	T	T	SOURCE_SECTION_T	HERBAL	1	1	f56r	1	Stelle den Pflanzenposten [wie zuvor] ein.	YES	YES
G495-F001	1	G494-CR002	G493-C003	@ACTION	T	T	BIOLOGICAL	HERBAL	1	1	f56r	1	Stelle den Pflanzenposten [wie zuvor] ein.	YES	YES
G495-F018	18	G494-CR005	G493-C011	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	HERBAL	2	2	f10r|f95v	1	Stelle den Arbeitswert ein.	YES	YES
G495-F018	18	G494-CR006	G493-C011	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	BIOLOGICAL	2	2	f81r|f82r	1	Stelle den Stationswert ein.	YES	YES
G495-F018	18	G494-CR007	G493-C011	@ACTION+AIIN	T	T+AIIN	SOURCE_SECTION_T	PHARMA	1	1	f89r	1	Stelle den Mengenwert ein.	YES	YES
G495-F003	3	G494-CR008	G493-C014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	HERBAL	2	2	f10r|f95v	1	Stelle den Arbeitswert ein.	YES	YES
G495-F003	3	G494-CR009	G493-C014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	BIOLOGICAL	2	2	f81r|f82r	1	Stelle den Stationswert ein.	YES	YES
G495-F003	3	G494-CR010	G493-C014	@ACTION+AIIN	T	T+AIIN	CELESTIAL	PHARMA	1	1	f89r	1	Stelle den Mengenwert ein.	YES	YES
G495-F019	19	G494-CR011	G493-C016	@ACTION+AIIN	R	R+AIIN	SOURCE_SECTION_T	HERBAL	1	1	f95v	1	Markiere den Arbeitswert.	YES	YES
G495-F019	19	G494-CR012	G493-C016	@ACTION+AIIN	R	R+AIIN	SOURCE_SECTION_T	BIOLOGICAL	7	3	f76r|f77r|f82r	1	Markiere den Stationswert.	YES	YES
G495-F004	4	G494-CR013	G493-C019	@ACTION+AIIN	R	R+AIIN	CELESTIAL	HERBAL	1	1	f95v	1	Markiere den Arbeitswert.	YES	YES
G495-F004	4	G494-CR014	G493-C019	@ACTION+AIIN	R	R+AIIN	CELESTIAL	BIOLOGICAL	7	3	f76r|f77r|f82r	1	Markiere den Stationswert.	YES	YES
G495-F013	13	G494-CR015	G493-C020	@ACTION+AIIN	R	R+AIIN	PHARMA	HERBAL	1	1	f95v	1	Markiere den Arbeitswert.	YES	YES
G495-F013	13	G494-CR016	G493-C020	@ACTION+AIIN	R	R+AIIN	PHARMA	BIOLOGICAL	7	3	f76r|f77r|f82r	1	Markiere den Stationswert.	YES	YES
G495-F005	5	G494-CR019	G493-C022	@ACTION+AIN	T	T+AIN	HERBAL	BIOLOGICAL	1	1	f77r	1	Stelle den Stationsanteil ein.	YES	YES
G495-F005	5	G494-CR020	G493-C022	@ACTION+AIN	T	T+AIN	HERBAL	PHARMA	1	1	f89r	1	Stelle den Drogenanteil ein.	YES	YES
G495-F006	6	G494-CR024	G493-C027	@ACTION+AIN	R	R+AIN	HERBAL	BIOLOGICAL	3	3	f76r|f81r|f82r	1	Markiere den Stationsanteil.	YES	YES
G495-F022	22	G494-CR026	G493-C030	@ACTION+AIN	R	R+AIN	PHARMA	BIOLOGICAL	3	3	f76r|f81r|f82r	1	Markiere den Stationsanteil.	YES	YES
G495-F009	9	G494-CR029	G493-C032	@ACTION+AL	T	T+AL	HERBAL	BIOLOGICAL	2	2	f77r|f83r	1	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	YES	YES
G495-F009	9	G494-CR030	G493-C032	@ACTION+AL	T	T+AL	HERBAL	CELESTIAL	1	1	f71v	1	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	YES	YES
G495-F011	11	G494-CR035	G493-C037	@ACTION+AL	R	R+AL	HERBAL	BIOLOGICAL	1	1	f81v	1	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	YES	YES
G495-F011	11	G494-CR036	G493-C037	@ACTION+AL	R	R+AL	HERBAL	PHARMA	1	1	f88r	1	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	YES	YES
G495-F002	2	G494-CR037	G493-C039	@ACTION+AL	R	R+AL	CELESTIAL	BIOLOGICAL	1	1	f81v	1	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	YES	YES
G495-F002	2	G494-CR038	G493-C039	@ACTION+AL	R	R+AL	CELESTIAL	PHARMA	1	1	f88r	1	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	YES	YES
G495-F025	25	G494-CR041	G493-C043	@ACTION+AL+Y	T	T+AL+Y	BIOLOGICAL	CELESTIAL	1	1	f72r	1	Stelle den Positionsposten ein; zur Zielposition.	YES	YES
G495-F024	24	G494-CR047	G493-C052	@ACTION+CH+E+Y	T	T+CH+E+Y	HERBAL	SOURCE_SECTION_T	1	1	f1r	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	YES	YES
G495-F023	23	G494-CR052	G493-C057	@ACTION+CH+E+Y	R	R+CH+E+Y	HERBAL	BIOLOGICAL	1	1	f82r	1	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	YES	YES
G495-F014	14	G494-CR065	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	SOURCE_SECTION_T	1	1	f1r	1	Weiter lege den laufenden Eintrag [wie zuvor] fest.	YES	YES
G495-F014	14	G494-CR066	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	HERBAL	3	2	f11r|f56r	2	Weiter stelle den Arbeitswert [wie zuvor] ein. || Weiter stelle den Pflanzenposten [wie zuvor] ein.	YES	YES
G495-F014	14	G494-CR067	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	BIOLOGICAL	1	1	f83r	1	Weiter stelle den Stationsposten [wie zuvor] ein.	YES	YES
G495-F014	14	G494-CR068	G493-C074	@ACTION+OL	T	T+OL	CELESTIAL	PHARMA	2	2	f88v|f89r	2	Weiter stelle den Drogenanteil [wie zuvor] ein. || Weiter stelle den Drogenposten [wie zuvor] ein.	YES	YES
