owner_order	visible_owner	owner_status	pages	records	event_count	statement_count	owner_rule_de
1	gemeinsames zweireihiges Figuren-/Beckenfeld	DIRECT_VISIBLE_LOCAL_OWNER	f81v	B1	66	21	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
2	obere Paarbecken-/Zylinderstation	DIRECT_VISIBLE_LOCAL_OWNER	f82r	B2	22	6	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
3	mittlere linke Geräte-/Inline-Knotenstation	DIRECT_VISIBLE_LOCAL_OWNER	f82r	B2	9	4	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
4	ungelöste mittlere rechte Linie-/Liegepodeststation	UNRESOLVED_LOCAL_OWNER	f82r	B2	5	2	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
5	unteres grünes Mehrfigurenfeld	DIRECT_VISIBLE_LOCAL_OWNER	f82r	B2	9	3	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
6	lokale Randstationen des unteren Feldes	DIRECT_VISIBLE_LOCAL_OWNER	f82r	B2	17	8	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
7	obere offene Fächer-Randstation	DIRECT_VISIBLE_LOCAL_OWNER	f83r	B3	10	4	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
8	mittlere runde Gefäß-Randstation	DIRECT_VISIBLE_LOCAL_OWNER	f83r	B3	9	5	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
9	untere korbartige Gefäß-Randstation	DIRECT_VISIBLE_LOCAL_OWNER	f83r	B3	16	7	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
10	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	UNRESOLVED_LOCAL_OWNER	f83r	B3	27	11	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
11	Hauptpaar am sichtbaren ungerichteten Bogen	DIRECT_VISIBLE_LOCAL_OWNER	f83r	B3|B4	47	19	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
12	linke offene Fransen-/Unterlaufstation	DIRECT_VISIBLE_LOCAL_OWNER	f83r	B4	18	5	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
13	rechte S-Lauf-/Mehrarmknotenstation	DIRECT_VISIBLE_LOCAL_OWNER	f83r	B4	6	2	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
14	linker offener Fransen-Endposten	DIRECT_VISIBLE_LOCAL_OWNER	f83r	B5	11	3	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
15	rechter S-Lauf-/Mehrarm-Endposten	DIRECT_VISIBLE_LOCAL_OWNER	f83r	B6	9	1	nur lokale Station; keine unsichtbare Verbindung zum nächsten Besitzer
