master_card_id	master_form	registered_surfaces	bio_value_de	noun_class	grounding	bio_occurrences	records	owners	reading_note_de
MC008	lchy	lchy	Abführgut	MATERIAL_POSTEN	WORKSHOP_INFERRED	1	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	Abführgut ist eine Prozessrolle, kein sichtbarer Stoff
MC012	dl	dl	Zusatz	MATERIAL_POSTEN	WORKSHOP_INFERRED	2	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Zusatz ist in zwei Zellen eingetragen, aber nicht gezeichnet
MC022	chckhal	chckhal	Zielpassage	WEG_STATION	GEOMETRY_COMPATIBLE	1	B4	linke offene Fransen-/Unterlaufstation	Zielpassage passt zur linken Unterlaufstation
MC023	kair	kair	Beckenlauf	WEG_STATION	GEOMETRY_COMPATIBLE	1	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Beckenlauf bezeichnet eine lokale Laufrolle, nicht das ganze Seitenbild
MC038	lshedy	lshedy	Waschgang; Schluss	WASCH_PROZESS	WORKSHOP_INFERRED	2	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	geschlossener Waschgang im gemeinsamen Beckenfeld
MC056	ral	ral	Zielmarke	WEG_STATION	GEOMETRY_COMPATIBLE	1	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Zielmarke ist eine lokale Adresse
MC058	sheckhal	sheckhal	Kurze Zielpassage	WEG_STATION	GEOMETRY_COMPATIBLE	1	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurze Zielpassage ohne behauptete Flussrichtung
MC059	dain	dain	Einlage	EINSATZ_OBJEKT	WORKSHOP_INFERRED	2	B4|B6	Hauptpaar am sichtbaren ungerichteten Bogen|rechter S-Lauf-/Mehrarm-Endposten	Einlage ist nicht als eigener Gegenstand sicher sichtbar
MC065	ls	ls	Auslass	WEG_STATION	GEOMETRY_COMPATIBLE	1	B2	mittlere linke Geräte-/Inline-Knotenstation	Auslass an der mittleren linken Gerätestation
MC066	lcheey	lcheey	Klarabzug	FLÜSSIGKEITS_POSTEN	WORKSHOP_INFERRED	1	B2	unteres grünes Mehrfigurenfeld	Klarabzug ist ein Prozessprodukt
MC078	olsaly	olsaly	Zwischenziel	WEG_STATION	GEOMETRY_COMPATIBLE	1	B3	Hauptpaar am sichtbaren ungerichteten Bogen	Zwischenziel am ungerichteten Hauptbogen
MC080	chor	chor|or|shor|sor	Ansatz	ZUBEREITUNG	WORKSHOP_INFERRED	2	B3|B4	untere korbartige Gefäß-Randstation|linke offene Fransen-/Unterlaufstation	Ansatz bleibt ein laufender Arbeitsposten
MC084	rshedy	rshedy	Vollwaschung; Schluss	WASCH_PROZESS	WORKSHOP_INFERRED	1	B2	lokale Randstationen des unteren Feldes	Vollwaschung ist eine gelernte geschlossene Zelle
MC086	chety	chety|chty	Teil	MENGE_TEIL	RELATIONAL	1	B3	Hauptpaar am sichtbaren ungerichteten Bogen	Teil des aktiven lokalen Postens
MC091	dairydy	dairydy	Laufschluss	WEG_STATION	GEOMETRY_COMPATIBLE	1	B4	linke offene Fransen-/Unterlaufstation	Laufschluss schließt eine lokale Linie, keinen globalen Kreislauf
MC101	ldalor	ldalor	Endziel	WEG_STATION	GEOMETRY_COMPATIBLE	1	B6	rechter S-Lauf-/Mehrarm-Endposten	Endziel gehört zum rechten Endposten
MC105	chkain	chkain|kain	Portion	MENGE_TEIL	RELATIONAL	3	B1|B3|B4	gemeinsames zweireihiges Figuren-/Beckenfeld|untere korbartige Gefäß-Randstation|linke offene Fransen-/Unterlaufstation	abgegrenzte Portion an verschiedenen Stationen
MC116	schedair	schedair	Weiterlauf	WEG_STATION	GEOMETRY_COMPATIBLE	1	B3	Hauptpaar am sichtbaren ungerichteten Bogen	Weiterlauf ist eine lokale Fortsetzung
MC118	ly	ly	Auffanggefäß	GEFÄSS_STATION	GEOMETRY_COMPATIBLE	1	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Auffanggefäß ist mit dem großen Beckenfeld vereinbar, aber nicht identifiziert
MC119	cheey	cheey|shey	Klarlauf	FLÜSSIGKEITS_POSTEN	WORKSHOP_INFERRED	3	B2|B4	mittlere linke Geräte-/Inline-Knotenstation|unteres grünes Mehrfigurenfeld|linke offene Fransen-/Unterlaufstation	Klarlauf erscheint an drei getrennten Stationen
MC126	pchedal	pchedal	Zielzuführung	WEG_STATION	GEOMETRY_COMPATIBLE	1	B3	untere korbartige Gefäß-Randstation	Zielzuführung an der unteren korbartigen Station
MC130	lsho	lsho	Waschgang	WASCH_PROZESS	WORKSHOP_INFERRED	1	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	offener Waschgang im gemeinsamen Beckenfeld
MC134	qolky	qolky	Weiterweg	WEG_STATION	GEOMETRY_COMPATIBLE	1	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Weiterweg ist eine lokale Routenkarte
MC138	dshedy	dshedy	Frischwasser zugeben; Schluss	FLÜSSIGKEITS_POSTEN	WORKSHOP_INFERRED	1	B2	mittlere linke Geräte-/Inline-Knotenstation	Frischwasser ist genau eine gelernte Zelle an der mittleren linken Station
MC168	lcheckhy	lcheckhy	Abführpassage	WEG_STATION	GEOMETRY_COMPATIBLE	1	B2	obere Paarbecken-/Zylinderstation	Abführpassage an der oberen Paarstation
