page	phase	dossiers	source_units	workshop_role_de	usage_status
f10r	WHAT	D1_ROOT_BATH_RIGHT_WHEEL	H1;H2	Bildbesitzer und Stoff-/Zubereitungseintrag	USED_IN_COMPLETE_CASEBOOK
f11r	WHAT	D2_CLEAR_EXTRACT_STAR_ATLAS	H3	Bildbesitzer und Stoff-/Zubereitungseintrag	USED_IN_COMPLETE_CASEBOOK
f55v	WHAT	D3_STORED_APPLICATION_THREE_WHEELS	H4	Bildbesitzer und Stoff-/Zubereitungseintrag	USED_IN_COMPLETE_CASEBOOK
f56r	WHAT	D4_FRESH_PLANT_LEFT_WHEEL	H5	Bildbesitzer und Stoff-/Zubereitungseintrag	USED_IN_COMPLETE_CASEBOOK
f81v	HOW	D1_ROOT_BATH_RIGHT_WHEEL	B1	lokale Becken-, Stations-, Tuch- oder Anwendungsschritte	USED_IN_COMPLETE_CASEBOOK
f82r	HOW	D2_CLEAR_EXTRACT_STAR_ATLAS	B2	lokale Becken-, Stations-, Tuch- oder Anwendungsschritte	USED_IN_COMPLETE_CASEBOOK
f83r	HOW	D3_STORED_APPLICATION_THREE_WHEELS;D4_FRESH_PLANT_LEFT_WHEEL	B4;B5;B6;B3	lokale Becken-, Stations-, Tuch- oder Anwendungsschritte	USED_IN_COMPLETE_CASEBOOK
f67r2	WHEN	D1_ROOT_BATH_RIGHT_WHEEL;D4_FRESH_PLANT_LEFT_WHEEL	M67_RIGHT_SECTORS;M67_RIGHT_RING_RULES;M67_RIGHT_PHASES;M67_SHARED_LEGEND;M67_LEFT_ASPECT_FIELDS;M67_LEFT_OUTER_STATIONS;M67_LEFT_RING_RULE	sichtbar adressierte Bedingungs- und Ablesemodule	USED_IN_COMPLETE_CASEBOOK
f68r1	WHEN	D2_CLEAR_EXTRACT_STAR_ATLAS	M68_PANEL_HEADERS;M68_STAR_STATIONS;M68_CENTER_KEY	sichtbar adressierte Bedingungs- und Ablesemodule	USED_IN_COMPLETE_CASEBOOK
f69v	WHEN	D3_STORED_APPLICATION_THREE_WHEELS	M69_LEFT_RUBRIC;M69_LEFT_28_SLOTS;M69_MIDDLE_QUALITY;M69_RIGHT_LIGHT	sichtbar adressierte Bedingungs- und Ablesemodule	USED_IN_COMPLETE_CASEBOOK
