unified_serial	register	page	locus	namespace_or_record	local_unit_id	surface_display	mechanism	operational_reading_de	local_owner	register_rule_de	nomenclator_layer	instrument_id	module_id	instrument_context_de	dossier_id	case_phase	case_source_unit	case_statement_or_locus	case_context_de	dossier_title_de	crosspage_link_status
U001	PROSE_WORKSHOP	f10r	f10r.2	H1	E001	dchey	WHOLE_CARD_CODEBOOK	Wurzel	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	Wurzel	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U002	PROSE_WORKSHOP	f10r	f10r.2	H1	E002	cthoor	PRODUCTIVE_COMPONENTS	Ansatz bereit	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	Ansatz bereit	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U003	PROSE_WORKSHOP	f10r	f10r.2	H1	E003	char	PRODUCTIVE_COMPONENTS	daraus	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	daraus	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U004	PROSE_WORKSHOP	f10r	f10r.2	H1	E004	chty	PRODUCTIVE_COMPONENTS	Teil abtrennen	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	Teil abtrennen	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U005	PROSE_WORKSHOP	f10r	f10r.2	H1	E005	os	WHOLE_CARD_CODEBOOK	Gefaess	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	Gefaess	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U006	PROSE_WORKSHOP	f10r	f10r.2	H1	E006	chair	PRODUCTIVE_COMPONENTS	Wasserzulauf	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	Wasserzulauf	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U007	PROSE_WORKSHOP	f10r	f10r.2	H1	E007	otytchol	PRODUCTIVE_COMPONENTS	naechsten Teilposten weiterfuehren	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	naechsten Teilposten weiterfuehren	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U008	PROSE_WORKSHOP	f10r	f10r.2	H1	E008	oky	PRODUCTIVE_COMPONENTS	Posten ansetzen	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	Posten ansetzen	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U009	PROSE_WORKSHOP	f10r	f10r.2	H1	E009	daiin	PRODUCTIVE_COMPONENTS	Sollmaß	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	Sollmaß	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U010	PROSE_WORKSHOP	f10r	f10r.2	H1	E010	etyd	PRODUCTIVE_COMPONENTS	kleiner Restteil	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	kleiner Restteil	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S001	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
U011	PROSE_WORKSHOP	f10r	f10r.5	H1	E011	qokchy	PRODUCTIVE_COMPONENTS	Posten ansetzen	H1	Prosa: Besitzer erben, Karte komponieren oder im sechzehnkoepfigen Codebuch nachschlagen.	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	PROSE_NOT_APPLICABLE	Posten ansetzen	D1_ROOT_BATH_RIGHT_WHEEL	WHAT	H1	H1-S002	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Wurzelbad unter rechter Radbedingung	THEMATIC_WORKSHOP_PAIRING__NOT_AN_EXPLICIT_MANUSCRIPT_POINTER
