rule_id	layer	instruction_de
R01	BILD	Bestimme zuerst den gezeichneten Besitzer: Pflanze, Becken/Station oder Rad/Panelfläche.
R02	DOSSIER	Wähle genau einen Arbeitsfall; die vier Fälle sind Lehrordnungen, keine behaupteten Seitenverweise.
R03	WHAT	Beginne mit dem Herbal-Record: Er nennt oder übernimmt Material, Teil, Ansatz, Auszug und Maß.
R04	OWNER	Der Pflanzenbesitzer bleibt aktiv, bis der Record ausdrücklich einen anderen Posten einführt.
R05	HOW	Wechsle danach zum zugeordneten Biological-Record und lies jede Zelle als lokale Arbeitsanweisung.
R06	STATION	Ein gezeichneter Besitzerwechsel eröffnet eine neue Station; er beweist keinen unsichtbaren Rohrweg.
R07	FLOW	AR gibt die Quelle, AL das Ziel und AIR den laufenden Arbeits- oder Wasserweg an.
R08	QUANTITY	AIN ist eine Portion, AIIN ein Sollmaß und IIN eine einzustellende Stufe.
R09	ACTION	OK setzt einen Arbeitsgang an; CHED setzt oder überträgt; L-CHED führt ab; P-CHED führt ein.
R10	GRADE	E, EE und EEE unterscheiden kurz, länger und vollständig nur in den gelernten Reihen.
R11	STATE	CTH heißt bereit, SHED absetzen, CHK wärmen, CKHE seihen und SOLK sammeln.
R12	CLOSE	Nur die gelernte ganze Endkarte schließt eine Zelle; sichtbares dy allein genügt nicht.
R13	HANDOFF	Eine offene Zelle trägt Material oder Gerätezustand in die nächste Anweisung, auch über eine Zeile.
R14	WHEN	Zum Schluss wähle am Astro-Instrument nur den sichtbaren Sektor, Sternplatz oder Radialplatz.
R15	NO_CYCLE	Erfinde keinen Kreisstart, keine Drehrichtung und keine Nummerierung aus der Schriftfolge.
R16	NO_KEY	f67, f68 und f69 sind getrennte Werkzeuge; kein f68-f69-Schlüssel wird benötigt.
R17	READBACK	Lies rückwärts: Bedingung -> ausgeführter Arbeitsweg -> verwendetes Material und Sollmaß.
R18	COPY	Kann ein Kartenrest nicht komponiert werden, kopiere die gelernte Ganzkarte aus dem lokalen Exemplar.
