dossier_id	step_no	phase	source_unit	page	short_action_de	full_reading_de	statement_or_locus_count	visible_group_count	handoff_de
D1_ROOT_BATH_RIGHT_WHEEL	1	WHAT	H1	f10r	Wurzelansatz ansetzen, einen Teil abtrennen, Wasserlauf und Sollmaß einstellen	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil. Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	2	14	Material und Arbeitsposten an die nächste Dossierphase übergeben
D1_ROOT_BATH_RIGHT_WHEEL	2	WHAT	H2	f10r	Auszugsansatz fertigstellen, Pflanzencharge weiterführen und weich einstellen	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein. Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.	3	24	Material und Arbeitsposten an die nächste Dossierphase übergeben
D1_ROOT_BATH_RIGHT_WHEEL	3	HOW	B1	f81v	Bad- oder Waschbecken füllen, dosieren, waschen, ruhen, wärmen und seihen	Setze kurz an und schließe Stelle das Sollmass ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, fuehre den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmass ein, halte dort laenger, leite durch, setze um und schliesse. Führe weiter, schwenke den Posten und schließe Setze um, führe weiter, lass absetzen und schließe Führe den Posten weiter und schließe Gib eine Portion und den Zusatz zu, leite durch, fuehre zur Zielstelle und uebergib an den folgenden Umsetzschritt. Setze die abgekühlte Badmischung um und schließe Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe Setze kurz an und schließe Setze kurz an und schließe Leite durch und setze den Posten an Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe Wasche und schließe Setze um, fuehre weiter, leite am Auslass ab und fuehre danach von dort weiter. Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe Setze dort länger an, führe weiter, lass absetzen und schließe Fuehre dorthin, fuehre kurz weiter, setze um und schliesse. Stelle das Gefaess bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle laenger und schliesse. Lass absetzen und schließe Wärme kurz, seih und schließe Führe den Posten dorthin	21	66	Material und Arbeitsposten an die nächste Dossierphase übergeben
D1_ROOT_BATH_RIGHT_WHEEL	4	WHEN	M67_RIGHT_SECTORS	f67r2	Wähle den sichtbaren rechten Sektor und setze seine Klasse oder Bedingung	Bedingung, Klasse oder Ausgang einstellen	12	28	Gewählten lokalen Bedingungswert zum fertigen Arbeitsfall notieren
D1_ROOT_BATH_RIGHT_WHEEL	5	WHEN	M67_RIGHT_RING_RULES	f67r2	Lies die rechte Ringregel als Bedienrahmen	Grad, Fortsetzung und Ablesung des rechten Rades	3	18	Gewählten lokalen Bedingungswert zum fertigen Arbeitsfall notieren
D1_ROOT_BATH_RIGHT_WHEEL	6	WHEN	M67_RIGHT_PHASES	f67r2	Wähle die sichtbare Phasenstelle und notiere ihre Bedingung	Licht-, Phasen- oder Kalenderbedingung	8	10	Gewählten lokalen Bedingungswert zum fertigen Arbeitsfall notieren
D1_ROOT_BATH_RIGHT_WHEEL	7	WHEN	M67_SHARED_LEGEND	f67r2	Lies die Legende als gemeinsamen Kartenschlüssel, ohne sie einem Einzelrad aufzuzwingen	gemeinsame Ablese- und Einstellbegriffe	1	13	Gewählten lokalen Bedingungswert zum fertigen Arbeitsfall notieren
D2_CLEAR_EXTRACT_STAR_ATLAS	1	WHAT	H3	f11r	Kräuteransatz auswringen, stehen lassen, nachseihen, klar abziehen und kühlen	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt. Lege einen Zutatenteil zurueck. Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmass ein. Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	4	17	Material und Arbeitsposten an die nächste Dossierphase übergeben
D2_CLEAR_EXTRACT_STAR_ATLAS	2	HOW	B2	f82r	Flüssigkeit durch lokale Stationen führen, sammeln, wärmen, klären und verteilen	Setze um und schließe Führe weiter und schließe Gib eine Portion zu, setze den Posten länger an und schließe Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe Setze diesen Posten dort an, sammle bis zum Sollmass, leite durch, stelle das Sollmass ein, fuehre bereit weiter, waerme laenger, ziehe ab und schliesse. Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an. Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe Lass weiter absetzen und schließe Setze laenger an, fuehre den Posten durch den Auslass und nimm den Klarlauf. Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn laenger an, fuehre den Klarlauf ab, stelle das Sollmass ein, fuehre den Posten vollstaendig aus und schliesse. Führe ab und schließe Fuehre von dort ab. Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze laenger an und schliesse. Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe Lass den Posten kurz am Ziel ruhen, schliesse die Nebenöffnung und beende den Schritt. Setze länger an und schließe Führe den Waschgang aus und schließe. Nimm die lange Folge und schließe Setze länger an und schließe Führe den Rest ab und schließe	22	62	Material und Arbeitsposten an die nächste Dossierphase übergeben
D2_CLEAR_EXTRACT_STAR_ATLAS	3	WHEN	M68_PANEL_HEADERS	f68r1	Wähle den sichtbaren Paneelkopf als Modus	Abfragemodus für Eingang, Phase, Ziel oder Ablesung	7	31	Gewählten lokalen Bedingungswert zum fertigen Arbeitsfall notieren
