statement_id	record_unit_id	page	loci	ending_class	event_count	line_break_rule_de	workshop_sentence_de
H5-S001	H5	f56r	f56r.5|f56r.7	HANDOFF_OPEN	9	Nur Feder neu ansetzen; alle laufenden Register behalten	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmaß, lege die nächste Zutat auf, beginne den Folgeansatz und setze den Posten dort an
B1-S002	B1	f81v	f81v.2|f81v.7	COMMIT_CELL	19	Nur Feder neu ansetzen; alle laufenden Register behalten	Stelle das Sollmaß ein, lass Beckenwasser zu, setze dort an, gib eine weitere Portion und Badzusatz hinzu, halte den Fortsetzungsansatz warm, führe ihn bis zum Mittelmaß weiter, stelle das Sollmaß ein, halte dort länger, prüfe erneut das Sollmaß, leite durch, setze um und schließe
B1-S003	B1	f81v	f81v.7|f81v.17	COMMIT_CELL	2	Nur Feder neu ansetzen; alle laufenden Register behalten	Führe weiter, schwenke den Posten und schließe
B1-S018	B1	f81v	f81v.24|f81v.27	COMMIT_CELL	4	Nur Feder neu ansetzen; alle laufenden Register behalten	Stelle die Auffangschale bereit, reibe die bezeichnete Stelle ein, bringe sie auf Sollstufe, sammle länger und schließe
B2-S004	B2	f82r	f82r.2|f82r.3	COMMIT_CELL	5	Nur Feder neu ansetzen; alle laufenden Register behalten	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe
B2-S005	B2	f82r	f82r.3|f82r.4	COMMIT_CELL	8	Nur Feder neu ansetzen; alle laufenden Register behalten	Setze den Posten am Seihtuch an, leite ihn durch, stelle das Sollmaß ein, gleiche beide Seiten an, wärme länger, ziehe ab und schließe
B2-S012	B2	f82r	f82r.19|f82r.23	COMMIT_CELL	8	Nur Feder neu ansetzen; alle laufenden Register behalten	Ziehe den Posten ab, nimm die Klarflüssigkeit, halte sie kurz bereit, setze sie länger an der Nassstelle nach Sollmaß an, führe sie vollständig aus und schließe
B2-S016	B2	f82r	f82r.26|f82r.27	COMMIT_CELL	8	Nur Feder neu ansetzen; alle laufenden Register behalten	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe
B3-S016	B3	f83r	f83r.11|f83r.14	COMMIT_CELL	2	Nur Feder neu ansetzen; alle laufenden Register behalten	Schließe den Bodenablauf, setze den Posten um und schließe
B3-S021	B3	f83r	f83r.14|f83r.15	COMMIT_CELL	11	Nur Feder neu ansetzen; alle laufenden Register behalten	Stelle das Sollmaß ein, halte bereit, führe dorthin, lass den Posten absetzen, bis er handwarm ist, führe ihn erneut dorthin, stelle bereit, setze dort um und schließe
B3-S026	B3	f83r	f83r.16|f83r.20	COMMIT_CELL	7	Nur Feder neu ansetzen; alle laufenden Register behalten	Stelle das Sammelbecken bereit, warte bis zum Absetzmaß, setze um, gib eine Portion zu, halte bereit, warte, bis der Posten klar ist, sammle länger und schließe
B3-S030	B3	f83r	f83r.20|f83r.22	COMMIT_CELL	4	Nur Feder neu ansetzen; alle laufenden Register behalten	Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe
B4-S003	B4	f83r	f83r.25|f83r.26	COMMIT_CELL	7	Nur Feder neu ansetzen; alle laufenden Register behalten	Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
B4-S011	B4	f83r	f83r.35|f83r.37	COMMIT_CELL	7	Nur Feder neu ansetzen; alle laufenden Register behalten	Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
B4-S015	B4	f83r	f83r.39|f83r.41	COMMIT_CELL	6	Nur Feder neu ansetzen; alle laufenden Register behalten	Gib eine Portion zu, nimm die Klarflüssigkeit, halte eine Portion für die Haltezeit, sammle kurz, führe ab und schließe
B4-S016	B4	f83r	f83r.41|f83r.44	COMMIT_CELL	4	Nur Feder neu ansetzen; alle laufenden Register behalten	Gib eine weitere Portion dorthin, gieße sie warm aus, lass absetzen und schließe
B5-S003	B5	f83r	f83r.47|f83r.48|f83r.49	RELEASE_RECORD	9	Nur Feder neu ansetzen; alle laufenden Register behalten	Lass dort absetzen, führe dorthin weiter, halte warm, setze nach Sollmaß um, stelle die Öffnung auf Zielstufe und setze erneut um
B6-S001	B6	f83r	f83r.52|f83r.54	RELEASE_RECORD	9	Nur Feder neu ansetzen; alle laufenden Register behalten	Sammle den rohen Posten länger, öffne den Seitenarm, führe nach Sollmaß weiter, lege das Tuch ein und führe den Posten zum Endziel
