statement_id	record_unit_id	page	loci	event_count	ending_class	ending_card_id	ending_surface	ending_action_de	next_statement_id	register_effect	teaching_command_de	crosses_physical_line	workshop_sentence_de
H1-S001	H1	f10r	f10r.2	10	HANDOFF_OPEN				H1-S002	KEEP_OWNER_ITEM_SOURCE_TARGET_OPERATION_AVAILABLE	Arbeitsgang offen an die nächste Zelle weiterreichen	NO	Nimm die Wurzel der abgebildeten Pflanze aus dem bereitgestellten Ansatz, zerkleinere sie, gib sie in das Gefäß, lass Wasser zulaufen und sammle den Auszug; setze ihn nach Sollmaß an und verwahre den Wurzelrest
H1-S002	H1	f10r	f10r.5	4	RELEASE_RECORD					CLEAR_OWNER_ITEM_SOURCE_TARGET_OPERATION	Record endet; alle laufenden Register zurücksetzen	NO	Setze den Posten an, wärme ihn an, führe ihn weiter und halte ihn bereit
H2-S001	H2	f10r	f10r.6	9	HANDOFF_OPEN				H2-S002	KEEP_OWNER_ITEM_SOURCE_TARGET_OPERATION_AVAILABLE	Arbeitsgang offen an die nächste Zelle weiterreichen	NO	Bereite aus der abgebildeten Pflanze einen Auszugsansatz, bring ihn auf Fertigmaß, presse ihn aus und teile den gewonnenen Posten nach Sollmaß
H2-S002	H2	f10r	f10r.8	8	HANDOFF_OPEN				H2-S003	KEEP_OWNER_ITEM_SOURCE_TARGET_OPERATION_AVAILABLE	Arbeitsgang offen an die nächste Zelle weiterreichen	NO	Führe den Folgeansatz und seinen Fortsetzungsposten weiter und nimm daraus das Sollmaß
H2-S003	H2	f10r	f10r.9	7	RELEASE_RECORD					CLEAR_OWNER_ITEM_SOURCE_TARGET_OPERATION	Record endet; alle laufenden Register zurücksetzen	NO	Gib den Ansatz in den Topf, bearbeite ihn bis zur Weichstufe und entnimm das Zutatenmaß
H3-S001	H3	f11r	f11r.1	7	COMMIT_CELL	2e2027b1951d79911e24	tchody	abkühlen	H3-S002	CLEAR_OPERATION_SOURCE_TARGET__KEEP_OWNER_ITEM_AVAILABLE	Handlung ausführen; Arbeitszelle abhaken	NO	Bereite aus dem Blütenkraut einen Weinsud, wringe ihn aus, lass ihn bis zum Standmaß stehen, seih nach, nimm die Klarflüssigkeit und kühle sie ab
H3-S002	H3	f11r	f11r.1	1	HANDOFF_OPEN				H3-S003	KEEP_OWNER_ITEM_SOURCE_TARGET_OPERATION_AVAILABLE	Arbeitsgang offen an die nächste Zelle weiterreichen	NO	Lege eine Blütenreserve zurück
H3-S003	H3	f11r	f11r.4	5	HANDOFF_OPEN				H3-S004	KEEP_OWNER_ITEM_SOURCE_TARGET_OPERATION_AVAILABLE	Arbeitsgang offen an die nächste Zelle weiterreichen	NO	Bereite aus dem Vorposten einen Trank nach Sollmaß
H3-S004	H3	f11r	f11r.7	4	RELEASE_RECORD					CLEAR_OWNER_ITEM_SOURCE_TARGET_OPERATION	Record endet; alle laufenden Register zurücksetzen	NO	Nimm die Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit
H4-S001	H4	f55v	f55v.5	5	COMMIT_CELL	97cc9ac109148723c472	ody	kühl	H4-S002	CLEAR_OPERATION_SOURCE_TARGET__KEEP_OWNER_ITEM_AVAILABLE	Handlung ausführen; Arbeitszelle abhaken	NO	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab
