statement_id	record_unit_id	page	owner_slot	locus_path	field_path	visible_event_count	read_source_token_count	surface_punctuated	workshop_german_punctuated	punctuation_class	physical_line_crossings_absorbed	owner_resets_marked	read_once_duplicates_collapsed	rule_de
H1-S001	H1	f10r	abgebildete Pflanze auf f10r	f10r.2	F001	10	10	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd ↪	wurzel, den Ansatz bereitstellen, davon, teil, aufnahmegefäß, laufendes Medium zugießen, folgeteil, einsetzen, sollmaß, kleiner Rest ↪	OPEN_TO_NEXT_STATEMENT	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
H1-S002	H1	f10r	abgebildete Pflanze auf f10r	f10r.5	F002	4	4	qokchy · qotchol · chol · cthy …	den laufenden Posten einsetzen und weiterbearbeiten, zum Folgegang wechseln, weiter, bereit …	OPEN_RECORD_RELEASE	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
H2-S001	H2	f10r	abgebildete Pflanze auf f10r	f10r.6	F003	9	9	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy ↪	aktueller Auszugsansatz, bereit, ansatz, die Sollvorbereitung setzen, danach mit diesem Posten weiter, dies, dies, sollmaß, dies ↪	OPEN_TO_NEXT_STATEMENT	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
H2-S002	H2	f10r	abgebildete Pflanze auf f10r	f10r.8	F004	8	8	qotchor · chor · otol · chol · cholor · chol · daiin · dar ↪	folgeansatz, ansatz, danach im selben Gang weiter, weiter, derselbe Ansatz, weiter, sollmaß, davon ↪	OPEN_TO_NEXT_STATEMENT	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
H2-S003	H2	f10r	abgebildete Pflanze auf f10r	f10r.9	F005	7	7	oykchor · shor · chor · chy · kaiiin · dy · chodaiin …	gefäß für den Ansatz, ansatz, ansatz, dies, die Arbeitsstufe setzen, dies, zugabemaß …	OPEN_RECORD_RELEASE	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
H3-S001	H3	f11r	abgebildete Pflanze auf f11r	f11r.1	F006	7	7	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody;	kochgut, sudansatz, auswringen, eine vorgeschriebene Stehzeit einhalten, nachseihen, klarlauf, kalt stellen;	COMMIT_SEMICOLON	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
H3-S002	H3	f11r	abgebildete Pflanze auf f11r	f11r.1	F007	1	1	shoyty ↪	zugabeteil ↪	OPEN_TO_NEXT_STATEMENT	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
H3-S003	H3	f11r	abgebildete Pflanze auf f11r	f11r.4	F008	5	5	dchol · chy · kchy · dy · daiin ↪	vom vorigen Arbeitsgang nehmen, dies, den laufenden Posten bearbeiten, dies, sollmaß ↪	OPEN_TO_NEXT_STATEMENT	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
H3-S004	H3	f11r	abgebildete Pflanze auf f11r	f11r.7	F009	4	4	qotchy · okchol · cthy · dy …	zum nächsten Posten wechseln, die Fortsetzung einsetzen, bereit, dies …	OPEN_RECORD_RELEASE	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
H4-S001	H4	f55v	abgebildete Pflanze auf f55v	f55v.5	F010	5	5	qokaiin · chaiin · ykain · ykan · ody;	bemessen, sollmaß, erste Portion, zweite Portion, aus der Wärme nehmen und abkühlen;	COMMIT_SEMICOLON	0	0	0	Punktuation folgt Aussage/Commit; / trennt offene Felder; Zeilenwechsel setzt kein Zeichen.
