exact_tuple_id	surface	locus	selected	alternative_A	alternative_B	selection_reason	strongest_null
087a47b5423438cd6b6a	chokcheo	f56r.13:2	drink it for gripping stomach pain	drink it for pain beneath the ribs	eat it with honey for stomach coldness	concrete internal use after fresh remedy	ordinary omitted subject/argument supplied by picture
0ec6a45e2950e8e7061d	chodaly	f56r.5:3	the lower root	the lower stem	the fibrous root crown	visible lower stem/base is inherited despite cropped root	mis-segmented abbreviation or page-exemplar filler
12efe866f335461823a6	chair	f10r.2:6	with red wine	use the red stem	add sharp vinegar	red medium makes the recipe coherent without reading painted stem colour as text	mis-segmented abbreviation or page-exemplar filler
1322bc176443fc2a8a86	qokokchy	f56r.12:4	dry it in the shade	dry it by gentle heat	hang it under cover until dry	ordinary preservation of selected flower head	ordinary omitted subject/argument supplied by picture
1b1ffdd869fb1429ad03	oldy	f55v.11:4	simmer it and take it from the fire	boil gently and cover	warm once and let cool	terminal heat card followed by new measured substep	ordinary omitted subject/argument supplied by picture
204b04837409088c48f9	oltchy	f55v.11:7	put the mixture in a covered jar	leave it covered overnight	keep it in a glazed jar	followed by prepared-liquid and current-portion cards	ordinary omitted subject/argument supplied by picture
27d97af8c96eb056c2e6	oykchor	f10r.9:1	when the flower has opened	its large flower is used	gather after the flower opens	line-opening condition and visibly staged flower heads	ordinary omitted subject/argument supplied by picture
2c1a5fd92b9e3c762242	cheeky	f55v.11:3	keep it warm	while still warm	over a gentle fire	V18 portable warm condition	mis-segmented abbreviation or page-exemplar filler
2e2027b1951d79911e24	tchody	f11r.1:7	bottle and stopper the clear liquid	leave the vessel open until cool	pour the clear liquid into a stoppered flask	Herbal context corrects apparatus-outlet default	ordinary omitted subject/argument supplied by picture
308e8ea2d5d190c498e8	okal	f55v.11:6	mix the two portions together	combine equal portions	mix the wine and plant liquid	V18 recurrent deck	ordinary omitted subject/argument supplied by picture
322281bd391aa621f568	okchol	f11r.7:2	warm them in wine	warm them in oil	boil the tops briefly in wine	makes a complete preparation before readiness gate	ordinary omitted subject/argument supplied by picture
403c1592f918c8f23b88	ykain	f55v.5:3	simmer it gently	boil it once	warm it below the boil	between measure and wine medium	mis-segmented abbreviation or page-exemplar filler
409de02322e7b2ca0c62	kaiiin	f10r.9:5	until it tastes bitter	one bitter-tasting portion	until the liquor darkens	between current-portion references and final preservation	ordinary omitted subject/argument supplied by picture
428a5e3662aa57b4b256	schoal	f11r.1:2	from a shaded spring bank	from shaded woodland	from wet stones beside a spring	cushion habit permits a moist-bank article; water is not in the image	ordinary omitted subject/argument supplied by picture
497cbd9c7401810ff56b	otol	f10r.8:3	one handful of the cut herb	one small bundle of leaves	three spoonfuls of the decoction	measure between prepared liquid and association phrase	ordinary omitted subject/argument supplied by picture
577c03a928d674d420d7	shoyty	f11r.1:8	use that liquid as an eye wash	wash a reddened eye with it	drink it for dim sight	opens the use half of the article after bottled clear liquid	ordinary omitted subject/argument supplied by picture
61a075bc54793c1c781f	sotodan	f56r.18:4	apply the honey preparation while fresh	drink the honey remedy fresh	bind the honey remedy on while fresh	completes honey preparation	ordinary omitted subject/argument supplied by picture
62ff059766b21c7de083	otytchol	f10r.2:7	drink it for pain beneath the ribs	drink it for stomach pain	bind it over the painful side	ordinary internal application after wine paste	ordinary omitted subject/argument supplied by picture
65f320e75510b2f38182	dchey	f10r.2:1	take the washed root of the pictured simple	the pictured simple is called by its local name	take the two swollen rootstocks	article opening plus pictured swollen rootstocks	ordinary omitted subject/argument supplied by picture
6afeb5c9ab9f6cbdea0d	orain	f55v.11:10	use this decoction while fresh	drink the decoction fresh	wash the wound with it fresh	article-final fresh-use instruction	ordinary omitted subject/argument supplied by picture
