exact_tuple_id	surface_examples	herbal_events	pages	selected_default_English	source_class	broad_source_class	confidence	evidence_basis	v18_disposition	silent_picture_argument	segmentation_risk	copying_null
087a47b5423438cd6b6a	chokcheo	1	f56r	drink it for gripping stomach pain	INDICATION_APPLICATION	APPLICATION	.26	concrete internal use after fresh remedy	REFINED_SINGLETON	[pictured spiny simple/selected head or affected place]	MEDIUM	rare exemplar card or segmentation accident
0ec6a45e2950e8e7061d	chodaly	1	f56r	the lower root	PICTURED_PART	MATERIAL_OR_MEDIUM	.31	visible lower stem/base is inherited despite cropped root	UNCHANGED_SINGLETON	[pictured spiny simple/selected head or affected place]	MEDIUM	rare exemplar card or segmentation accident
10488b911aae52b3b334	qotchor|otchor	2	f10r|f56r	gather the plant before flowering	GATHERING_TIME	GATHERING	.31	recurrent Herbal card and ordinary article instruction	REFINED_RECURRENT	page-local pictured owner or current preparation	LOW_TO_MEDIUM	formula reuse; not interpreted from recurrence alone
12efe866f335461823a6	chair	1	f10r	with red wine	MEDIUM	MATERIAL_OR_MEDIUM	.28	red medium makes the recipe coherent without reading painted stem colour as text	REVISED_SINGLETON	[pictured broad-leaved simple/root or its preparation]	MEDIUM	rare exemplar card or segmentation accident
1322bc176443fc2a8a86	qokokchy	1	f56r	dry it in the shade	DRY_ACTION	PROCESS_ACTION_OR_CLOSE	.30	ordinary preservation of selected flower head	REFINED_SINGLETON	[pictured spiny simple/selected head or affected place]	MEDIUM	rare exemplar card or segmentation accident
1b1ffdd869fb1429ad03	oldy	1	f55v	simmer it and take it from the fire	HEAT_CLOSE	HEAT_OR_STEEP	.29	terminal heat card followed by new measured substep	REFINED_SINGLETON	[pictured large-leaved simple or its preparation]	MEDIUM	rare exemplar card or segmentation accident
204b04837409088c48f9	oltchy	1	f55v	put the mixture in a covered jar	STORAGE_ACTION	STORAGE	.30	followed by prepared-liquid and current-portion cards	REFINED_SINGLETON	[pictured large-leaved simple or its preparation]	MEDIUM	rare exemplar card or segmentation accident
276a7c2d74d1143446f4	oky|choky	3	f10r|f56r	apply or use this portion	APPLICATION_ACTION	APPLICATION	.61	V18 recurrent deck	UNCHANGED_V18	page-local pictured owner or current preparation	LOW_TO_MEDIUM	formula reuse; not interpreted from recurrence alone
27d97af8c96eb056c2e6	oykchor	1	f10r	when the flower has opened	GATHERING_STATE	GATHERING	.30	line-opening condition and visibly staged flower heads	REFINED_SINGLETON	[pictured broad-leaved simple/root or its preparation]	MEDIUM	rare exemplar card or segmentation accident
2c1a5fd92b9e3c762242	cheeky	1	f55v	keep it warm	HEAT_CONDITION	HEAT_OR_STEEP	.31	V18 portable warm condition	REFINED_SINGLETON	[pictured large-leaved simple or its preparation]	MEDIUM	rare exemplar card or segmentation accident
2cc054357a929df85f64	cho|sho	4	f56r	then take the following ingredient or plant part	NEXT_DOSSIER_DETAIL	RELATION_OR_CONTINUATION	.65	V18 recurrent deck	UNCHANGED_V18	[pictured spiny simple/selected head or affected place]	LOW_TO_MEDIUM	formula reuse; not interpreted from recurrence alone
2e2027b1951d79911e24	tchody	1	f11r	bottle and stopper the clear liquid	STORAGE_CLOSE	STORAGE	.27	Herbal context corrects apparatus-outlet default	REVISED_SINGLETON	[pictured cushion simple/leaves or its preparation]	MEDIUM	rare exemplar card or segmentation accident
2f1c5e56e8f0ff459065	daiin|taiin|chaiin|aiin	9	f10r|f11r|f55v|f56r	in the stated or usual measure	MEASURE_REFERENCE	MEASURE_OR_PORTION	.66	V18 recurrent deck	UNCHANGED_V18	page-local pictured owner or current preparation	LOW_TO_MEDIUM	formula reuse; not interpreted from recurrence alone
308e8ea2d5d190c498e8	okal	1	f55v	mix the two portions together	COMBINE_PORTIONS	PREPARATION_ACTION	.54	V18 recurrent deck	UNCHANGED_V18	[pictured large-leaved simple or its preparation]	MEDIUM	rare exemplar card or segmentation accident
