page	locus	record	line	event_index	surface	exact_tuple_id	line_position	previous_surface	next_surface	article_segment	default_card_meaning	contextual_reading	source_class	confidence	inherited_picture_argument	silent_argument_count	physical_line_relation	copying_abbreviation_audit	segmentation_null
f10r	f10r.2	1	f10r.2	1	dchey	65f320e75510b2f38182	FIRST	<LINE_START>	cthoor	F10_ROOT_WINE	take the washed root of the pictured simple	take the washed root of the pictured simple	PICTURE_OWNED_MATERIAL_HEAD	.32	[pictured broad-leaved simple/root or its preparation]	1	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
f10r	f10r.2	1	f10r.2	2	cthoor	dedc383b600397a301ee	MIDDLE	dchey	char	F10_ROOT_WINE	cut it into thin pieces	cut it into thin pieces	PREPARATION_ACTION	.27	[pictured broad-leaved simple/root or its preparation]	0	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
f10r	f10r.2	1	f10r.2	3	char	4d4559019a961b834aa1	MIDDLE	cthoor	chty	F10_ROOT_WINE	from the same prepared batch	from the same prepared batch	SAME_PREPARED_BATCH_REFERENCE	.66	[pictured broad-leaved simple/root or its preparation]	0	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
f10r	f10r.2	1	f10r.2	4	chty	80ebbbbf238eee9f0aef	MIDDLE	char	os	F10_ROOT_WINE	until the pieces are evenly joined	until the pieces are evenly joined	PROCESS_GATE	.26	[pictured broad-leaved simple/root or its preparation]	0	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
f10r	f10r.2	1	f10r.2	5	os	df1098831679a8ad1b39	MIDDLE	chty	chair	F10_ROOT_WINE	pound them to a paste	pound them to a paste	PREPARATION_ACTION	.34	[pictured broad-leaved simple/root or its preparation]	0	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
f10r	f10r.2	1	f10r.2	6	chair	12efe866f335461823a6	MIDDLE	os	otytchol	F10_ROOT_WINE	with red wine	with red wine	MEDIUM	.28	[pictured broad-leaved simple/root or its preparation]	0	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
f10r	f10r.2	1	f10r.2	7	otytchol	62ff059766b21c7de083	MIDDLE	chair	oky	F10_ROOT_WINE	drink it for pain beneath the ribs	drink it for pain beneath the ribs	INDICATION_APPLICATION	.25	[pictured broad-leaved simple/root or its preparation]	0	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
f10r	f10r.2	1	f10r.2	8	oky	276a7c2d74d1143446f4	MIDDLE	otytchol	daiin	F10_ROOT_WINE	apply or use this portion	apply or use this portion	APPLICATION_ACTION	.61	[pictured broad-leaved simple/root or its preparation]	0	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
f10r	f10r.2	1	f10r.2	9	daiin	2f1c5e56e8f0ff459065	MIDDLE	oky	etyd	F10_ROOT_WINE	in the stated or usual measure	in the stated or usual measure	MEASURE_REFERENCE	.66	[pictured broad-leaved simple/root or its preparation]	0	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
f10r	f10r.2	1	f10r.2	10	etyd	a6939862e33ece5a0483	LAST	daiin	<LINE_END>	F10_ROOT_WINE	keep the remaining root dry	keep the remaining root dry	STORAGE_ACTION	.29	[pictured broad-leaved simple/root or its preparation]	0	CONTINUES_AFTER_PHYSICAL_LINE	ordinary occurrence	exact GDT327 whole-card retained; a different JOIN/SPACE segmentation could replace this source expansion
