page	locus	record	line	event_index	surface	exact_tuple_id	default_English	source_class	specific_role	confidence	previous_surface	following_surface	local_phrase	inherited_silent_argument	assignment_evidence
f10r	f10r.2	1	f10r.2	1	dchey	65f320e75510b2f38182	the pictured simple is called twin-root waterwort	NAME_OR_SYNONYM	PICTURED_SIMPLE_NAME	.24	<BOUNDARY>	cthoor	the pictured simple is called twin-root waterwort	PICTURED_SIMPLE_OR_PART	picture+article opening
f10r	f10r.2	1	f10r.2	2	cthoor	dedc383b600397a301ee	store its paired sound roots in a covered jar	STORAGE_OR_CLOSE	STORAGE	.25	dchey	char	store its paired sound roots in a covered jar	CURRENT_PREPARATION_AND_CONTAINER	picture+article order
f10r	f10r.2	1	f10r.2	3	char	4d4559019a961b834aa1	from the same prepared batch	REFERENCE_OR_CONTINUATION	SAME_BATCH_REFERENCE	.66	cthoor	chty	from the same prepared batch	ANTECEDENT_BATCH_PART_OR_INSTRUCTION	V18 recurrent deck
f10r	f10r.2	1	f10r.2	4	chty	80ebbbbf238eee9f0aef	pound the two roots until evenly combined	PREPARATION	PREPARATION	.27	char	os	pound the two roots until evenly combined	CURRENT_PLANT_MATERIAL_OR_PREPARATION	paired roots+local order
f10r	f10r.2	1	f10r.2	5	os	df1098831679a8ad1b39	the dried leaf powder	PLANT_PART	PLANT_PART_PREPARATION	.24	chty	chair	the dried leaf powder	PICTURED_SIMPLE_OR_PART	article order
f10r	f10r.2	1	f10r.2	6	chair	12efe866f335461823a6	the reddish creeping rootstock	PLANT_PART	VISIBLE_PART	.31	os	otytchol	the reddish creeping rootstock	PICTURED_SIMPLE_OR_PART	picture
f10r	f10r.2	1	f10r.2	7	otytchol	62ff059766b21c7de083	drink it for pain of the stomach	INDICATION	INDICATION_APPLICATION	.27	chair	oky	drink it for pain of the stomach	CURRENT_PREPARATION_AND_AFFECTED_PLACE_OR_PATIENT	V18 default+article
f10r	f10r.2	1	f10r.2	8	oky	276a7c2d74d1143446f4	apply or use this portion	APPLICATION	APPLICATION_ACTION	.61	otytchol	daiin	apply or use this portion	CURRENT_PREPARATION_AND_AFFECTED_PLACE_OR_PATIENT	V18 recurrent deck
f10r	f10r.2	1	f10r.2	9	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	MEASURE_OR_DOSE	MEASURE_REFERENCE	.66	oky	etyd	in the stated or usual measure	CURRENT_PLANT_MATERIAL_OR_PREPARATION	V18 recurrent deck
f10r	f10r.2	1	f10r.2	10	etyd	a6939862e33ece5a0483	retain the sound roots for later use	STORAGE_OR_CLOSE	STORAGE_CLOSE	.24	daiin	<PHYSICAL_LINE_END_NOT_NECESSARILY_SENTENCE_END>	retain the sound roots for later use	CURRENT_PREPARATION_AND_CONTAINER	paired roots+closure
f10r	f10r.5	1	f10r.5	1	qokchy	9ad66e67803a12e745de	use the freshly prepared remedy	PREPARATION	FRESH_PREPARATION	.52	<BOUNDARY>	qotchol	use the freshly prepared remedy	CURRENT_PLANT_MATERIAL_OR_PREPARATION	V18 recurrent deck
f10r	f10r.5	1	f10r.5	2	qotchol	e8a6105b5c3a6220b440	lay it on while warm	APPLICATION	WARM_APPLICATION	.29	qokchy	chol	lay it on while warm	CURRENT_PREPARATION_AND_AFFECTED_PLACE_OR_PATIENT	V18 default+local syntax
f10r	f10r.5	1	f10r.5	3	chol	dcda95c81a5460feb191	with the foregoing preparation	REFERENCE_OR_CONTINUATION	PREPARATION_REFERENCE	.67	qotchol	cthy	with the foregoing preparation	ANTECEDENT_BATCH_PART_OR_INSTRUCTION	V18 recurrent deck
f10r	f10r.5	1	f10r.5	4	cthy	e0b630cb1b5df5e7105b	when the preparation is ready	QUALITY_OR_PROCESS_CONDITION	READINESS_CONDITION	.55	chol	<PHYSICAL_LINE_END_NOT_NECESSARILY_SENTENCE_END>	when the preparation is ready	CURRENT_PLANT_MATERIAL_OR_PREPARATION	V18 recurrent deck
f10r	f10r.6	2	f10r.6	1	ycheor	7249edc4df3419c26999	it grows beside running water	HABITAT_OR_GATHERING	HABITAT	.24	<BOUNDARY>	cthy	it grows beside running water	PICTURED_SIMPLE_OR_PART	picture-compatible article opening
f10r	f10r.6	2	f10r.6	2	cthy	e0b630cb1b5df5e7105b	when the preparation is ready	QUALITY_OR_PROCESS_CONDITION	READINESS_CONDITION	.55	ycheor	chor	when the preparation is ready	CURRENT_PLANT_MATERIAL_OR_PREPARATION	V18 recurrent deck
f10r	f10r.6	2	f10r.6	3	chor	7a4bb8136330ee4e6e56	the prepared decoction or working liquid	PREPARATION	PREPARED_LIQUID	.53	cthy	cthaiin	the prepared decoction or working liquid	CURRENT_PLANT_MATERIAL_OR_PREPARATION	V18 recurrent deck
f10r	f10r.6	2	f10r.6	4	cthaiin	f3c23f42baf625639e1e	the freshly expressed leaf juice	PLANT_PART	PLANT_PRODUCT	.25	chor	qoctholy	the freshly expressed leaf juice	PICTURED_SIMPLE_OR_PART	article order
f10r	f10r.6	2	f10r.6	5	qoctholy	af816c04e65874a0f2fa	boil it gently in water	PREPARATION	PREPARATION	.27	cthaiin	dy	boil it gently in water	CURRENT_PLANT_MATERIAL_OR_PREPARATION	water hypothesis+article
f10r	f10r.6	2	f10r.6	6	dy	b921a237be883a820352	this present portion	REFERENCE_OR_CONTINUATION	CURRENT_PORTION	.56	qoctholy	chy	this present portion	ANTECEDENT_BATCH_PART_OR_INSTRUCTION	V18 recurrent deck
f10r	f10r.6	2	f10r.6	7	chy	b921a237be883a820352	this present portion	REFERENCE_OR_CONTINUATION	CURRENT_PORTION	.56	dy	taiin	this present portion	ANTECEDENT_BATCH_PART_OR_INSTRUCTION	V18 recurrent deck
f10r	f10r.6	2	f10r.6	8	taiin	2f1c5e56e8f0ff459065	in the stated or usual measure	MEASURE_OR_DOSE	MEASURE_REFERENCE	.66	chy	shy	in the stated or usual measure	CURRENT_PLANT_MATERIAL_OR_PREPARATION	V18 recurrent deck
