exact_tuple_id	surface	locus	selected_default	concrete_alternative_1	concrete_alternative_2	selection_reason
087a47b5423438cd6b6a	chokcheo	f56r.13:2	drink it for pain of the stomach	drink it against griping	take it after spoiled food	V18 default; selected phrase makes the complete page article require fewer topic changes
0ec6a45e2950e8e7061d	chodaly	f56r.5:3	the lower fibrous root	the lower jointed stalk	the root-crown beneath the scales	V18 default+picture fallback; selected phrase makes the complete page article require fewer topic changes
12efe866f335461823a6	chair	f10r.2:6	the reddish creeping rootstock	the reddish central stem	the red outer skin of the tuber	picture; selected phrase makes the complete page article require fewer topic changes
1322bc176443fc2a8a86	qokokchy	f56r.12:4	dry it in shade; end	hang it in an airy loft	keep it from the sun until crisp	V18 default; selected phrase makes the complete page article require fewer topic changes
1b1ffdd869fb1429ad03	oldy	f55v.11:4	boil it gently; end this step	warm it without boiling; end	reduce it by one third; end	V18 deck; selected phrase makes the complete page article require fewer topic changes
204b04837409088c48f9	oltchy	f55v.11:7	keep it in a covered jar	keep it under oil in a jar	seal it in a glazed pot	V18 default; selected phrase makes the complete page article require fewer topic changes
27d97af8c96eb056c2e6	oykchor	f10r.9:1	when the blue flower opens	when the lesser head begins to open	when the seed head is fully formed	picture; selected phrase makes the complete page article require fewer topic changes
2c1a5fd92b9e3c762242	cheeky	f55v.11:3	while the liquor is still warm	after the liquor has cooled	while the root is freshly bruised	V18 default; selected phrase makes the complete page article require fewer topic changes
2e2027b1951d79911e24	tchody	f11r.1:7	leave the jar mouth uncovered until cool; end	leave the strained liquor open for one night	pour the clear liquor into an open shallow vessel	Herbal jar repair; selected phrase makes the complete page article require fewer topic changes
308e8ea2d5d190c498e8	okal	f55v.11:6	mix the two portions together	combine equal measures of both liquors	mix the root portion into the wine	V17/V18 deck; selected phrase makes the complete page article require fewer topic changes
322281bd391aa621f568	okchol	f11r.7:2	lay them on while warm	wash the swelling with them warm	bind the bruised leaves on at once	V18 default+pronoun repair; selected phrase makes the complete page article require fewer topic changes
403c1592f918c8f23b88	ykain	f55v.5:3	boil the chopped root gently	boil the chopped leaves gently	simmer the flowering stalk slowly	V18 default+visible root; selected phrase makes the complete page article require fewer topic changes
409de02322e7b2ca0c62	kaiiin	f10r.9:5	if the liquor remains bitter	when the juice has a sharp taste	if the root liquor is too strong	article process; selected phrase makes the complete page article require fewer topic changes
428a5e3662aa57b4b256	schoal	f11r.1:2	from a shaded spring bank	from wet stones beside a stream	from a cool shaded wood	picture-compatible habitat; selected phrase makes the complete page article require fewer topic changes
497cbd9c7401810ff56b	otol	f10r.8:3	one handful of chopped leaves	one handful of chopped root	one small bundle of flowering tops	article sequence; selected phrase makes the complete page article require fewer topic changes
577c03a928d674d420d7	shoyty	f11r.1:8	the small blue flowers show its proper gathering age	the blue blossoms mark the mature herb	gather when the upper blue flowers stand upright	picture+article close; selected phrase makes the complete page article require fewer topic changes
61a075bc54793c1c781f	sotodan	f56r.18:4	and use it while fresh	and apply it before sunset	and eat it on the same day	V18 default; selected phrase makes the complete page article require fewer topic changes
62ff059766b21c7de083	otytchol	f10r.2:7	drink it for pain of the stomach	lay it warm upon a cramped belly	drink it for griping of the bowels	V18 default+article; selected phrase makes the complete page article require fewer topic changes
65f320e75510b2f38182	dchey	f10r.2:1	the pictured simple is called twin-root waterwort	the pictured simple is called red-root costmary	the pictured simple is called double-tuber mint	picture+article opening; selected phrase makes the complete page article require fewer topic changes
6afeb5c9ab9f6cbdea0d	orain	f55v.11:10	and use this portion fresh	apply it before it cools	drink it on the same day	V18 default; selected phrase makes the complete page article require fewer topic changes
6f7ff8287eddf4da9fdb	chedy	f55v.5:7	stir until evenly mixed	beat the liquor until smooth	combine the two measured portions thoroughly	V17/V18 deck; selected phrase makes the complete page article require fewer topic changes
7249edc4df3419c26999	ycheor	f10r.6:1	it grows beside running water	it grows in wet meadow ground	it grows along shaded ditches	picture-compatible article opening; selected phrase makes the complete page article require fewer topic changes
75a523fcf039b006f97b	kchal	f56r.13:3	then keep the remainder dry in shade	hang the remaining stalk in shade	store the dried powder in a dark jar	V18 default refined; selected phrase makes the complete page article require fewer topic changes
807591efc3d3f7ddbfab	cheoar	f55v.11:2	take strong white wine	take fresh spring water	take sharp vinegar	V18 default+imperative; selected phrase makes the complete page article require fewer topic changes
80ebbbbf238eee9f0aef	chty	f10r.2:4	pound the two roots until evenly combined	boil the two roots until one liquor remains	knead the root powder with water until smooth	paired roots+local order; selected phrase makes the complete page article require fewer topic changes
834825c61d048a6b5628	chodaiin	f10r.9:7	preserve the remainder under oil	keep the remainder in a stopped jar	mix the remainder with honey for storage	V18 default+closure; selected phrase makes the complete page article require fewer topic changes
893c570f3fa3fce99711	kchol	f56r.7:2	white wine	clear spring water	thin vinegar	V18 default; selected phrase makes the complete page article require fewer topic changes
