exact_tuple_id	surface_examples	occurrences	pages	default_English	source_class	specific_role	confidence	assignment_evidence	occurrence_loci	v18_status
087a47b5423438cd6b6a	chokcheo	1	f56r	drink it for pain of the stomach	INDICATION	INDICATION_APPLICATION	.27	V18 default	f56r.13:2	SINGLETON_CONCRETE_REFINED
0ec6a45e2950e8e7061d	chodaly	1	f56r	the lower fibrous root	PLANT_PART	VISIBLE_PART	.29	V18 default+picture fallback	f56r.5:3	SINGLETON_CONCRETE_REFINED
10488b911aae52b3b334	otchor|qotchor	2	f10r|f56r	gathered before flowering	HABITAT_OR_GATHERING	GATHERING_TIME	.47	V18 recurrent deck	f10r.8:1|f56r.7:3	V18_RECURRENT_RETAINED
12efe866f335461823a6	chair	1	f10r	the reddish creeping rootstock	PLANT_PART	VISIBLE_PART	.31	picture	f10r.2:6	SINGLETON_CONCRETE_REFINED
1322bc176443fc2a8a86	qokokchy	1	f56r	dry it in shade; end	PREPARATION	DRYING_CLOSE	.31	V18 default	f56r.12:4	SINGLETON_CONCRETE_REFINED
1b1ffdd869fb1429ad03	oldy	1	f55v	boil it gently; end this step	PREPARATION	BOIL_CLOSE	.38	V18 deck	f55v.11:4	SINGLETON_CONCRETE_REFINED
204b04837409088c48f9	oltchy	1	f55v	keep it in a covered jar	STORAGE_OR_CLOSE	STORAGE	.27	V18 default	f55v.11:7	SINGLETON_CONCRETE_REFINED
276a7c2d74d1143446f4	choky|oky	3	f10r|f56r	apply or use this portion	APPLICATION	APPLICATION_ACTION	.61	V18 recurrent deck	f10r.2:8|f56r.7:4|f56r.8:3	V18_RECURRENT_RETAINED
27d97af8c96eb056c2e6	oykchor	1	f10r	when the blue flower opens	HABITAT_OR_GATHERING	GATHERING_STATE	.29	picture	f10r.9:1	SINGLETON_CONCRETE_REFINED
2c1a5fd92b9e3c762242	cheeky	1	f55v	while the liquor is still warm	QUALITY_OR_PROCESS_CONDITION	TEMPERATURE_CONDITION	.32	V18 default	f55v.11:3	SINGLETON_CONCRETE_REFINED
2cc054357a929df85f64	cho|sho	4	f56r	then take the following ingredient or plant part	REFERENCE_OR_CONTINUATION	NEXT_PART	.65	V18 recurrent deck	f56r.5:2|f56r.7:1|f56r.12:2|f56r.18:1	V18_RECURRENT_RETAINED
2e2027b1951d79911e24	tchody	1	f11r	leave the jar mouth uncovered until cool; end	STORAGE_OR_CLOSE	COOLING_CLOSE	.25	Herbal jar repair	f11r.1:7	SINGLETON_CONCRETE_REFINED
2f1c5e56e8f0ff459065	aiin|chaiin|daiin|taiin	9	f10r|f11r|f55v|f56r	in the stated or usual measure	MEASURE_OR_DOSE	MEASURE_REFERENCE	.66	V18 recurrent deck	f10r.2:9|f10r.6:8|f10r.8:7|f11r.4:5|f55v.5:2|f55v.5:6|f55v.11:5|f56r.5:4|f56r.19:3	V18_RECURRENT_RETAINED
308e8ea2d5d190c498e8	okal	1	f55v	mix the two portions together	PREPARATION	MIX_TWO_PORTIONS	.55	V17/V18 deck	f55v.11:6	SINGLETON_CONCRETE_REFINED
322281bd391aa621f568	okchol	1	f11r	lay them on while warm	APPLICATION	WARM_APPLICATION	.29	V18 default+pronoun repair	f11r.7:2	SINGLETON_CONCRETE_REFINED
403c1592f918c8f23b88	ykain	1	f55v	boil the chopped root gently	PREPARATION	PREPARATION	.29	V18 default+visible root	f55v.5:3	SINGLETON_CONCRETE_REFINED
409de02322e7b2ca0c62	kaiiin	1	f10r	if the liquor remains bitter	QUALITY_OR_PROCESS_CONDITION	QUALITY_CONDITION	.25	article process	f10r.9:5	SINGLETON_CONCRETE_REFINED
428a5e3662aa57b4b256	schoal	1	f11r	from a shaded spring bank	HABITAT_OR_GATHERING	HABITAT	.28	picture-compatible habitat	f11r.1:2	SINGLETON_CONCRETE_REFINED
497cbd9c7401810ff56b	otol	1	f10r	one handful of chopped leaves	MEASURE_OR_DOSE	MEASURED_PLANT_PART	.27	article sequence	f10r.8:3	SINGLETON_CONCRETE_REFINED
