page	locus	record	line	event_index	surface	exact_tuple_id	selected_default_English	source_class	confidence	complete_local_phrase	sentence_may_cross_line	evidence
f10r	f10r.2	1	f10r.2	1	dchey	65f320e75510b2f38182	the pictured twin-tubered blue-flowered simple	ARTICLE_HEAD	0.34	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	picture+article opening
f10r	f10r.2	1	f10r.2	2	cthoor	dedc383b600397a301ee	keep the cut root in a covered jar	PRESERVATION	0.46	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	whole f10r preparation
f10r	f10r.2	1	f10r.2	3	char	4d4559019a961b834aa1	from the same prepared batch	REFERENCE	0.66	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	V18 recurrent deck
f10r	f10r.2	1	f10r.2	4	chty	80ebbbbf238eee9f0aef	pound and stir until evenly joined	PREPARATION	0.43	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	f10r operation chain
f10r	f10r.2	1	f10r.2	5	os	df1098831679a8ad1b39	reduce the dried root to powder	PREPARATION	0.47	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	f10r operation chain
f10r	f10r.2	1	f10r.2	6	chair	12efe866f335461823a6	use the reddish swollen root	PLANT_PART	0.49	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	visible paired red swellings
f10r	f10r.2	1	f10r.2	7	otytchol	62ff059766b21c7de083	drink it for pain of the stomach	INDICATION_APPLICATION	0.41	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	article syntax+V18
f10r	f10r.2	1	f10r.2	8	oky	276a7c2d74d1143446f4	apply or use this portion	APPLICATION	0.61	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	V17/V18 recurrent deck
f10r	f10r.2	1	f10r.2	9	daiin	2f1c5e56e8f0ff459065	in the stated or usual measure	MEASURE_REFERENCE	0.65	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	V16-V18 recurrent deck
f10r	f10r.2	1	f10r.2	10	etyd	a6939862e33ece5a0483	retain the remainder of the root	PRESERVATION	0.38	the pictured twin-tubered blue-flowered simple ; keep the cut root in a covered jar ; from the same prepared batch ; pound and stir until evenly joined ; reduce the dried root to powder ; use the reddish swollen root ; drink it for pain of the stomach ; apply or use this portion ; in the stated or usual measure ; retain the remainder of the root	YES	f10r article closure
f10r	f10r.5	1	f10r.5	1	qokchy	9ad66e67803a12e745de	use the freshly prepared remedy	APPLICATION	0.59	use the freshly prepared remedy ; apply it while warm ; with the foregoing preparation ; when the preparation is ready	YES	V17/V18 recurrent deck
f10r	f10r.5	1	f10r.5	2	qotchol	e8a6105b5c3a6220b440	apply it while warm	APPLICATION_CONDITION	0.51	use the freshly prepared remedy ; apply it while warm ; with the foregoing preparation ; when the preparation is ready	YES	f10r short use clause
f10r	f10r.5	1	f10r.5	3	chol	dcda95c81a5460feb191	with the foregoing preparation	REFERENCE_RELATION	0.59	use the freshly prepared remedy ; apply it while warm ; with the foregoing preparation ; when the preparation is ready	YES	V16-V18 recurrent deck
f10r	f10r.5	1	f10r.5	4	cthy	e0b630cb1b5df5e7105b	when the preparation is ready	READINESS_GATE	0.60	use the freshly prepared remedy ; apply it while warm ; with the foregoing preparation ; when the preparation is ready	YES	V16-V18 recurrent deck
f10r	f10r.6	2	f10r.6	1	ycheor	7249edc4df3419c26999	it grows beside running water	HABITAT	0.39	it grows beside running water ; when the preparation is ready ; the prepared decoction or working liquid ; express the juice from the root ; boil it gently ; this present portion ; this present portion ; in the stated or usual measure ; this present portion	YES	f10r article transition; water allowed
f10r	f10r.6	2	f10r.6	2	cthy	e0b630cb1b5df5e7105b	when the preparation is ready	READINESS_GATE	0.60	it grows beside running water ; when the preparation is ready ; the prepared decoction or working liquid ; express the juice from the root ; boil it gently ; this present portion ; this present portion ; in the stated or usual measure ; this present portion	YES	V16-V18 recurrent deck
f10r	f10r.6	2	f10r.6	3	chor	7a4bb8136330ee4e6e56	the prepared decoction or working liquid	PREPARATION_ENTITY	0.62	it grows beside running water ; when the preparation is ready ; the prepared decoction or working liquid ; express the juice from the root ; boil it gently ; this present portion ; this present portion ; in the stated or usual measure ; this present portion	YES	V17/V18 recurrent deck
f10r	f10r.6	2	f10r.6	4	cthaiin	f3c23f42baf625639e1e	express the juice from the root	PREPARATION	0.48	it grows beside running water ; when the preparation is ready ; the prepared decoction or working liquid ; express the juice from the root ; boil it gently ; this present portion ; this present portion ; in the stated or usual measure ; this present portion	YES	f10r liquid chain
f10r	f10r.6	2	f10r.6	5	qoctholy	af816c04e65874a0f2fa	boil it gently	PREPARATION	0.52	it grows beside running water ; when the preparation is ready ; the prepared decoction or working liquid ; express the juice from the root ; boil it gently ; this present portion ; this present portion ; in the stated or usual measure ; this present portion	YES	f10r liquid chain
f10r	f10r.6	2	f10r.6	6	dy	b921a237be883a820352	this present portion	PORTION_POINTER	0.65	it grows beside running water ; when the preparation is ready ; the prepared decoction or working liquid ; express the juice from the root ; boil it gently ; this present portion ; this present portion ; in the stated or usual measure ; this present portion	YES	V16-V18 recurrent deck
