exact_tuple_id	surface_realizations	occurrences	folios	concrete_default_phrase	source_class	detailed_role	confidence	assignment_basis	recurrent_or_singleton	prior_v18_default	selected_default_phrase	selection_scope
087a47b5423438cd6b6a	chokcheo	1	f56r	drink it for pain of the stomach	INDICATION	INDICATION_INTERNAL	.36	complete-article order + visible owner + medieval materia-medica inventory	SINGLETON	drunk for stomach pain	drink it for pain of the stomach	V19_HERBAL_ONLY_R2
0ec6a45e2950e8e7061d	chodaly	1	f56r	the thin lower root	PLANT_PART	PLANT_PART_ROOT	.35	complete-article order + visible owner + medieval materia-medica inventory	SINGLETON	the lower root	the thin lower root	V19_HERBAL_ONLY_R2
10488b911aae52b3b334	otchor|qotchor	2	f10r|f56r	gathered before flowering	GATHERING_TIME	GATHERING_TIME	.45	cross-page exact-card consistency + V18 deck + complete-article order	RECURRENT	gathered before flowering	gathered before flowering	V19_HERBAL_ONLY_R2
12efe866f335461823a6	chair	1	f10r	add red wine	MEDIUM	MEDIUM_WINE	.32	complete-article order + visible owner + medieval materia-medica inventory	SINGLETON	a reddish stem	add red wine	V19_HERBAL_ONLY_R2
1322bc176443fc2a8a86	qokokchy	1	f56r	dry it in shade	PREPARATION_ACTION	SHADE_DRYING	.39	complete-article order + visible owner + medieval materia-medica inventory	SINGLETON	and dry it in shade	dry it in shade	V19_HERBAL_ONLY_R2
1b1ffdd869fb1429ad03	oldy	1	f55v	boil gently and remove from the fire	CLAUSE_CLOSURE	BOIL_CLOSURE	.39	complete-article order + visible owner + medieval materia-medica inventory	SINGLETON	boil gently; close the rubric	boil gently; close the rubric	V18_CROSS_REGISTER_PRESERVED
204b04837409088c48f9	oltchy	1	f55v	keep it in a covered jar	STORAGE	COVERED_STORAGE	.38	complete-article order + visible owner + medieval materia-medica inventory	SINGLETON	kept in a covered jar	keep it in a covered jar	V19_HERBAL_ONLY_R2
276a7c2d74d1143446f4	choky|oky	3	f10r|f56r	apply or use this portion	APPLICATION	APPLICATION_ACTION	.61	cross-page exact-card consistency + V18 deck + complete-article order	RECURRENT	apply or use this portion	apply or use this portion	V18_CROSS_REGISTER_PRESERVED
27d97af8c96eb056c2e6	oykchor	1	f10r	when its flower has opened	PROCESS_CONDITION	FLOWERING_GATE	.35	complete-article order + visible owner + medieval materia-medica inventory	SINGLETON	its flower appears	when its flower has opened	V19_HERBAL_ONLY_R2
2c1a5fd92b9e3c762242	cheeky	1	f55v	while the liquor remains warm	PROCESS_CONDITION	WARM_STATE	.39	complete-article order + visible owner + medieval materia-medica inventory	SINGLETON	while still warm	while still warm	V18_CROSS_REGISTER_PRESERVED
