event_serial	statement_id	page	visible_surface	master_card_id	unchanged_card_value_de	selected_product_class	product_expansion_de	dictionary_change
56	H4-S001	f55v	qokaiin	MC120	bemessen	STORED_TWO_PART_PLANT_STOCK	Bemiss den warm bereiteten Pflanzen-Grundansatz.	NO
57	H4-S001	f55v	chaiin	MC039	Sollmaß	STORED_TWO_PART_PLANT_STOCK	Bringe die Gesamtmenge auf das Sollmass.	NO
58	H4-S001	f55v	ykain	MC047	erste Portion	STORED_TWO_PART_PLANT_STOCK	Teile die erste Vorratsportion ab.	NO
59	H4-S001	f55v	ykan	MC148	zweite Portion	STORED_TWO_PART_PLANT_STOCK	Teile die zweite Vorratsportion ab.	NO
60	H4-S001	f55v	ody	MC100	Abkühlen	STORED_TWO_PART_PLANT_STOCK	Lass beide Portionen abkuehlen und schliesse den Schritt.	NO
61	H4-S002	f55v	daiin	MC039	Sollmaß	STORED_TWO_PART_PLANT_STOCK	Pruefe die verwahrte Menge nochmals gegen das Sollmass.	NO
62	H4-S002	f55v	chedy	MC074	überführen	STORED_TWO_PART_PLANT_STOCK	Fuehre die Portion in das Vorratsgefaess ueber.	NO
63	H4-S002	f55v	talam	MC160	Verwahrort	STORED_TWO_PART_PLANT_STOCK	Stelle sie am vorgesehenen Verwahrort ab.	NO
64	H4-S003	f55v	ykaiin	MC170	Sollportion	STORED_TWO_PART_PLANT_STOCK	Nimm spaeter die vorgeschriebene Vorratsportion.	NO
65	H4-S003	f55v	cheoar	MC085	Quellauszug	STORED_TWO_PART_PLANT_STOCK	Schoepfe sie aus dem vorhandenen Quellauszug.	NO
66	H4-S003	f55v	cheeky	MC032	länger bearbeiten	STORED_TWO_PART_PLANT_STOCK	Arbeite die entnommene Portion laenger durch.	NO
67	H4-S003	f55v	oldy	MC019	fertig	STORED_TWO_PART_PLANT_STOCK	Markiere diese Dosis als fertig.	NO
68	H4-S004	f55v	aiin	MC039	Sollmaß	STORED_TWO_PART_PLANT_STOCK	Bemiss die Dosis fuer den Folgeansatz.	NO
69	H4-S004	f55v	okal	MC040	dorthin einsetzen	STORED_TWO_PART_PLANT_STOCK	Setze sie an der vorgesehenen Stelle ein.	NO
70	H4-S004	f55v	oltchy	MC021	Folgebereitung	STORED_TWO_PART_PLANT_STOCK	Beginne damit die Folgezubereitung.	NO
71	H4-S004	f55v	or	MC080	Ansatz	STORED_TWO_PART_PLANT_STOCK	Fuehre sie als neuen Ansatz.	NO
72	H4-S004	f55v	y	MC123	dies	STORED_TWO_PART_PLANT_STOCK	Halte diesen Ansatz als laufenden Posten.	NO
73	H4-S004	f55v	orain	MC072	Bereitungsanteil	STORED_TWO_PART_PLANT_STOCK	Fuege den bereitgestellten Anteil der Zubereitung zu.	NO
