event_id	statement_id	statement_card_ordinal	docket_signature	card_family_address	rebuilt_card_no	exact_card_rebuild	component_recipe	observed_surface	surface_selection_layer	owner_de
E001	H1-S001	1	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC001	PROC001	YES	CH+E+Y	dchey	GLOBAL_CARD_FORM	abgebildete breit gezähnte radialblütige Pflanze
E002	H1-S001	2	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC002	PROC002	YES	CTH+O+OR	cthoor	GLOBAL_CARD_FORM	abgebildete breit gezähnte radialblütige Pflanze
E003	H1-S001	3	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC003	PROC003	YES	AR	char	GLOBAL_CARD_FORM	abgebildete breit gezähnte radialblütige Pflanze
E004	H1-S001	4	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC004	PROC004	YES	T+Y	chty	GLOBAL_CARD_FORM	abgebildete breit gezähnte radialblütige Pflanze
E005	H1-S001	5	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC005	PROC005	YES	OS	os	GLOBAL_CARD_FORM	abgebildete breit gezähnte radialblütige Pflanze
E006	H1-S001	6	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC006	PROC006	YES	CH+AIR	chair	GLOBAL_CARD_FORM	abgebildete breit gezähnte radialblütige Pflanze
E007	H1-S001	7	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC007	PROC007	YES	OT+Y+T+CH+OL	otytchol	GLOBAL_CARD_FORM	abgebildete breit gezähnte radialblütige Pflanze
E008	H1-S001	8	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC008	PROC008	YES	OK+Y	oky	OWNER_CARD_DEFAULT	abgebildete breit gezähnte radialblütige Pflanze
E009	H1-S001	9	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC009	PROC009	YES	AIIN	daiin	GLOBAL_CARD_FORM	abgebildete breit gezähnte radialblütige Pflanze
E010	H1-S001	10	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	PROC010	PROC010	YES	E+T+Y	etyd	GLOBAL_CARD_FORM	abgebildete breit gezähnte radialblütige Pflanze
