component	working_value_de	docket_slot	entry_kind	docket_rule_de
OK	ANSETZEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
CHD	UMSETZEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
SH	HALTEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
SHED	ABSETZEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
CHK	WAERMEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
CTH	BEREIT	MATERIAL_STATE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
SOLK	AUFFANGEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
P	EINFUELLEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
LSH	WASCHEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
CFH	AUSWRINGEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
CH	ABNEHMEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
T	EINTRAGEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
K	ZUDOSIEREN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
S	GETEILT	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
L	WEITERLEITEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
OL	FORTSETZEN	ADDRESS_ORDER	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
OT	DANACH	ADDRESS_ORDER	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
AL	ZIEL	ADDRESS_ORDER	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
AR	QUELLE	ADDRESS_ORDER	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
AIR	LAUF	MATERIAL_STATE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
OR	ANSATZ	MATERIAL_STATE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
HO	ZUTAT	MATERIAL_STATE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
CKH	DURCHLASS	MATERIAL_STATE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
O	GANG	MATERIAL_STATE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
Y	DIES	ENDPOINT	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
AIN	PORTION	QUANTITY_STAGE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
AIIN	MASS	QUANTITY_STAGE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
IIN	STUFE	QUANTITY_STAGE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
E	KURZ	GRADE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
EE	LANG	GRADE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
EEE	VOLL	GRADE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
R	KUEHLEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
AN	NACHGABE	QUANTITY_STAGE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
DA	ZWEIT	QUANTITY_STAGE	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
LD	BEFESTIGEN	WORK	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
DY	SCHLUSS	ENDPOINT	COMPOSABLE_WORK_COMPONENT	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
OS	FACH	WORK	MEMORIZED_WHOLE_COMMAND	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
RESUME_CARD	WIEDERAUFNEHMEN	WORK	MEMORIZED_WHOLE_COMMAND	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
TALAM	VERWAHREN	WORK	MEMORIZED_WHOLE_COMMAND	Beim ersten Vorkommen in diesem Statement in den Slot schreiben; Wiederholungen bleiben in der Kartenadresse.
