statement_id	page	record	owner_slot_de	owner_break_inside_statement	material_state_components	quantity_stage_components	work_components	grade_components	address_order_components	endpoint_components	terse_value_docket_de	docket_signature	nonempty_slots	raw_component_tokens	deduplicated_docket_components	card_family_address_sequence	surface_sequence	registry_sequences_for_same_docket	docket_unique_in_fixed_registry	master_card_address_required	rebuilt_card_sequence	exact_card_sequence_rebuild	working_reading_de
H1-S001	f10r	H1	die breite gezahnte Bluetenpflanze	NO	CTH+O+OR+AIR	AIIN	CH+T+OS+OK	E	AR+OT+OL	Y	ST:BEREIT+GANG+ANSATZ+LAUF M:MASS W:ABNEHMEN+EINTRAGEN+FACH+ANSETZEN G:KURZ ADR:QUELLE+DANACH+FORTSETZEN E:DIES	CTH+O+OR+AIR || AIIN || CH+T+OS+OK || E || AR+OT+OL || Y	6	23	14	PROC001|PROC002|PROC003|PROC004|PROC005|PROC006|PROC007|PROC008|PROC009|PROC010	dchey cthoor char chty os chair otytchol oky daiin etyd	1	YES	YES	PROC001|PROC002|PROC003|PROC004|PROC005|PROC006|PROC007|PROC008|PROC009|PROC010	YES	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz abnehmen; den Ansatz im Gang bereitstellen und aus der Quelle eintragen; den Lauf abnehmen, danach den Posten weiterfuehren, nach Mass ansetzen und kurz eintragen.
H1-S002	f10r	H1	die breite gezahnte Bluetenpflanze	NO	CTH	-	OK+CH	-	OT+OL	Y	ST:BEREIT M:- W:ANSETZEN+ABNEHMEN G:- ADR:DANACH+FORTSETZEN E:DIES	CTH || - || OK+CH || - || OT+OL || Y	4	8	6	PROC011|PROC012|PROC013|PROC014	qokchy qotchol chol cthy	1	YES	YES	PROC011|PROC012|PROC013|PROC014	YES	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach abnehmen und weiterfuehren, weiterarbeiten und ihn bereithalten.
H2-S001	f10r	H2	die breite gezahnte Bluetenpflanze	NO	OR+CTH+O	AIIN	CH	E	OL	Y	ST:ANSATZ+BEREIT+GANG M:MASS W:ABNEHMEN G:KURZ ADR:FORTSETZEN E:DIES	OR+CTH+O || AIIN || CH || E || OL || Y	6	17	8	PROC015|PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	1	YES	YES	PROC015|PROC014|PROC016|PROC017|PROC018|PROC019|PROC019|PROC009|PROC019	YES	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Mass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.
H2-S002	f10r	H2	die breite gezahnte Bluetenpflanze	NO	OR	AIIN	CH	-	OT+OL+AR	-	ST:ANSATZ M:MASS W:ABNEHMEN G:- ADR:DANACH+FORTSETZEN+QUELLE E:-	OR || AIIN || CH || - || OT+OL+AR || -	4	12	6	PROC020|PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003	qotchor chor otol chol cholor chol daiin dar	1	YES	YES	PROC020|PROC016|PROC021|PROC013|PROC022|PROC013|PROC009|PROC003	YES	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Mass aus der Quelle weiterfuehren.
H2-S003	f10r	H2	die breite gezahnte Bluetenpflanze	NO	O+OR	IIN+AIIN	K+CH	-	-	Y	ST:GANG+ANSATZ M:STUFE+MASS W:ZUDOSIEREN+ABNEHMEN G:- ADR:- E:DIES	O+OR || IIN+AIIN || K+CH || - || - || Y	4	13	7	PROC023|PROC016|PROC016|PROC019|PROC024|PROC019|PROC025	oykchor shor chor chy kaiiin dy chodaiin	1	YES	YES	PROC023|PROC016|PROC016|PROC019|PROC024|PROC019|PROC025	YES	Bei der breiten gezahnten Bluetenpflanze: Im Gang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiterdosieren und anschliessend im Gang nach Mass abnehmen.
H3-S001	f11r	H3	die dicht bluehende Kronenpflanze	NO	O	AIIN	T+SH+CFH+P+CH	EE	OL+AL	Y+DY	ST:GANG M:MASS W:EINTRAGEN+HALTEN+AUSWRINGEN+EINFUELLEN+ABNEHMEN G:LANG ADR:FORTSETZEN+ZIEL E:DIES+SCHLUSS	O || AIIN || T+SH+CFH+P+CH || EE || OL+AL || Y+DY	6	20	12	PROC026|PROC027|PROC028|PROC029|PROC030|PROC031|PROC032	tshol schoal cfhy shfydaiin cphy shey tchody	1	YES	YES	PROC026|PROC027|PROC028|PROC029|PROC030|PROC031|PROC032	YES	Bei der dicht bluehenden Kronenpflanze: Den Ansatz am Ziel weiter halten; auswringen, bis zum Mass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.
H3-S002	f11r	H3	die dicht bluehende Kronenpflanze	NO	O	-	SH+T	-	-	Y	ST:GANG M:- W:HALTEN+EINTRAGEN G:- ADR:- E:DIES	O || - || SH+T || - || - || Y	3	5	4	PROC033	shoyty	1	YES	YES	PROC033	YES	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Gang halten und eintragen.
H3-S003	f11r	H3	die dicht bluehende Kronenpflanze	NO	-	AIIN	RESUME_CARD+K	-	-	Y	ST:- M:MASS W:WIEDERAUFNEHMEN+ZUDOSIEREN G:- ADR:- E:DIES	- || AIIN || RESUME_CARD+K || - || - || Y	3	6	4	PROC034|PROC019|PROC035|PROC019|PROC009	dchol chy kchy dy daiin	1	YES	YES	PROC034|PROC019|PROC035|PROC019|PROC009	YES	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Mass weiterfuehren.
H3-S004	f11r	H3	die dicht bluehende Kronenpflanze	NO	CTH	-	OK	-	OT+OL	Y	ST:BEREIT M:- W:ANSETZEN G:- ADR:DANACH+FORTSETZEN E:DIES	CTH || - || OK || - || OT+OL || Y	4	7	5	PROC036|PROC037|PROC014|PROC019	qotchy okchol cthy dy	1	YES	YES	PROC036|PROC037|PROC014|PROC019	YES	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.
H4-S001	f55v	H4	die breitblaettrige rispige Pflanze	NO	O	AIIN+AIN+AN	OK+K	-	-	Y+DY	ST:GANG M:MASS+PORTION+NACHGABE W:ANSETZEN+ZUDOSIEREN G:- ADR:- E:DIES+SCHLUSS	O || AIIN+AIN+AN || OK+K || - || - || Y+DY	4	11	8	PROC038|PROC009|PROC039|PROC040|PROC041	qokaiin chaiin ykain ykan ody	1	YES	YES	PROC038|PROC009|PROC039|PROC040|PROC041	YES	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zudosieren; den Gang schliessen.
