record	page	statements	events	owners	docket_signatures	nonempty_slot_cells	raw_component_tokens	docket_component_tokens	continuous_docket_roll_de
B1	f81v	21	66	das gemeinsame zweireihige Becken	19	72	138	113	ST:- M:- W:ANSETZEN G:KURZ ADR:- E:SCHLUSS || ST:LAUF+ANSATZ+DURCHLASS M:MASS+PORTION W:ANSETZEN+ZUDOSIEREN+KUEHLEN+WEITERLEITEN+HALTEN+UMSETZEN G:KURZ+LANG ADR:ZIEL+QUELLE+FORTSETZEN E:DIES+SCHLUSS || ST:- M:- W:HALTEN+ZUDOSIEREN+UMSETZEN G:- ADR:FORTSETZEN E:SCHLUSS || ST:- M:- W:UMSETZEN+ABSETZEN G:- ADR:FORTSETZEN E:DIES+SCHLUSS || ST:- M:- W:UMSETZEN G:- ADR:FORTSETZEN E:SCHLUSS || ST:DURCHLASS M:PORTION W:ANSETZEN+WEITERLEITEN+KUEHLEN G:- ADR:ZIEL E:DIES || ST:- M:- W:ANSETZEN+UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:WAERMEN+ABSETZEN G:KURZ ADR:FORTSETZEN E:DIES+SCHLUSS || ST:- M:- W:ANSETZEN G:KURZ ADR:- E:SCHLUSS || ST:- M:- W:ANSETZEN G:KURZ ADR:- E:SCHLUSS || ST:DURCHLASS M:- W:ANSETZEN G:- ADR:- E:DIES || ST:GANG M:- W:WASCHEN+ANSETZEN G:KURZ ADR:- E:DIES+SCHLUSS || ST:- M:- W:WASCHEN G:KURZ ADR:- E:SCHLUSS || ST:- M:- W:UMSETZEN+AUFFANGEN+WEITERLEITEN G:- ADR:ZIEL+FORTSETZEN+DANACH+QUELLE E:DIES || ST:- M:- W:EINTRAGEN+ANSETZEN+UMSETZEN G:KURZ ADR:- E:DIES+SCHLUSS || ST:- M:- W:ANSETZEN+ABSETZEN G:LANG ADR:ZIEL+FORTSETZEN E:DIES+SCHLUSS || ST:- M:- W:UMSETZEN G:KURZ ADR:ZIEL+FORTSETZEN E:SCHLUSS || ST:GANG M:STUFE W:WEITERLEITEN+HALTEN+AUFFANGEN G:KURZ+LANG ADR:FORTSETZEN E:DIES+SCHLUSS || ST:- M:- W:ABSETZEN G:- ADR:- E:SCHLUSS || ST:DURCHLASS M:- W:WAERMEN+HALTEN G:KURZ ADR:- E:DIES+SCHLUSS || ST:- M:- W:- G:- ADR:ZIEL E:-
B2	f82r	22	62	die oberen Paarbecken mit Zylinder | die linke Mittelstation mit Zwischenknoten | die rechte unklare Mittelstation | die rechte unklare Mittelstation und das untere gruene Figurenbecken | das untere gruene Figurenbecken | die Randstationen des unteren Beckens	21	80	158	121	ST:- M:- W:UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:UMSETZEN G:- ADR:FORTSETZEN E:SCHLUSS || ST:- M:PORTION W:ANSETZEN G:LANG ADR:- E:DIES+SCHLUSS || ST:DURCHLASS M:- W:ANSETZEN+WEITERLEITEN+UMSETZEN G:LANG+KURZ ADR:ZIEL E:DIES+SCHLUSS || ST:DURCHLASS+GANG+BEREIT M:MASS W:ANSETZEN+AUFFANGEN+WAERMEN+WEITERLEITEN G:KURZ+LANG ADR:ZIEL+FORTSETZEN E:DIES+SCHLUSS || ST:DURCHLASS M:- W:ANSETZEN+HALTEN G:LANG+KURZ ADR:DANACH+ZIEL E:DIES || ST:- M:- W:HALTEN G:KURZ ADR:- E:SCHLUSS || ST:- M:MASS W:ANSETZEN+ABSETZEN G:- ADR:DANACH+QUELLE E:SCHLUSS || ST:- M:- W:HALTEN G:KURZ ADR:FORTSETZEN E:SCHLUSS || ST:- M:- W:ANSETZEN+HALTEN G:LANG ADR:FORTSETZEN E:DIES || ST:- M:PORTION W:ANSETZEN G:LANG ADR:QUELLE E:SCHLUSS || ST:BEREIT M:MASS W:WEITERLEITEN+ABNEHMEN+HALTEN+ANSETZEN G:LANG+KURZ+VOLL ADR:- E:DIES+SCHLUSS || ST:- M:- W:WEITERLEITEN+UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:WEITERLEITEN G:- ADR:QUELLE E:- || ST:- M:- W:HALTEN+ANSETZEN G:KURZ+LANG ADR:- E:DIES+SCHLUSS || ST:- M:MASS W:WEITERLEITEN+UMSETZEN+ABNEHMEN+GETEILT+ANSETZEN+EINFUELLEN G:KURZ+LANG ADR:ZIEL+QUELLE+DANACH E:DIES+SCHLUSS || ST:- M:- W:KUEHLEN+HALTEN G:KURZ ADR:ZIEL E:SCHLUSS || ST:- M:- W:ANSETZEN G:LANG ADR:- E:SCHLUSS || ST:- M:- W:KUEHLEN+ABSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:- G:LANG ADR:DANACH E:SCHLUSS || ST:- M:- W:ANSETZEN G:LANG ADR:- E:SCHLUSS || ST:GANG M:- W:WEITERLEITEN+UMSETZEN G:- ADR:- E:SCHLUSS
B3	f83r	34	86	die obere offene Faecherstation | das runde Mittelgefaess | das untere Korbgefaess | das untere Korbgefaess und der bildlich unverbundene Zwischenabschnitt | der bildlich unverbundene Zwischenabschnitt | der bildlich unverbundene Zwischenabschnitt und das durch den Bogen verbundene Hauptpaar | das durch den Bogen verbundene Hauptpaar	30	114	197	167	ST:- M:- W:AUFFANGEN G:LANG ADR:- E:SCHLUSS || ST:- M:- W:WAERMEN G:LANG ADR:DANACH+ZIEL E:SCHLUSS || ST:- M:MASS W:WEITERLEITEN+UMSETZEN G:- ADR:- E:DIES+SCHLUSS || ST:- M:MASS W:ANSETZEN G:- ADR:DANACH+ZIEL+QUELLE E:- || ST:- M:- W:UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:UMSETZEN+ANSETZEN G:- ADR:ZIEL+FORTSETZEN E:DIES+SCHLUSS || ST:- M:MASS W:ANSETZEN+UMSETZEN G:LANG ADR:- E:DIES+SCHLUSS || ST:- M:- W:WEITERLEITEN+UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:ANSETZEN G:- ADR:- E:DIES || ST:- M:- W:EINFUELLEN+UMSETZEN G:KURZ ADR:ZIEL+DANACH E:SCHLUSS || ST:BEREIT M:- W:HALTEN+UMSETZEN+ANSETZEN G:KURZ ADR:QUELLE E:DIES || ST:ANSATZ M:- W:ABSETZEN G:- ADR:- E:SCHLUSS || ST:BEREIT M:MASS+PORTION W:ANSETZEN+ZUDOSIEREN G:KURZ ADR:- E:DIES+SCHLUSS || ST:LAUF M:- W:ANSETZEN+HALTEN G:LANG ADR:- E:SCHLUSS || ST:- M:- W:WEITERLEITEN+UMSETZEN G:- ADR:- E:SCHLUSS || ST:GANG M:- W:WEITERLEITEN+ANSETZEN+UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:ANSETZEN G:LANG ADR:- E:SCHLUSS || ST:- M:- W:ABSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:ANSETZEN+HALTEN G:KURZ ADR:- E:SCHLUSS || ST:- M:- W:WEITERLEITEN+UMSETZEN G:- ADR:ZIEL E:SCHLUSS || ST:BEREIT M:MASS W:ANSETZEN+ABSETZEN+HALTEN+UMSETZEN G:KURZ ADR:ZIEL E:DIES+SCHLUSS || ST:- M:- W:UMSETZEN G:- ADR:DANACH E:SCHLUSS || ST:- M:- W:WEITERLEITEN+UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:ANSETZEN+UMSETZEN G:- ADR:- E:SCHLUSS || ST:BEREIT+ANSATZ M:MASS+PORTION W:WEITERLEITEN+UMSETZEN+ANSETZEN+KUEHLEN+AUFFANGEN G:LANG ADR:QUELLE+ZIEL E:DIES+SCHLUSS || ST:- M:- W:- G:LANG ADR:DANACH E:SCHLUSS || ST:- M:- W:ANSETZEN G:LANG+KURZ ADR:- E:DIES+SCHLUSS || ST:- M:- W:EINTRAGEN+ANSETZEN G:VOLL+KURZ ADR:FORTSETZEN E:DIES+SCHLUSS || ST:LAUF M:MASS W:ANSETZEN+UMSETZEN G:- ADR:DANACH E:DIES+SCHLUSS || ST:- M:- W:ANSETZEN G:LANG ADR:- E:SCHLUSS || ST:- M:PORTION+MASS W:UMSETZEN G:KURZ ADR:DANACH E:DIES+SCHLUSS || ST:- M:- W:WEITERLEITEN G:- ADR:- E:SCHLUSS || ST:GANG+BEREIT M:STUFE+MASS W:EINTRAGEN+ABSETZEN G:- ADR:DANACH+FORTSETZEN+ZIEL E:DIES+SCHLUSS
B4	f83r	16	47	das zweite durch den Bogen verbundene Hauptpaar | die linke offene Randstation | die linke offene Randstation und die rechte S-Lauf-Mehrfachstation | die rechte S-Lauf-Mehrfachstation	15	56	113	95	ST:- M:- W:ANSETZEN G:LANG ADR:- E:SCHLUSS || ST:- M:- W:ANSETZEN G:LANG+KURZ ADR:FORTSETZEN E:DIES+SCHLUSS || ST:- M:- W:UMSETZEN+ANSETZEN+ABSETZEN G:LANG ADR:DANACH+ZIEL+FORTSETZEN E:DIES+SCHLUSS || ST:- M:- W:ANSETZEN+BEFESTIGEN G:- ADR:- E:DIES+SCHLUSS || ST:- M:PORTION W:UMSETZEN+ANSETZEN G:LANG ADR:- E:DIES+SCHLUSS || ST:DURCHLASS M:- W:HALTEN G:KURZ ADR:- E:SCHLUSS || ST:DURCHLASS M:- W:HALTEN G:KURZ ADR:- E:SCHLUSS || ST:- M:MASS W:WAERMEN+HALTEN+ANSETZEN G:LANG+KURZ ADR:- E:DIES+SCHLUSS || ST:- M:- W:ABSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:- G:- ADR:FORTSETZEN E:SCHLUSS || ST:- M:MASS+PORTION W:WAERMEN+ANSETZEN+UMSETZEN+WEITERLEITEN+ZUDOSIEREN G:KURZ+LANG ADR:FORTSETZEN E:DIES+SCHLUSS || ST:- M:- W:WEITERLEITEN+UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:- W:ANSETZEN+ABSETZEN G:- ADR:FORTSETZEN E:SCHLUSS || ST:ANSATZ+GANG+DURCHLASS+LAUF M:- W:- G:KURZ ADR:- E:DIES+SCHLUSS || ST:DURCHLASS M:PORTION W:ANSETZEN+HALTEN+ZUDOSIEREN+ABNEHMEN+AUFFANGEN+WEITERLEITEN+UMSETZEN G:LANG+KURZ ADR:ZIEL E:DIES+SCHLUSS || ST:- M:PORTION W:ZUDOSIEREN+ABSETZEN G:- ADR:FORTSETZEN+ZIEL+QUELLE E:SCHLUSS
B5	f83r	3	11	die linke offene Nebenstation	3	9	20	15	ST:- M:- W:UMSETZEN G:- ADR:DANACH E:SCHLUSS || ST:- M:- W:ANSETZEN+UMSETZEN G:- ADR:- E:SCHLUSS || ST:- M:MASS+ZWEIT+STUFE W:ABSETZEN+WEITERLEITEN+UMSETZEN G:- ADR:ZIEL+FORTSETZEN E:DIES
B6	f83r	1	9	die rechte S-Lauf-Nebenstation	1	6	18	12	ST:ANSATZ M:MASS+PORTION W:AUFFANGEN+ZUDOSIEREN+KUEHLEN+WEITERLEITEN G:LANG+KURZ ADR:ZIEL+FORTSETZEN E:DIES
H1	f10r	2	14	die breite gezahnte Bluetenpflanze	2	10	31	20	ST:BEREIT+GANG+ANSATZ+LAUF M:MASS W:ABNEHMEN+EINTRAGEN+FACH+ANSETZEN G:KURZ ADR:QUELLE+DANACH+FORTSETZEN E:DIES || ST:BEREIT M:- W:ANSETZEN+ABNEHMEN G:- ADR:DANACH+FORTSETZEN E:DIES
H2	f10r	3	24	die breite gezahnte Bluetenpflanze	3	14	42	21	ST:ANSATZ+BEREIT+GANG M:MASS W:ABNEHMEN G:KURZ ADR:FORTSETZEN E:DIES || ST:ANSATZ M:MASS W:ABNEHMEN G:- ADR:DANACH+FORTSETZEN+QUELLE E:- || ST:GANG+ANSATZ M:STUFE+MASS W:ZUDOSIEREN+ABNEHMEN G:- ADR:- E:DIES
H3	f11r	4	17	die dicht bluehende Kronenpflanze	4	16	38	25	ST:GANG M:MASS W:EINTRAGEN+HALTEN+AUSWRINGEN+EINFUELLEN+ABNEHMEN G:LANG ADR:FORTSETZEN+ZIEL E:DIES+SCHLUSS || ST:GANG M:- W:HALTEN+EINTRAGEN G:- ADR:- E:DIES || ST:- M:MASS W:WIEDERAUFNEHMEN+ZUDOSIEREN G:- ADR:- E:DIES || ST:BEREIT M:- W:ANSETZEN G:- ADR:DANACH+FORTSETZEN E:DIES
H4	f55v	4	18	die breitblaettrige rispige Pflanze	4	18	37	31	ST:GANG M:MASS+PORTION+NACHGABE W:ANSETZEN+ZUDOSIEREN G:- ADR:- E:DIES+SCHLUSS || ST:- M:MASS W:UMSETZEN+VERWAHREN G:- ADR:- E:DIES || ST:GANG M:MASS W:ZUDOSIEREN+ABNEHMEN+WAERMEN G:KURZ+LANG ADR:QUELLE+FORTSETZEN E:DIES+SCHLUSS || ST:ANSATZ M:MASS+PORTION W:ANSETZEN+EINTRAGEN G:- ADR:ZIEL+FORTSETZEN E:DIES
