unit	train_occurrences	held_occurrences	collapsed_glyph_length	seen_in_train	seen_in_held
ol	1825	712	2	1	1
y	1554	554	1	1	1
C	1445	711	1	1	1
ar	1423	766	2	1	1
or	1322	535	2	1	1
s	1322	486	1	1	1
aN	1169	556	2	1	1
d	1144	597	1	1	1
o	1126	609	1	1	1
ok	1084	625	2	1	1
ot	1033	689	2	1	1
k	1025	478	1	1	1
al	915	476	2	1	1
S	910	439	1	1	1
t	883	359	1	1	1
Ce	866	609	2	1	1
qok	862	444	3	1	1
daN	844	387	3	1	1
Cedy	732	448	4	1	1
qot	727	353	3	1	1
e	699	453	1	1	1
Cy	671	212	2	1	1
E	669	497	1	1	1
l	666	524	1	1	1
ody	608	272	3	1	1
dy	603	204	2	1	1
aI	597	414	2	1	1
p	572	338	1	1	1
Se	570	260	2	1	1
Col	522	188	3	1	1
Cey	521	264	3	1	1
Ey	505	370	2	1	1
ey	498	259	2	1	1
Edy	469	312	3	1	1
edy	446	253	3	1	1
od	445	222	2	1	1
Sedy	418	173	4	1	1
am	408	242	2	1	1
olk	402	152	3	1	1
yk	396	149	2	1	1
Cor	376	100	3	1	1
yt	375	90	2	1	1
r	374	250	1	1	1
qo	371	233	2	1	1
Co	364	121	2	1	1
dal	362	174	3	1	1
T	344	121	1	1	1
dar	341	227	3	1	1
Cdy	331	167	3	1	1
a	278	128	1	1	1
Ky	273	120	2	1	1
ai	264	143	2	1	1
air	254	210	3	1	1
Ty	251	74	2	1	1
K	250	98	1	1	1
Sey	236	148	3	1	1
N	222	88	1	1	1
f	220	104	1	1	1
ky	204	69	2	1	1
So	201	76	2	1	1
qokaI	201	74	5	1	1
i	199	118	1	1	1
op	198	110	2	1	1
Sol	195	51	3	1	1
qokaN	190	72	5	1	1
qokEdy	189	105	6	1	1
qokal	187	41	5	1	1
qokedy	185	62	6	1	1
CE	178	98	2	1	1
Sy	173	68	2	1	1
eol	173	75	3	1	1
q	173	71	1	1	1
CEy	171	113	3	1	1
Ceol	167	77	4	1	1
daI	165	148	3	1	1
os	164	86	2	1	1
qol	158	45	3	1	1
lk	156	249	2	1	1
qokEy	149	134	5	1	1
okaN	144	92	4	1	1
okal	143	52	4	1	1
m	138	80	1	1	1
otal	130	48	4	1	1
oky	129	44	3	1	1
oty	127	48	3	1	1
P	107	66	1	1	1
n	86	37	1	1	1
g	73	38	1	1	1
F	35	13	1	1	1
I	18	9	1	1	1
x	14	11	1	1	1
b	12	3	1	1	1
j	7	3	1	1	1
u	5	3	1	1	1
c	4	1	1	1	1
h	2	1	1	1	1
z	2	1	1	1	1
v	1	0	1	1	0
