rank	left	right	merged	train_occurrences
1	d	y	dy	3981
2	o	k	ok	3463
3	o	l	ol	3442
4	a	N	aN	2347
5	C	e	Ce	2286
6	o	t	ot	2017
7	q	ok	qok	1963
8	a	r	ar	1764
9	a	l	al	1737
10	o	r	or	1698
11	S	e	Se	1224
12	a	I	aI	963
13	d	aN	daN	844
14	E	y	Ey	825
15	Ce	dy	Cedy	732
16	q	ot	qot	727
17	C	y	Cy	671
18	E	dy	Edy	658
19	e	dy	edy	631
20	o	dy	ody	608
21	C	ol	Col	522
22	Ce	y	Cey	521
23	a	i	ai	518
24	e	y	ey	498
25	o	d	od	445
26	Se	dy	Sedy	418
27	a	m	am	408
28	ol	k	olk	402
29	y	k	yk	396
30	C	or	Cor	376
31	y	t	yt	375
32	q	o	qo	371
33	C	o	Co	364
34	d	al	dal	362
35	d	ar	dar	341
36	C	dy	Cdy	331
37	K	y	Ky	273
38	ai	r	air	254
39	T	y	Ty	251
40	Se	y	Sey	236
41	k	y	ky	204
42	qok	aI	qokaI	201
43	S	o	So	201
44	o	p	op	198
45	S	ol	Sol	195
46	qok	aN	qokaN	190
47	qok	Edy	qokEdy	189
48	qok	al	qokal	187
49	qok	edy	qokedy	185
50	C	E	CE	178
51	e	ol	eol	173
52	S	y	Sy	173
53	C	Ey	CEy	171
54	Ce	ol	Ceol	167
55	d	aI	daI	165
56	o	s	os	164
57	q	ol	qol	158
58	l	k	lk	156
59	qok	Ey	qokEy	149
60	ok	aN	okaN	144
61	ok	al	okal	143
62	ot	al	otal	130
63	ok	y	oky	129
64	ot	y	oty	127
