statement_id	page	record	silent_owner_de	event_total	visible_cards	spoken_components_de	source_complete_actions_de	source_complete_arguments_de	fluent_article_sentence_de	all_source_actions_and_arguments_bound
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	10	⟦dchey | cthoor | char | chty⟧ / ⟦os | chair | otytchol | oky⟧ / ⟦daiin | etyd⟧	⟦ziehe ab · kurz · dies | bereit · Gang · Ansatz | davon | trage ein · dies⟧ / ⟦Fach | ziehe ab · Lauf | danach · dies · trage ein · ziehe ab · fort | setze an · dies⟧ / ⟦Maß | kurz · trage ein · dies⟧	abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen	bereit · Gang · Ansatz | davon | Arbeitsfach | Maß	Nimm von der abgebildeten Pflanze einen Teil kurz ab. Der Ansatz ist bereit: übertrage davon in das Arbeitsfach, lass es ablaufen, trage es ein, nimm es wieder ab, gib es in den Ansatz und trage es nach Maß ein.	YES
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	4	⟦qokchy | qotchol | chol | cthy⟧	⟦setze an · dies | danach · ziehe ab · fort | fort | bereit · dies⟧	gib dies in den Ansatz → abnehmen	fort | bereit · dies	Gib den nächsten Posten in denselben Ansatz, nimm ihn wieder ab und fahre fort, sobald er bereit ist.	YES
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	9	⟦ycheor | cthy | chor | cthaiin | qoctholy | dy | chy | taiin | shy⟧	⟦dies · ziehe ab · kurz · Ansatz | bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies⟧	abziehen	bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies	Zieh den bereitgelegten Posten ab; ordne ihn dem Ansatz und dem Maß zu und führe den Gang mit diesem Posten weiter, bis er bereit ist.	YES
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	8	⟦qotchor | chor | otol | chol | cholor | chol | daiin | dar⟧	⟦danach · ziehe ab · Ansatz | Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon⟧	abziehen	Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon	Zieh danach vom fortgeführten Ansatz nach Maß davon ab und führe denselben Ansatz weiter.	YES
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	7	⟦oykchor | shor | chor | chy | kaiiin | dy | chodaiin⟧	⟦Gang · dies · gib zu · Ansatz | Ansatz | Ansatz | dies | gib zu · Grad | dies | ziehe ab · Gang · Maß⟧	zugeben → zugeben → abziehen	Ansatz | Ansatz | dies | dies	Gib es dem Ansatz zweimal zu und zieh danach den nächsten Posten ab.	YES
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	7	⟦tshol | schoal | cfhy | shfydaiin⟧ / ⟦cphy | shey | tchody⟧	⟦trage ein · halte · fort | halte · Gang · dorthin | wringe aus · dies | halte · dies · Maß⟧ / ⟦gib hinein · dies | halte · länger · dies | trage ein · ziehe ab · Gang · schließe⟧	eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen	NONE	Trage den Blütenstoff ein und halte ihn am Ort; wringe ihn aus, lass ihn ziehen, gib ihn hinein, lass ihn nochmals ziehen und trage den Abzug zum Schluss ein.	YES
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	1	⟦shoyty⟧	⟦halte · Gang · dies · trage ein · dies⟧	halten + eintragen	NONE	Halte den nächsten Posten und trage ihn in denselben Gang ein.	YES
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	5	⟦dchol | chy | kchy | dy | daiin⟧	⟦fort | dies | gib zu · dies | dies | Maß⟧	zugeben	fort | dies | dies | Maß	Gib davon nach Maß weiter zu.	YES
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	4	⟦qotchy | okchol | cthy | dy⟧	⟦danach · dies | setze an · fort | bereit · dies | dies⟧	weiter beschicken	danach · dies | bereit · dies | dies	Setze danach diesen Posten weiter ein und führe ihn fort, bis er bereit ist.	YES
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	5	⟦qokaiin | chaiin | ykain | ykan | ody⟧	⟦setze an · Maß | Maß | dies · gib zu · Teil | dies · gib zu · Teil | Gang · schließe⟧	setze nach Maß an → dosiert zugeben → zugeben	Maß | Gang; Schritt schließen	Setze nach Maß an, gib dosiert und nochmals zu und schließe diesen Gang.	YES
H4-S002	f55v	H4	abgebildete breitblättrige rispige Pflanze	3	⟦daiin | chedy | talam⟧	⟦Maß | setze um · dies | verwahre⟧	abmessen und umsetzen → verwahren	Maß	Miss den nächsten Posten ab, setze ihn um und verwahre ihn nach Maß.	YES
H4-S003	f55v	H4	abgebildete breitblättrige rispige Pflanze	4	⟦ykaiin | cheoar | cheeky | oldy⟧	⟦dies · gib zu · Maß | ziehe ab · kurz · Gang · davon | wärme · länger · dies | fort · schließe⟧	dosiert zugeben → entnehmen → temperieren	fort; Schritt schließen	Gib dosiert zu, entnimm den Fortsatz, temperiere ihn und schließe.	YES
H4-S004	f55v	H4	abgebildete breitblättrige rispige Pflanze	6	⟦aiin | okal | oltchy | or | y | orain⟧	⟦Maß | setze an · dorthin | fort · trage ein · dies | Ansatz | dies | Ansatz · Teil⟧	anlegen → eintragen	Maß | Ansatz | dies | Ansatz · Portion	Lege die gemessene Ansatzportion am Ziel an und trage sie ein.	YES
