locus	ordinal	surface	resolution_class	applied_render_de	reader_preference	review_note	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	context_after_de
f104v.14	1	ytedy	BILATERAL_REPAIR_OVERRIDE	hiervon bis zur Mittelstufe kalt-trocken fertigstellen	IT2a+RF1b ytchedy	Both readers add the dry marker; the local render combines cooling and middle-stage drying.	ONE	ytchedy	ONE	ytchedy	NEITHER_EXACT	hiervon bis zur Mittelstufe kalt-trocken fertigstellen · heißer Ansatz, Bindungsstufe II · ⟦lcheolshedy:?⟧ · Samen-/Saatgutposten · Menge III · bis zur mittleren Trockenstufe, dann leicht erhitzen · ⟦daindl:?⟧.
f104v.2	1	ychedaiin	IT2A_EXACT_RETAIN	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	ZL3b+IT2a	IT2a preserves ychedaiin; the RF1b boundary or spelling rival does not overturn its concrete family core.	EXACT	ychedaiin	ONE	aiin	IT2A_ONLY_EXACT	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen · ⟦qoteed:?⟧ · Arzneikompositum im Trockenansatz am Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ⟦qokamdy:?⟧ · ⟦otarar:?⟧ · Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · ⟦oram:?⟧.
f104v.2	2	qoteed	IT2A_EXACT_RETAIN	Ansatz vollständig abkühlen und abziehen	ZL3b+IT2a	IT2a preserves qoteed; the RF1b boundary or spelling rival does not overturn its concrete family core.	EXACT	qoteed	ONE	qotee	IT2A_ONLY_EXACT	⟦ychedaiin:?⟧ · Ansatz vollständig abkühlen und abziehen · Arzneikompositum im Trockenansatz am Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ⟦qokamdy:?⟧ · ⟦otarar:?⟧ · Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · ⟦oram:?⟧.
f104v.2	6	qokamdy	IT2A_EXACT_RETAIN	ein Maß nehmen, erhitzen und fertigstellen	ZL3b+IT2a	IT2a preserves qokamdy; the RF1b boundary or spelling rival does not overturn its concrete family core.	EXACT	qokamdy	ONE	y	IT2A_ONLY_EXACT	⟦ychedaiin:?⟧ · ⟦qoteed:?⟧ · Arzneikompositum im Trockenansatz am Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ein Maß nehmen, erhitzen und fertigstellen · ⟦otarar:?⟧ · Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · ⟦oram:?⟧.
f104v.2	7	otarar	IT2A_EXACT_RETAIN	erste Unterfraktion der kalten Ansatzfraktion I	ZL3b+IT2a	IT2a preserves otarar; the RF1b boundary or spelling rival does not overturn its concrete family core.	EXACT	otarar	SPLIT_2	otarar	IT2A_ONLY_EXACT	⟦ychedaiin:?⟧ · ⟦qoteed:?⟧ · Arzneikompositum im Trockenansatz am Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ⟦qokamdy:?⟧ · erste Unterfraktion der kalten Ansatzfraktion I · Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · ⟦oram:?⟧.
f104v.22	6	ls	BILATERAL_JOIN_RETAIN_CORE	eine Charge Holzdroge	IT2a+RF1b lsaiin join	Both readers bind the following quantity but preserve the wood-charge core.	MERGE_2	lsaiin	MERGE_2	lsaiin	NEITHER_EXACT	⟦ytchedy:?⟧ · heiß und trocken in der Mitte des Grades, abgeschlossen · kalt und trocken am Anfang des Grades · heiß und trocken in der Mitte des Grades, abgeschlossen · abgemessene heiß-trockene Droge · eine Charge Holzdroge · Menge III · ⟦qchor:?⟧ · feuchter Drogenteil · Eintrag: kalt, Stufe III · trocken in der Mitte des Grades · Rohstoffklasse I, kalt am Gradanfang.
f105r.19	10	aiir	RF1B_EXACT_RETAIN	Drogenfraktion III	ZL3b+RF1b	RF1b preserves aiir; the IT2a boundary or spelling rival remains recorded without changing the default.	MERGE_2	aiiral	EXACT	aiir	RF1B_ONLY_EXACT	⟦dsechey:?⟧ · Drogenstoff im Ansatz bis zur Mittelstufe abkühlen · drei Maße, abgeteilt und abgeschlossen · Samen/Saatgut, Typ/Charge III · trocken in der Mitte des Grades, abgeschlossen · Drogenholz, Typ/Charge III · ⟦okeeody:?⟧ · ⟦okeeyteedy:?⟧ · Zubereitungsdosis III · Drogenfraktion III · Rohstoffklasse I.
f105r.31	1	kodeey	IT2A_EXACT_RETAIN	vollständig erhitzte und abgeschlossene Zubereitungsdosis	ZL3b+IT2a	IT2a preserves kodeey; the RF1b boundary or spelling rival does not overturn its concrete family core.	EXACT	kodeey	ONE	todeey	IT2A_ONLY_EXACT	vollständig erhitzte und abgeschlossene Zubereitungsdosis · getrocknetes Drogenholz · ⟦shx:?⟧ · Drogenfraktion I · ⟦aiijy:?⟧ · ⟦cpheesy:?⟧ · Rohstoffklasse I im Ansatz, heiß am Gradanfang · erhitzte Holzdroge, Mittelstufe, fertig · heiße Holzfraktion I · trocken in der Mitte des Grades, abgeschlossen · heiß, Grad III · Drogenportion · ⟦fchoky:?⟧.
f105r.31	5	aiijy	RF1B_EXACT_RETAIN	in drei Bündel abfüllen und schließen	ZL3b+RF1b	RF1b preserves aiijy; the IT2a boundary or spelling rival remains recorded without changing the default.	ONE	aiidy	EXACT	aiijy	RF1B_ONLY_EXACT	⟦kodeey:?⟧ · getrocknetes Drogenholz · ⟦shx:?⟧ · Drogenfraktion I · in drei Bündel abfüllen und schließen · ⟦cpheesy:?⟧ · Rohstoffklasse I im Ansatz, heiß am Gradanfang · erhitzte Holzdroge, Mittelstufe, fertig · heiße Holzfraktion I · trocken in der Mitte des Grades, abgeschlossen · heiß, Grad III · Drogenportion · ⟦fchoky:?⟧.
f105r.31	13	fchoky	IT2A_EXACT_RETAIN	heiß-trockene Blütenzubereitung in Grundform	ZL3b+IT2a	IT2a preserves fchoky; the RF1b boundary or spelling rival does not overturn its concrete family core.	EXACT	fchoky	ONE	y	IT2A_ONLY_EXACT	⟦kodeey:?⟧ · getrocknetes Drogenholz · ⟦shx:?⟧ · Drogenfraktion I · ⟦aiijy:?⟧ · ⟦cpheesy:?⟧ · Rohstoffklasse I im Ansatz, heiß am Gradanfang · erhitzte Holzdroge, Mittelstufe, fertig · heiße Holzfraktion I · trocken in der Mitte des Grades, abgeschlossen · heiß, Grad III · Drogenportion · heiß-trockene Blütenzubereitung in Grundform.
f105v.11	10	aiir	RF1B_EXACT_RETAIN	Drogenfraktion III	ZL3b+RF1b	RF1b preserves aiir; the IT2a boundary or spelling rival remains recorded without changing the default.	ONE	aiis	EXACT	aiir	RF1B_ONLY_EXACT	⟦roees:?⟧ · Menge-/Klassenwert IV · Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz · heiß, Grad III, im Ansatzrahmen · Ansatzcharge · Menge III · ⟦chckhodu:?⟧ · kalt am Ende des Grades, abgeschlossen · ⟦ckhddl:?⟧ · Drogenfraktion III · ⟦ypar:?⟧ · ⟦kaiidy:?⟧.
