page	locus	section	language	hand	token_count	target_ordinals	target_surfaces	zl3b_line	current_literal_de	after_literal_de	practical_translation_de
f104v	f104v.2	S	B	3	10	1|2|6|7|10	ychedaiin|qoteed|qokamdy|otarar|oram	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	[ychedaiin:?] | [qoteed:?] | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | [qokamdy:?] | [otarar:?] | Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen | zweite kalte Drogenfraktion im Ansatz | [oram:?]	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen | Ansatz vollständig abkühlen und abziehen | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | ein Maß nehmen, erhitzen und fertigstellen | erste Unterfraktion der kalten Ansatzfraktion I | Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen | zweite kalte Drogenfraktion im Ansatz | eine Maßportion Ansatz	Miss hiervon drei Dosen der bis zur Mittelstufe getrockneten Droge ab; vollständig abkühlen und abziehen. Arzneikompositum im Trockenansatz auf Anfangsstufe, Kaltansatz auf Stufe III: davon drei Maße. Ein Maß nehmen, erhitzen und fertigstellen. Erste Unterfraktion der kalten Ansatzfraktion, bis zur Mittelstufe getrocknete und abgeschlossene Rohdroge I sowie zweite kalte Ansatzfraktion; als Schlussmenge eine Maßportion.
f105r	f105r.31	S	B	3	13	1|3|5|6|13	kodeey|shx|aiijy|cpheesy|fchoky	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	[kodeey:?] | getrocknetes Drogenholz | [shx:?] | Drogenfraktion I | [aiijy:?] | [cpheesy:?] | Rohstoffklasse I im Ansatz, heiß am Gradanfang | erhitzte Holzdroge, Mittelstufe, fertig | heiße Holzfraktion I | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | Drogenportion | [fchoky:?]	vollständig erhitzte und abgeschlossene Zubereitungsdosis | getrocknetes Drogenholz | eingeweichtes Gummiharz | Drogenfraktion I | in drei Bündel abfüllen und schließen | vollständig bereitetes und abgeschlossenes Arzneikompositum | Rohstoffklasse I im Ansatz, heiß am Gradanfang | erhitzte Holzdroge, Mittelstufe, fertig | heiße Holzfraktion I | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | Drogenportion | heiß-trockene Blütenzubereitung in Grundform	Eine vollständig erhitzte und abgeschlossene Zubereitungsdosis aus getrocknetem Drogenholz und eingeweichtem Gummiharz ansetzen. Die erste Drogenfraktion in drei Bündel abfüllen und schließen; daraus das vollständig bereitete Arzneikompositum bilden. Dazu Rohdroge I im heißen Anfangsansatz, bis zur Mittelstufe erhitzte und fertige Holzdroge sowie die erste heiße Holzfraktion verwenden. Bis zur Mittelstufe trocknen und abschließen, auf Heizstufe III bringen und zuletzt eine Portion heiß-trockene Blütenzubereitung in Grundform nehmen.
f114r	f114r.24	S	B	3	13	1|4|6|8|10	tchedaiin|chpcheey|cphochy|aiir|chopo	tchedaiin oldal chor chpcheey chcphey cphochy chos aiir chty chopo sair cphy dair	[tchedaiin:?] | abgemessener Drogenrohstoff I | Pflanzen-/Reproduktionsteil | [chpcheey:?] | bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum | [cphochy:?] | eine Charge Trockenansatz | [aiir:?] | trocken-kalt am Gradanfang | [chopo:?] | Samenfraktion II | Arzneikompositum in Grundform | abgemessene Fraktion II	drei Dosen bis zur Mittelstufe kalt-getrocknete Droge | abgemessener Drogenrohstoff I | Pflanzen-/Reproduktionsteil | nachgetrocknetes Pulver, Form II | bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum | leicht angetrocknetes Arzneikompositum im Ansatz | eine Charge Trockenansatz | Drogenfraktion III | trocken-kalt am Gradanfang | Pulverzubereitung aus Trockenansatz | Samenfraktion II | Arzneikompositum in Grundform | abgemessene Fraktion II	Drei Dosen bis zur Mittelstufe kalt getrockneter Droge: abgemessene Rohdroge I und Pflanzenteil; nachgetrocknetes Pulver der Form II; ein bis zur Mittelstufe getrocknetes sowie ein auf Anfangsstufe angetrocknetes Arzneikompositum; eine Charge Trockenansatz der dritten Fraktion. Dazu kalt-trockener Anfangsansatz, eine Pulverzubereitung aus Trockenansatz mit Samenfraktion II, Arzneikompositum in Grundform und die zweite abgemessene Fraktion.
f115r	f115r.1	S	B	@	11	1|3|5|8|9	fdar|qochedain|cheop|oroiir|oechedy	fdar qopchol qochedain otedy cheop ol teeedy oroiir oechedy oteedy qotchedy	[fdar:?] | nimm getrockneten Pulverstoff | [qochedain:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | [cheop:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | vollständig abgekühlt und abgeschlossen | [oroiir:?] | [oechedy:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen	erste Blütenfraktion abmessen | nimm getrockneten Pulverstoff | zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen | kalter Ansatz in der Mitte des Grades, abgeschlossen | bis zur Mittelstufe getrockneter Pulveransatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | vollständig abgekühlt und abgeschlossen | eine Portion der dritten Ansatzfraktion | bis zur Mittelstufe getrockneter und fertiggestellter Ansatz | kalter Ansatz am Ende des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen	Die erste Blütenfraktion abmessen. Getrockneten Pulverstoff nehmen und davon zwei Dosen bis zur Mittelstufe getrocknetes Gut abteilen. Daraus einen kalten Ansatz herstellen und auf der Mittelstufe abschließen. Den mittelgetrockneten Pulveransatz als Drogenstoff verwenden und vollständig abkühlen und schließen. Von der dritten Ansatzfraktion eine Portion nehmen, diese bis zur Mittelstufe trocknen und fertigstellen, anschließend bis zur Kühlendstufe bringen und abschließen; zuletzt kalt-trocken auf Mittelstufe schließen.
f26r	f26r.2	H	B	2	9	3|4|6|8|9	adeeody|ykecthey|ytedy|checthedy|ls	dchey aiin adeeody ykecthey chedy ytedy dy checthedy ls	eine Dosis bis zur Mittelstufe trocknen und abschließen | Menge III | [adeeody:?] | [ykecthey:?] | trocken in der Mitte des Grades, abgeschlossen | [ytedy:?] | Qualitäts-/Wertfeld geschlossen | [checthedy:?] | [ls:?]	eine Dosis bis zur Mittelstufe trocknen und abschließen | Menge III | gleicher abgemessener Teil des vollständig fertiggestellten Ansatzes | hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen | trocken in der Mitte des Grades, abgeschlossen | hiervon bis zur Mittelstufe abkühlen und fertigstellen | Qualitäts-/Wertfeld geschlossen | Blatt- oder Krautdroge in zwei mäßigen Trockengängen fertigstellen | eine Charge Holzdroge	Abgemessene, bis zur Mittelstufe getrocknete und abgeschlossene Droge, Menge III; ein gleicher abgemessener Teil des vollständig fertiggestellten Ansatzes. Hieraus die Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen, anschließend bis Mitte trocknen und abschließen, dann hiervon bis Mitte abkühlen und fertigstellen. Den Posten schließen und die Krautdroge in zwei mäßigen Trockengängen fertigstellen; Wurzelholz.
f33v	f33v.11	H	B	2	4	4	oram	tar al keey oram	kalte Drogenfraktion I | Rohstoffklasse I | heiß am Ende des Grades | [oram:?]	kalte Drogenfraktion I | Rohstoffklasse I | heiß am Ende des Grades | eine Maßportion Ansatz	kalte Drogenfraktion I · Rohstoffklasse I · heiß am Ende des Grades · eine Maßportion Ansatz.
f75v	f75v.53	B	B	2	1	1	ytedy	ytedy	[ytedy:?]	hiervon bis zur Mittelstufe abkühlen und fertigstellen	hiervon bis zur Mittelstufe abkühlen und fertigstellen.
f79r	f79r.17	B	B	2	11	4	ls	qokaiin shy lsheey ls air or aror otaiin ches olol ol	heiß, Grad III | feucht am Anfang des Grades | eingeweichtes Drogenholz, Form II | [ls:?] | zweite Drogenfraktion | Drogenportion | eine Portion der ersten Drogenfraktion | kalt im Zubereitungsrahmen, Grad III | trockenes Drogenmaterial, Mittelstufe | Holzdrogen-Grundansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	heiß, Grad III | feucht am Anfang des Grades | eingeweichtes Drogenholz, Form II | eine Charge Holzdroge | zweite Drogenfraktion | Drogenportion | eine Portion der ersten Drogenfraktion | kalt im Zubereitungsrahmen, Grad III | trockenes Drogenmaterial, Mittelstufe | Holzdrogen-Grundansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	heiß, Grad III · feucht am Anfang des Grades · eingeweichtes Drogenholz, Form II · eine Charge Holzdroge · zweite Drogenfraktion · Drogenportion · eine Portion der ersten Drogenfraktion · kalt im Zubereitungsrahmen, Grad III · trockenes Drogenmaterial, Mittelstufe · Holzdrogen-Grundansatz · Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz.
f86v5	f86v5.4	T	B	2	11	1|3|6|8	ypchesy|sheeey|sail|ltedy	ypchesy oky sheeey qoty qotaiin sail chepy ltedy dar olkar am	[ypchesy:?] | heißer Ansatz am Anfang des Grades | [sheeey:?] | kalt am Anfang des Grades | kalt, Grad III | [sail:?] | Trockenpulver in Grundform | [ltedy:?] | abgemessene Fraktion I | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | Maßeinheit I	hiervon Samenpulver bis zur Mittelstufe trocknen | heißer Ansatz am Anfang des Grades | vollständig eingeweichtes Gut der Schlussstufe | kalt am Anfang des Grades | kalt, Grad III | Saatgut, Charge II | Trockenpulver in Grundform | bis zur Mittelstufe abgekühlte und fertige Holzdroge | abgemessene Fraktion I | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | Maßeinheit I	Trockne hiervon Samenpulver bis zur Mittelstufe. Heiß ansetzen; das bis zur Schlussstufe eingeweichte Gut zunächst auf Kälte-Anfangsstufe, dann auf Stufe III bringen. Saatgut der Charge II als Trockenpulver mit der fertig abgekühlten Holzdroge verwenden; eine Maßeinheit der ersten erhitzten Holzdrogenfraktion abmessen.
f88r	f88r.13	P	A	1	1	1	oram	oram	[oram:?]	eine Maßportion Ansatz	eine Maßportion Ansatz.
