card_rank	surface	family	card_type	composition	working_meaning_de	working_render_de	strongest_rival_de	confidence	expected_occurrences	expected_pages	action_license	productive_scope	decision_reason	observed_occurrences	observed_pages	both_exact	it2a_only_exact	rf1b_only_exact	neither_exact	context_holds
1	ychedaiin	ANAPHORIC_DRY_DOSE_III_COMMAND	PRODUCTIVE_COMMAND_COMPOUND	Y_REFERENCE+CHEDAIIN_DRY_DOSE_III	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	drei Dosen hiervon, bis Mitte getrocknet	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	1	exact whole; Y wraps the published CHEDAIIN dose card	Both contexts retain the three-dose dry core; RF1b locally exposes yche plus aiin without changing it.	2	2	1	1	0	0	2
2	qoteed	COMPLETE_COOL_DRAW_COMMAND	PRODUCTIVE_COMMAND_COMPOUND	Q_COMMAND+O_PREP+T_COLD+EE_END+D_TERM_CLOSE	Ansatz vollständig abkühlen und abziehen	Ansatz vollständig abkühlen und abziehen	vollständig abgekühlten und abgezogenen Ansatz nehmen	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	1	exact whole; QOTEE process plus terminal D remain bound	The second occurrence and IT2a preserve the whole; source RF1b qotee weakens only the terminal draw marker.	2	2	1	1	0	0	2
3	qokamdy	HEAT_ONE_MEASURE_FINISH_COMMAND	LEARNED_ACTION_COMPOUND	QOKAM_TAKE_HEAT_ONE_MEASURE+DY_FINISHED	ein Maß nehmen, erhitzen und fertigstellen	ein Maß nehmen, erhitzen und fertigstellen	ein Maß nehmen und nur leicht erhitzen at RF1b qokam y	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	1	exact whole; published QOKAM remains intact before DY	The measure-and-heat core is inherited; terminal DY supplies the finished result despite the RF1b split.	1	1	0	1	0	0	1
4	otarar	COLD_FRACTION_I_SUBFRACTION_I	READER_SPLIT_QUANTITY	OTAR_COLD_PREP_FRACTION_I+AR_FRACTION_I	erste Unterfraktion der kalten Ansatzfraktion I	erste Unterfraktion der kalten Ansatzfraktion I	kalte Ansatzfraktion I gefolgt von separater Fraktion I	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	4	0	exact whole; RF1b split otar ar makes both quantity levels visible	All four contexts are fraction registers and preserve OTAR plus the trailing AR value.	4	4	3	1	0	0	4
5	oram	PREPARATION_MEASURE_PORTION	PRODUCTIVE_MEASURE_COMPOUND	OR_PORTION+AM_UNIT_I	eine Maßportion Ansatz	eine Maßportion Ansatz	ein Maß Wurzelansatz under O_PREP+R_ROOT+AM	STRONG_PRACTICAL_OR_COMPOSITIONAL	8	8	0	exact whole; OR portion and AM unit remain bound	Eight mostly final or singleton quantity positions favour a measured portion over a root-material parse.	8	8	7	0	1	0	8
6	kodeey	COMPLETE_HEATED_DOSE_RESULT	READER_RIVAL_COMPOUND	K_HOT+O_PREP+D_MEASURE+EE_END+Y_CLOSE	vollständig erhitzte und abgeschlossene Zubereitungsdosis	vollständig erhitzte und abgeschlossene Zubereitungsdosis	vollständig gekühlte und abgeschlossene Dosis under RF1b todeey	LOW_EXPLORATORY	1	1	0	exact ZL3b and IT2a whole; K/T polarity remains local	The source is a dose and treatment register; RF1b substitutes the opposite thermal head but preserves the dose and completion shell.	1	1	0	1	0	0	1
7	shx	SOAKED_RESIN_DRUG	LEARNED_MATERIAL_ABBREVIATION	SH_MOIST+X_RESIN_DRUG	eingeweichtes Gummiharz	eingeweichtes Gummiharz	angefeuchtete stofflich noch unbestimmte Simplex-Droge	LOW_EXPLORATORY	1	1	0	exact whole; X is licensed only inside the observed x-family	All three readers preserve shx; xol, xor, xar, xoy, xoiin, shxam and chxar make X a material family rather than noise.	1	1	1	0	0	0	1
8	aiijy	THREE_BUNDLES_FILL_CLOSE_COMMAND	LEARNED_QUANTITY_ACTION_EXTENSION	AIII_TRIPLE+AJY_FILL_BUNDLE_CLOSE	in drei Bündel abfüllen und schließen	in drei Bündel abfüllen und schließen	drei Teile abteilen und fertigstellen under IT2a aiidy	LOW_EXPLORATORY	1	1	1	exact whole; triple extension of published AJY action remains local	The preceding AR supplies the first fraction while the new card licenses only the three-bundle filling action.	1	1	0	0	1	0	1
9	cpheesy	COMPLETE_COMPOSITE_PREPARATION	LEARNED_COMPOUND	CPH_COMPOSITE+EESY_COMPLETE_CLOSE	vollständig bereitetes und abgeschlossenes Arzneikompositum	vollständig bereitetes und abgeschlossenes Arzneikompositum	vollständig bereitete Saatgut-Komposition if internal S is material	LOW_EXPLORATORY	1	1	0	exact whole; CPH material head and learned EESY closure stay bound	Bilateral exactness and the surrounding composition register support a finished composite product.	1	1	1	0	0	0	1
10	fchoky	HOT_DRY_FLOWER_BASE	PRODUCTIVE_MATERIAL_COMPOUND	F_FLOWER+CHOKY_HOT_DRY_PREP_BASE	heiß-trockene Blütenzubereitung in Grundform	heiß-trockene Blütenzubereitung in Grundform	trockener Blütenansatz without secure heat under RF1b fcho y	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; licensed F flower head specializes published CHOKY	The flower head and dry-preparation base hold; only RF1b weakens the heat marker.	1	1	0	1	0	0	1
