branch	model	predicted	observed	physical_status	attempted_steps	successful_steps	unexecuted_tail	depiction	part_kind	enclosed	worn_by	attributed_claims	contradictions	content_mismatches	independent_meaning_capacity
E	BASELINE	COHERENT_CONDITIONAL_ACCOUNT	COHERENT_CONDITIONAL_ACCOUNT	COMPLETE	12	12	0	E	E	True	W	3			0
E	CHOICE_IN_IMAGE	COHERENT_CONDITIONAL_ACCOUNT	COHERENT_CONDITIONAL_ACCOUNT	COMPLETE	12	12	0	E	E	True	W	3			0
E	EARLY_ENCLOSE	PRECONDITION_CONTRADICTION	PRECONDITION_CONTRADICTION	BLOCKED	3	2	10		E	False		0	INCOMPLETE_COMPONENTS;MISSING_HOSTED_IMAGE;MISSING_UNDER:G;MISSING_UNDER:P		0
E	IMAGE_AS_PART	PRECONDITION_CONTRADICTION	PRECONDITION_CONTRADICTION	BLOCKED	5	4	7	E	E	False		0	NOT_LOOSE_AVAILABLE:I;NOT_MATERIAL:I		0
E	BOTH_BRANCHES	PRECONDITION_CONTRADICTION	PRECONDITION_CONTRADICTION	BLOCKED	7	6	6	E	E	False		0	NOT_LOOSE_AVAILABLE:G;NOT_LOOSE_AVAILABLE:P;WRONG_PART_KIND		0
H	BASELINE	COHERENT_CONDITIONAL_ACCOUNT	COHERENT_CONDITIONAL_ACCOUNT	COMPLETE	11	11	0	E	H	True	W	3			0
H	CHOICE_IN_IMAGE	DIFFERENT_SOURCE_CONTENT	DIFFERENT_SOURCE_CONTENT	COMPLETE	12	12	0	H	E	True	W	3		C03_C05_IMAGE_NOT_E;C06_C07_PART_CHOICE_WRONG	0
H	EARLY_ENCLOSE	PRECONDITION_CONTRADICTION	PRECONDITION_CONTRADICTION	BLOCKED	3	2	9		H	False		0	INCOMPLETE_COMPONENTS;MISSING_HOSTED_IMAGE;MISSING_UNDER:G;MISSING_UNDER:P		0
H	IMAGE_AS_PART	PRECONDITION_CONTRADICTION	PRECONDITION_CONTRADICTION	BLOCKED	5	4	6	E	H	False		0	MISSING_POSE:I;NOT_BIRD_PART:I;NOT_LOOSE_AVAILABLE:I;NOT_MATERIAL:I		0
H	BOTH_BRANCHES	PRECONDITION_CONTRADICTION	PRECONDITION_CONTRADICTION	BLOCKED	6	5	7	E	H	False		0	WRONG_PART_KIND		0
