position	locus	group	raw_projection	clause	production	tag	hypothetical_meaning	origin	confirmed
1	f83r.9	1	pchor	C01	InstructionGoal	INSTRUCTION	introduce an instruction program, not a report that the operations happened	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
2	f83r.9	2	checphedy	C01	InstructionGoal	TAKE	take the named physical carrier into the actor's working possession	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
3	f83r.9	3	qokedy	C01	InstructionGoal	STONE	the same aetites stone / engraved stone carrier	INHERITED_UNCONFIRMED_RAW384	False
4	f83r.9	4	lsheedy	C01	InstructionGoal	GOAL	the following operation denotes an intended end state, without executing it	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
5	f83r.9	5	qokchdy	C01	InstructionGoal	ENCLOSE	enclose / seal the assembled object	INHERITED_UNCONFIRMED_RAW384	False
6	f83r.9	6	r	C01	InstructionGoal	AS	classify the intended assembled object in the following role	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
7	f83r.9	7	shedkedy	C01	InstructionGoal	AMULET	the intended assembled wearable object A, distinct from its stone component S	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
8	f83r.9	8	qopshdy	C01	InstructionGoal	FOR_WEAR	wearing is a purpose of the planned assembly, not a performed event here	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
9	f83r.9	9	qopy	C01	InstructionGoal	FOR_PROTECTION	protection is its stated purpose; no efficacy is established	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
10	f83r.10	1	olkeey	C02	TypedDistinction	REGARD_DISTINCTION	introduce a distinction between depiction and material-part roles	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
11	f83r.10	2	rchs	C02	TypedDistinction	IMAGE	a depiction record hosted on a carrier	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
12	f83r.10	3	cheeb	C02	TypedDistinction	HAS	assert the following attributed relation	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
13	f83r.10	4	ols	C02	TypedDistinction	FORM	represented form/kind rather than a detached body part	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
14	f83r.10	5	aiin	C02	TypedDistinction	OF	typed source/possessor relation; argument types select representation-of or physical-provenance-of	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
15	f83r.10	6	skal	C02	TypedDistinction	BIRD_KIND	the bird kind referred to by the depiction	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
16	f83r.10	7	dain	C02	TypedDistinction	BUT	contrast the following typed assertion with the preceding one	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
17	f83r.10	8	cthal	C02	TypedDistinction	PHYSICAL_PART	a detached physical bird-part role	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
18	f83r.10	9	s	C02	TypedDistinction	ALSO	add the following relation or instruction to the current discourse item	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
19	f83r.10	10	aiin	C02	TypedDistinction	OF	typed source/possessor relation; argument types select representation-of or physical-provenance-of	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
20	f83r.10	11	chky	C02	TypedDistinction	BIRD_BODY	an actual body of the relevant bird kind, the material part's source	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
21	f83r.10	12	lal	C02	TypedDistinction	REMAINS	preserve the named classification through the later operations	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
22	f83r.10	13	sam	C02	TypedDistinction	MATERIAL	a physical component rather than merely a represented referent	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
23	f83r.11	1	sor	C03	EngraveAndPrepare	IMAGE_OF	construct a depiction of the following bird-kind expression	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
24	f83r.11	2	shedy	C03	EngraveAndPrepare	EAGLE	the eagle referent (image versus animal-part role must be grammatically marked)	INHERITED_UNCONFIRMED_RAW384	False
25	f83r.11	3	qokaiin	C03	EngraveAndPrepare	WEARER	the wearer	INHERITED_UNCONFIRMED_RAW384	False
26	f83r.11	4	chkain	C03	EngraveAndPrepare	PERFORM	imperative application of the following operation by the named actor	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
27	f83r.11	5	shcthey	C03	EngraveAndPrepare	ENGRAVE_ON	add the specified depiction to the named stone without replacing the stone	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
28	f83r.11	6	qokedy	C03	EngraveAndPrepare	STONE	the same aetites stone / engraved stone carrier	INHERITED_UNCONFIRMED_RAW384	False
29	f83r.11	7	okair	C03	EngraveAndPrepare	PREPARE	establish availability or a pending placement requirement, not successful sealing	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
30	f83r.11	8	sheedy	C03	EngraveAndPrepare	FOR_UNDER	require the following material item below the current carrier	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
31	f83r.11	9	lchedy	C03	EngraveAndPrepare	GRAPE_SEED	grape seed	INHERITED_UNCONFIRMED_RAW384	False
32	f83r.11	10	lo	C03	EngraveAndPrepare	THERE	the unique stone carrier in this instruction context	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
33	f83r.12	1	qockhol	C04	Persistence	RETAIN	preserve an existing relation rather than create a second image or object	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
34	f83r.12	2	sheckhy	C04	Persistence	THE_ENGRAVING	the depiction created by the earlier ENGRAVE_ON instruction	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
35	f83r.12	3	otal	C04	Persistence	ON	the carrier-host relation	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
36	f83r.12	4	qokeal	C04	Persistence	ITS_CARRIER	the physical host of THE_ENGRAVING	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
37	f83r.12	5	sheckhdy	C04	Persistence	THROUGH	persistence over the following process interval	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
38	f83r.12	6	al	C04	Persistence	ASSEMBLY	the process of gathering and enclosing the components	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
39	f83r.12	7	okedy	C04	Persistence	SAME	identity with the already introduced referent	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
40	f83r.12	8	qokedy	C04	Persistence	STONE	the same aetites stone / engraved stone carrier	INHERITED_UNCONFIRMED_RAW384	False
41	f83r.12	9	qokal	C04	Persistence	PERSISTS	keep that object identity through the process	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
42	f83r.13	1	salcheol	C05	ImageAndPartRequirements	KEEP_IMAGE	retain the stated depicted content of the engraving	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
43	f83r.13	2	tar	C05	ImageAndPartRequirements	OF_KIND	the represented bird-kind argument	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
44	f83r.13	3	shedy	C05	ImageAndPartRequirements	EAGLE	the eagle referent (image versus animal-part role must be grammatically marked)	INHERITED_UNCONFIRMED_RAW384	False
45	f83r.13	4	s	C05	ImageAndPartRequirements	ALSO	add the following relation or instruction to the current discourse item	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
46	f83r.13	5	altedy	C05	ImageAndPartRequirements	REQUIRE_POSITION	a required placement relation, not an already performed placement	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
47	f83r.13	6	sair	C05	ImageAndPartRequirements	UNDER	strict below-carrier placement relation in this recipe model	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
48	f83r.13	7	qokedy	C05	ImageAndPartRequirements	STONE	the same aetites stone / engraved stone carrier	INHERITED_UNCONFIRMED_RAW384	False
49	f83r.13	8	qedy	C05	ImageAndPartRequirements	BIRD_PART	the chosen physical bird component P, distinct from image I	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
50	f83r.13	9	lchcphedy	C05	ImageAndPartRequirements	SELECTED	bind the later explicit choice to this same component role	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
51	f83r.13	10	ldar	C05	ImageAndPartRequirements	BIRD	the source bird kind of the selected component	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
52	f83r.14	1	qokchedy	C06	PrimaryMaterialBranch	PREPARE_ITEMS	check that the explicit material-item group is available for placement; do not create or duplicate it	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
53	f83r.14	2	qokeedy	C06	PrimaryMaterialBranch	WING_TIP_OF	a physical wing/feather-tip part from the following bird kind; exact anatomical sense unresolved	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
54	f83r.14	3	shedy	C06	PrimaryMaterialBranch	EAGLE	the eagle referent (image versus animal-part role must be grammatically marked)	INHERITED_UNCONFIRMED_RAW384	False
55	f83r.14	4	qokshedy	C06	PrimaryMaterialBranch	TOGETHER	group material items for the following placement, without merging their identities	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
56	f83r.14	5	dal	C06	PrimaryMaterialBranch	WITH	group or accompany typed physical arguments; neither numerical quantity nor temporal next-stage	NEW_EXPLICIT_WHOLE_FORM_GUESS	False
57	f83r.14	6	lchedy	C06	PrimaryMaterialBranch	GRAPE_SEED	grape seed	INHERITED_UNCONFIRMED_RAW384	False
