held_collection	model	queries	top1	top5	top1_rate	top5_rate	mrr100
b4	SIZE_ONLY	239	15	82	0.062761506	0.343096234	0.195172279
b4	ORDER_ONLY	239	119	145	0.497907950	0.606694561	0.554304327
b4	UNORDERED_INCIDENCE	239	104	169	0.435146444	0.707112971	0.564410935
b4	RAW_OPAQUE_WORD_IDENTITY	239	232	235	0.970711297	0.983263598	0.978207810
b4	ANON_ENTITY_FLOW	239	166	183	0.694560669	0.765690377	0.732088883
b4	GLOBAL_CONCEPT_ID_CEILING	239	229	237	0.958158996	0.991631799	0.974721060
b6	SIZE_ONLY	15	0	1	0.000000000	0.066666667	0.033221307
b6	ORDER_ONLY	15	1	2	0.066666667	0.133333333	0.110167055
b6	UNORDERED_INCIDENCE	15	1	2	0.066666667	0.133333333	0.121490526
b6	RAW_OPAQUE_WORD_IDENTITY	15	3	5	0.200000000	0.333333333	0.273719933
b6	ANON_ENTITY_FLOW	15	1	4	0.066666667	0.266666667	0.133994929
b6	GLOBAL_CONCEPT_ID_CEILING	15	7	10	0.466666667	0.666666667	0.555403050
br1	SIZE_ONLY	10	0	0	0.000000000	0.000000000	0.005660522
br1	ORDER_ONLY	10	1	1	0.100000000	0.100000000	0.106754386
br1	UNORDERED_INCIDENCE	10	0	0	0.000000000	0.000000000	0.006119951
br1	RAW_OPAQUE_WORD_IDENTITY	10	1	1	0.100000000	0.100000000	0.114880952
br1	ANON_ENTITY_FLOW	10	0	1	0.000000000	0.100000000	0.061722488
br1	GLOBAL_CONCEPT_ID_CEILING	10	5	7	0.500000000	0.700000000	0.595571096
bs1	SIZE_ONLY	81	4	7	0.049382716	0.086419753	0.075804841
bs1	ORDER_ONLY	81	8	11	0.098765432	0.135802469	0.121799344
bs1	UNORDERED_INCIDENCE	81	6	14	0.074074074	0.172839506	0.118796164
bs1	RAW_OPAQUE_WORD_IDENTITY	81	33	44	0.407407407	0.543209877	0.462950486
bs1	ANON_ENTITY_FLOW	81	6	12	0.074074074	0.148148148	0.115990099
bs1	GLOBAL_CONCEPT_ID_CEILING	81	44	63	0.543209877	0.777777778	0.649401283
gr1	SIZE_ONLY	101	1	5	0.009900990	0.049504950	0.043174000
gr1	ORDER_ONLY	101	7	13	0.069306931	0.128712871	0.107925549
gr1	UNORDERED_INCIDENCE	101	6	16	0.059405941	0.158415842	0.108197638
gr1	RAW_OPAQUE_WORD_IDENTITY	101	37	55	0.366336634	0.544554455	0.443800217
gr1	ANON_ENTITY_FLOW	101	5	14	0.049504950	0.138613861	0.103976592
gr1	GLOBAL_CONCEPT_ID_CEILING	101	54	79	0.534653465	0.782178218	0.634086173
w1	SIZE_ONLY	242	58	108	0.239669421	0.446280992	0.343136707
w1	ORDER_ONLY	242	125	143	0.516528926	0.590909091	0.561844172
w1	UNORDERED_INCIDENCE	242	128	159	0.528925620	0.657024793	0.597242360
w1	RAW_OPAQUE_WORD_IDENTITY	242	232	238	0.958677686	0.983471074	0.967799900
w1	ANON_ENTITY_FLOW	242	165	185	0.681818182	0.764462810	0.719445664
w1	GLOBAL_CONCEPT_ID_CEILING	242	226	240	0.933884298	0.991735537	0.960261708
