variant	position	expected_surface	actual_surface	expected_card_no	actual_card_no	expected_command_de	actual_command_de	same_surface	same_exact_card	position_diagnosis
MASTER	1	qokaiin	qokaiin	PROC038	PROC038	ANSETZEN · MASS	ANSETZEN · MASS	YES	YES	UNCHANGED
MASTER	2	qokal	qokal	PROC048	PROC048	ANSETZEN · ZIEL	ANSETZEN · ZIEL	YES	YES	UNCHANGED
MASTER	3	cfhy	cfhy	PROC028	PROC028	AUSWRINGEN · DIES	AUSWRINGEN · DIES	YES	YES	UNCHANGED
MASTER	4	cphy	cphy	PROC030	PROC030	HINEIN · DIES	HINEIN · DIES	YES	YES	UNCHANGED
MASTER	5	tshey	tshey	PROC122	PROC122	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	YES	YES	UNCHANGED
MASTER	6	shedy	shedy	PROC078	PROC078	ABSETZEN; SCHLUSS	ABSETZEN; SCHLUSS	YES	YES	UNCHANGED
HARMLESS_ALLOGRAPH	1	qokaiin	okaiin	PROC038	PROC038	ANSETZEN · MASS	ANSETZEN · MASS	NO	YES	LICENSED_ALLOGRAPH_SAME_CARD
HARMLESS_ALLOGRAPH	2	qokal	qokal	PROC048	PROC048	ANSETZEN · ZIEL	ANSETZEN · ZIEL	YES	YES	UNCHANGED
HARMLESS_ALLOGRAPH	3	cfhy	cfhy	PROC028	PROC028	AUSWRINGEN · DIES	AUSWRINGEN · DIES	YES	YES	UNCHANGED
HARMLESS_ALLOGRAPH	4	cphy	cphy	PROC030	PROC030	HINEIN · DIES	HINEIN · DIES	YES	YES	UNCHANGED
HARMLESS_ALLOGRAPH	5	tshey	tshey	PROC122	PROC122	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	YES	YES	UNCHANGED
HARMLESS_ALLOGRAPH	6	shedy	shedy	PROC078	PROC078	ABSETZEN; SCHLUSS	ABSETZEN; SCHLUSS	YES	YES	UNCHANGED
WRONG_CARD_LOOKALIKE	1	qokaiin	qokaiin	PROC038	PROC038	ANSETZEN · MASS	ANSETZEN · MASS	YES	YES	UNCHANGED
WRONG_CARD_LOOKALIKE	2	qokal	qokal	PROC048	PROC048	ANSETZEN · ZIEL	ANSETZEN · ZIEL	YES	YES	UNCHANGED
WRONG_CARD_LOOKALIKE	3	cfhy	cfhy	PROC028	PROC028	AUSWRINGEN · DIES	AUSWRINGEN · DIES	YES	YES	UNCHANGED
WRONG_CARD_LOOKALIKE	4	cphy	cphy	PROC030	PROC030	HINEIN · DIES	HINEIN · DIES	YES	YES	UNCHANGED
WRONG_CARD_LOOKALIKE	5	tshey	shey	PROC122	PROC031	HALTEN · KURZ · DIES	HALTEN · LANG · DIES	NO	NO	DIFFERENT_EXACT_CARD
WRONG_CARD_LOOKALIKE	6	shedy	shedy	PROC078	PROC078	ABSETZEN; SCHLUSS	ABSETZEN; SCHLUSS	YES	YES	UNCHANGED
WRONG_PROCESS_ORDER	1	qokaiin	qokaiin	PROC038	PROC038	ANSETZEN · MASS	ANSETZEN · MASS	YES	YES	UNCHANGED
WRONG_PROCESS_ORDER	2	qokal	qokal	PROC048	PROC048	ANSETZEN · ZIEL	ANSETZEN · ZIEL	YES	YES	UNCHANGED
WRONG_PROCESS_ORDER	3	cfhy	cphy	PROC028	PROC030	AUSWRINGEN · DIES	HINEIN · DIES	NO	NO	DIFFERENT_EXACT_CARD
WRONG_PROCESS_ORDER	4	cphy	cfhy	PROC030	PROC028	HINEIN · DIES	AUSWRINGEN · DIES	NO	NO	DIFFERENT_EXACT_CARD
WRONG_PROCESS_ORDER	5	tshey	tshey	PROC122	PROC122	HALTEN · KURZ · DIES	HALTEN · KURZ · DIES	YES	YES	UNCHANGED
WRONG_PROCESS_ORDER	6	shedy	shedy	PROC078	PROC078	ABSETZEN; SCHLUSS	ABSETZEN; SCHLUSS	YES	YES	UNCHANGED
