modifier_cell_id	register	modifier_atoms	modifier_type_sequence	state_event_count	statement_count	physical_page_count	current_modifier_phrase_de	modifier_voice_phrase_de	modifier_voice_changed	owner_control_contains_target_phrase_count	example_event_ids	guard
GDT570-C001	BIOLOGICAL	AIR	RELATION	1	1	1	entlang der Stationsbahn	entlang der Stationsbahn	NO	1	G407-E3744	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C002	BIOLOGICAL	AL	RELATION	29	29	7	zur Zielstation	zur Zielstation	NO	29	G407-E1659|G407-E1698|G407-E1710|G407-E2021|G407-E2029|G407-E2067|G407-E2158|G407-E2201	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C003	BIOLOGICAL	AL+AM_ADDR	RELATION+LOCAL_OR_CLASS_SIGN	1	1	1	zur Zielstation; an der bezeichneten Stelle	zur Zielstation; an der bezeichneten Stelle	NO	1	G407-E2248	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C004	BIOLOGICAL	AL+D_ADDR+AR	RELATION+LOCAL_OR_CLASS_SIGN+RELATION	1	1	1	zur Zielstation; an der bezeichneten Stelle; von der Ausgangsstation	zur Zielstation; an der bezeichneten Stelle; von der Ausgangsstation	NO	0	G407-E2865	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C005	BIOLOGICAL	AL+E	RELATION+GRADE	2	2	1	zur Zielstation; auf Grad I	zur Zielstation; auf Grad I	NO	2	G407-E2047|G407-E2132	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C006	BIOLOGICAL	AM_ADDR	LOCAL_OR_CLASS_SIGN	2	2	2	an der bezeichneten Stelle	an der bezeichneten Stelle	NO	2	G407-E1809|G407-E2831	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C007	BIOLOGICAL	AN	LOCAL_OR_CLASS_SIGN	1	1	1	als Klasse	in der bezeichneten Klasse	YES	1	G407-E1687	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C008	BIOLOGICAL	AR	RELATION	22	22	7	von der Ausgangsstation	von der Ausgangsstation	NO	22	G407-E1430|G407-E1447|G407-E1488|G407-E1504|G407-E1551|G407-E1633|G407-E1661|G407-E1718	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C009	BIOLOGICAL	A_ADDR+IIN	LOCAL_OR_CLASS_SIGN+FORMAL_CONTROL	1	1	1	an der bezeichneten Stelle; auf der Stufe	an der bezeichneten Stelle; auf der bezeichneten Stufe	YES	0	G407-E2706	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C010	BIOLOGICAL	CARRIER_Q+E	FORMAL_CONTROL+GRADE	1	1	1	am Beginn; auf Grad I	als neuen Einsatz und auf Grad I	YES	1	G407-E3575	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
GDT570-C011	BIOLOGICAL	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	6	6	4	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	YES	6	G407-E1937|G407-E2809|G407-E3251|G407-E3259|G407-E3559|G407-E3699	REGISTER_SEQUENCE_CELL__NO_RECIPE_OR_ATOM_CHANGE
