left_modifier_type	right_modifier_type	left_join_class	right_join_class	join_card_id	target_join	transition_occurrence_count	state_event_count	example_event_ids	guard
FORMAL_CONTROL	FORMAL_CONTROL	OPERATIONAL_MODIFIER	OPERATIONAL_MODIFIER	GDT570-J01	COORDINATE_WITHIN_CONTIGUOUS_RUN	23	23	G407-E0262|G407-E0486|G407-E0610|G407-E0705|G407-E0902|G407-E1937|G407-E2059|G407-E2809	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
FORMAL_CONTROL	GRADE	OPERATIONAL_MODIFIER	OPERATIONAL_MODIFIER	GDT570-J01	COORDINATE_WITHIN_CONTIGUOUS_RUN	18	18	G407-E0959|G407-E1033|G407-E1065|G407-E1229|G407-E1420|G407-E2802|G407-E2821|G407-E3200	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
FORMAL_CONTROL	LOCAL_OR_CLASS_SIGN	OPERATIONAL_MODIFIER	LOCAL_OR_CLASS_SIGN	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	27	27	G407-E0033|G407-E0219|G407-E0520|G407-E0648|G407-E0679|G407-E0695|G407-E0898|G407-E0902	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
FORMAL_CONTROL	RELATION	OPERATIONAL_MODIFIER	RELATION	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	4	4	G407-E1086|G407-E1286|G407-E1394|G407-E3897	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
GRADE	FORMAL_CONTROL	OPERATIONAL_MODIFIER	OPERATIONAL_MODIFIER	GDT570-J01	COORDINATE_WITHIN_CONTIGUOUS_RUN	46	46	G407-E0033|G407-E0071|G407-E0847|G407-E1042|G407-E1061|G407-E1065|G407-E1076|G407-E1081	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
GRADE	GRADE	OPERATIONAL_MODIFIER	OPERATIONAL_MODIFIER	GDT570-J01	COORDINATE_WITHIN_CONTIGUOUS_RUN	9	9	G407-E0802|G407-E1152|G407-E2115|G407-E2481|G407-E2783|G407-E3377|G407-E3528|G407-E3950	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
GRADE	LOCAL_OR_CLASS_SIGN	OPERATIONAL_MODIFIER	LOCAL_OR_CLASS_SIGN	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	13	13	G407-E1399|G407-E1403|G407-E1924|G407-E2033|G407-E2259|G407-E2346|G407-E2999|G407-E3252	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
GRADE	RELATION	OPERATIONAL_MODIFIER	RELATION	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	7	7	G407-E1077|G407-E1198|G407-E1420|G407-E2009|G407-E2427|G407-E3162|G515-E0332	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
LOCAL_OR_CLASS_SIGN	FORMAL_CONTROL	LOCAL_OR_CLASS_SIGN	OPERATIONAL_MODIFIER	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	8	8	G407-E0443|G407-E0451|G407-E0695|G407-E0958|G407-E2393|G407-E2706|G407-E4525|G515-E0366	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
LOCAL_OR_CLASS_SIGN	GRADE	LOCAL_OR_CLASS_SIGN	OPERATIONAL_MODIFIER	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	7	7	G407-E1373|G407-E1924|G407-E2423|G407-E3100|G407-E3723|G407-E3832|G407-E4208	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
LOCAL_OR_CLASS_SIGN	LOCAL_OR_CLASS_SIGN	LOCAL_OR_CLASS_SIGN	LOCAL_OR_CLASS_SIGN	GDT570-J03	COORDINATE_WITHIN_CONTIGUOUS_RUN	5	5	G407-E0898|G407-E1846|G407-E3030|G407-E3875|G515-E0415	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
LOCAL_OR_CLASS_SIGN	RELATION	LOCAL_OR_CLASS_SIGN	RELATION	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	20	19	G407-E0189|G407-E0521|G407-E0679|G407-E1076|G407-E1081|G407-E1179|G407-E1353|G407-E1403	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
RELATION	FORMAL_CONTROL	RELATION	OPERATIONAL_MODIFIER	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	6	6	G407-E0082|G407-E1077|G407-E3402|G407-E4427|G515-E0425|G515-E0456	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
RELATION	GRADE	RELATION	OPERATIONAL_MODIFIER	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	23	23	G407-E1492|G407-E1729|G407-E1878|G407-E2007|G407-E2047|G407-E2132|G407-E2350|G407-E3072	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
RELATION	LOCAL_OR_CLASS_SIGN	RELATION	LOCAL_OR_CLASS_SIGN	GDT570-J04	SEMICOLON_CLASS_BOUNDARY	6	6	G407-E1755|G407-E2248|G407-E2259|G407-E2393|G407-E2865|G407-E3685	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
RELATION	RELATION	RELATION	RELATION	GDT570-J02	COORDINATE_WITHIN_CONTIGUOUS_RUN	2	2	G407-E1420|G515-E0379	TYPE_PAIR_JOIN_ONLY__ATOM_ORDER_UNCHANGED
