changed_modifier_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	modifier_atoms	modifier_type_sequence	changed_fragment_atoms	within_class_transition_count	current_modifier_phrase_de	modifier_voice_phrase_de	gdt569_context_voice_clause_de	modifier_voice_working_clause_de	guard
1	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	1	auf Grad I; zur Ausführung; an der bezeichneten Stelle	auf Grad I und als Ausführung; an der bezeichneten Stelle	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: wähle denselben laufenden Eintrag; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
2	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	shody	SH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Halte denselben laufenden Eintrag fest; zur Ausführung; schließe den Schritt.	Halte denselben laufenden Eintrag fest; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
3	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	shody	SH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Halte denselben Kennwert fest; zur Ausführung; schließe den Schritt.	Halte denselben Kennwert fest; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
4	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	teody	T+E+O+DY	E+O	GRADE+FORMAL_CONTROL	O	1	auf Grad I; zur Ausführung	auf Grad I und als Ausführung	Lege denselben Teilwert fest; auf Grad I; zur Ausführung; schließe den Schritt.	Lege denselben Teilwert fest; auf Grad I und als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
5	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	AIR+IIN	RELATION+FORMAL_CONTROL	IIN	0	entlang der Lesebahn; auf der Stufe	entlang der Lesebahn; auf der bezeichneten Stufe	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; entlang der Lesebahn; auf der Stufe.	Danach im laufenden Gang: halte denselben laufenden Eintrag fest; entlang der Lesebahn; auf der bezeichneten Stufe.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
6	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	ochol	O+OL	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Weiter im laufenden Gang: trage denselben Kennwert ein; zur Ausführung.	Weiter im laufenden Gang: trage denselben Kennwert ein; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
7	G407-E0200	G407-S006	f1r	SOURCE_SECTION_T	shody	SH+O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Halte denselben laufenden Eintrag fest; zur Ausführung; schließe den Schritt.	Halte denselben laufenden Eintrag fest; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
8	G407-E0219	G407-S008	f10r	HERBAL	pchodol	P+CH+O+D_ADDR+OL	O+D_ADDR	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	O	0	zur Ausführung; an der bezeichneten Stelle	als Ausführung; an der bezeichneten Stelle	Weiter: setze denselben Pflanzenposten ein und nimm denselben Pflanzenposten; zur Ausführung; an der bezeichneten Stelle.	Weiter: setze denselben Pflanzenposten ein und nimm denselben Pflanzenposten; als Ausführung; an der bezeichneten Stelle.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
9	G407-E0253	G407-S008	f10r	HERBAL	ody	O+DY	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Im laufenden Gang: Markiere dieselbe Arbeitseinheit; zur Ausführung; schließe den Schritt.	Im laufenden Gang: Markiere dieselbe Arbeitseinheit; als Ausführung; schließe den Schritt.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
10	G407-E0262	G407-S009	f10r	HERBAL	qoctholy	CARRIER_Q+O+CH+T+OL+Y	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	CARRIER_Q|O	1	am Beginn; zur Ausführung	als neuen Einsatz und als Ausführung	Weiter: nimm den Pflanzenposten und stelle den Pflanzenposten ein; am Beginn; zur Ausführung.	Weiter: nimm den Pflanzenposten und stelle den Pflanzenposten ein; als neuen Einsatz und als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
11	G407-E0292	G407-S009	f10r	HERBAL	oqotor	O+OT+OR	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach im laufenden Gang: nimm die Arbeitseinheit; zur Ausführung.	Danach im laufenden Gang: nimm die Arbeitseinheit; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
12	G407-E0298	G407-S009	f10r	HERBAL	otchoshor	OT+CH+O+SH+OR	O	FORMAL_CONTROL	O	0	zur Ausführung	als Ausführung	Danach: nimm die Arbeitseinheit und halte die Arbeitseinheit; zur Ausführung.	Danach: nimm die Arbeitseinheit und halte die Arbeitseinheit; als Ausführung.	NAMED_MODIFIER_VOICE_CHANGE__ROOTS_AND_ORDER_UNCHANGED
